Gene = LECT2
index = 777
Annotated 5SS: [ 247 2164 3812]
Annotated 3SS: [2066 3665 7536]
SMsplice 5SS: [ 247 2164 3812]
SMsplice 3SS: [2066 3665 7536]
top_k =  500
Partition function (log Z): -0.8263407295298735

Sorted 5' Splice Sites (High to Low Probability):
Position 247: 0.9992494680404447
Position 2164: 0.9806389071277661
Position 3812: 0.9006878749169607
Position 4074: 0.13538172681295232
Position 5843: 0.1074537627515969
Position 2336: 0.07942414703277183
Position 3039: 0.04924746314472881
Position 4916: 0.04371365281959256
Position 5085: 0.03512420222904062
Position 4413: 0.020427785409420023
Position 3052: 0.012944012335717191
Position 3208: 0.009490582513382464
Position 7718: 0.008880528902804333
Position 3021: 0.007315493432335742
Position 4386: 0.007127223530725284
Position 4024: 0.006454950647385368
Position 4949: 0.005470573180926934
Position 2504: 0.004558060740722577
Position 3343: 0.004146007453450666
Position 3999: 0.003291932917315367
Position 2601: 0.002524899963715911
Position 3176: 0.0024735734888015593
Position 5801: 0.0024106599843127336
Position 4446: 0.0021709474645974303
Position 6700: 0.0017681000816942528
Position 1799: 0.001671788410906609
Position 612: 0.0014903207244219643
Position 957: 0.0014617758906040944
Position 847: 0.0013925168702516233
Position 869: 0.0012042867989593073
Position 5840: 0.0011419239497597437
Position 1682: 0.0011392549364256834
Position 7700: 0.001094973513531291
Position 1288: 0.000869325641669787
Position 1634: 0.0008591161258030427
Position 3821: 0.0008433960354012351
Position 2546: 0.0007836983431011469
Position 756: 0.0007214424153291709
Position 2943: 0.0005081166589414795
Position 1674: 0.00040557695243158504
Position 666: 0.00028251301992085053
Position 1495: 0.0002388319309791557
Position 1049: 0.00021507221557499215
Position 973: 0.00021489796118632503
Position 4231: 0.0002033582112339119
Position 813: 0.00019640583496371
Position 1602: 0.00017530113444797426
Position 5577: 0.00015940923750171903
Position 731: 0.00015614389458179498
Position 414: 0.000156038155548591
Position 1281: 0.00014634025917568033
Position 3879: 0.00014246906559653945
Position 5229: 0.00012698650017951133
Position 232: 0.00011861941321081197
Position 851: 9.787172842646282e-05
Position 461: 8.866617634298775e-05
Position 3946: 6.632485784456533e-05
Position 191: 6.25642594898198e-05
Position 3720: 5.933085832633206e-05
Position 504: 5.4968331039159104e-05
Position 1078: 3.817549730941944e-05
Position 4741: 3.652840019644405e-05
Position 1559: 3.4807103040999236e-05
Position 1979: 3.3693589737493185e-05
Position 3839: 3.266242038504982e-05
Position 3888: 3.219447943077436e-05
Position 4404: 2.8234631196993477e-05
Position 4664: 2.2776961911931127e-05
Position 1992: 2.2116949127893873e-05
Position 1644: 2.1765451562426346e-05
Position 882: 2.034254923310882e-05
Position 983: 1.9892637461438472e-05
Position 117: 1.9732864057261596e-05
Position 436: 1.9105763919074978e-05
Position 3991: 1.8883771265303758e-05
Position 1757: 1.838364080971417e-05
Position 1142: 1.7513437349200963e-05
Position 1948: 1.681895502000205e-05
Position 1089: 1.568555272777617e-05
Position 1751: 1.5212439504475634e-05
Position 2149: 1.3718249776548489e-05
Position 258: 1.317211224420833e-05
Position 1994: 1.2159546172568437e-05
Position 1037: 1.2052626528549374e-05
Position 3791: 1.1845448551886648e-05
Position 1263: 1.0394886577313838e-05
Position 962: 9.722838216498147e-06
Position 1193: 7.598775089472401e-06
Position 2199: 7.212038439309016e-06
Position 542: 6.1777352399544534e-06
Position 1679: 5.848758855628017e-06
Position 938: 3.854377401848016e-06
Position 3793: 3.284056876257839e-06
Position 63: 3.1616210652377e-06
Position 251: 3.0720358496235335e-06
Position 950: 2.6626007509590083e-06
Position 2127: 1.4130541416038407e-06
Position 2284: 1.1967070356806578e-06
Position 61: 6.369747537101708e-07
Position 2171: 4.743558914101959e-07
Position 2363: 4.113571974099824e-07
Position 2697: 1.917721223181206e-07
Position 2757: 1.9158380714947325e-07
Position 2234: 1.5537728991246642e-07
Position 153: 1.507459588752594e-07
Position 2398: 8.660738103771345e-08
Position 151: 6.127862057317256e-08
Position 3568: 9.369504929132421e-09
Position 396: 8.290845475704797e-09
Position 2413: 3.801178227666777e-09
Position 325: 2.3989754280927747e-09
Position 465: 2.339816749719235e-09
Position 358: 1.9764684036758035e-09
Position 203: 4.3574472577560905e-10
Position 498: 2.653267285925957e-10
Position 430: 5.921137134924534e-11
Position 492: 3.155404342288524e-11
Position 407: 1.9081248345468593e-11
Position 356: 2.332893567156015e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2066: 0.9819943396489129
Position 3665: 0.8389967833018959
Position 7536: 0.31389865497362773
Position 7486: 0.18518430441006611
Position 7628: 0.18503424571979538
Position 5698: 0.14067449080332936
Position 3990: 0.1389318672923999
Position 4815: 0.13050551735325758
Position 4121: 0.062271580508216344
Position 2248: 0.062164606403994696
Position 3878: 0.050370841669520085
Position 8079: 0.04629011323362826
Position 2994: 0.045566276740168256
Position 3668: 0.03883080153317688
Position 6886: 0.023942991412317056
Position 7204: 0.022460141603708374
Position 4023: 0.012624152162781774
Position 2943: 0.010844883194359846
Position 2314: 0.010399275793747702
Position 2850: 0.009894852326214763
Position 5745: 0.009605431416604651
Position 3555: 0.008677326542479795
Position 6546: 0.007762195893769109
Position 3753: 0.007756325828945341
Position 7181: 0.007059048002761229
Position 2484: 0.006111721489155894
Position 2792: 0.005297147683519461
Position 3287: 0.005200468922849346
Position 7000: 0.004642870584195923
Position 1431: 0.0037573900574714002
Position 2257: 0.0035797041421110898
Position 4073: 0.0033885736043214295
Position 6093: 0.00336458440182367
Position 2814: 0.0032593581505979533
Position 5888: 0.0032331187927437124
Position 2708: 0.003030422736674436
Position 5611: 0.002316487391888962
Position 3517: 0.002053224100849073
Position 1904: 0.0019837949464613022
Position 4488: 0.0019688222941370024
Position 593: 0.0018149435802853713
Position 5923: 0.0017744393300637737
Position 4199: 0.0017052160336658976
Position 850: 0.0014819431486009424
Position 3586: 0.0014298813968407404
