Gene = TRBV30
index = 1481
Annotated 5SS: [155]
Annotated 3SS: [521]
SMsplice 5SS: [423]
SMsplice 3SS: [521]
top_k =  500
Partition function (log Z): -10.852010608610716

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.6792732947595944
Position 155: 0.3363343142900186
Position 237: 0.010283864867518762
Position 233: 0.009209787090798898
Position 70: 0.0024489169360811585
Position 342: 0.0023405125566202775
Position 159: 0.0019980786715984872
Position 351: 0.0014868453533103318
Position 634: 0.0013544315122416752
Position 213: 0.000532954331036633
Position 252: 0.00043861560843755945
Position 355: 0.00019947100241887988
Position 266: 7.173467100978493e-05
Position 224: 4.10095003155026e-05
Position 707: 2.5446723967603918e-05
Position 459: 2.45623829986066e-05
Position 684: 2.0665115658812158e-05
Position 429: 2.0073816228161912e-05
Position 74: 1.788929014852111e-05
Position 495: 1.2386669678984273e-05
Position 563: 7.925114046405128e-06
Position 431: 5.529888705781185e-06
Position 318: 3.746431265387446e-06
Position 524: 3.5876267089724024e-06
Position 572: 3.4083347404487287e-06
Position 485: 2.3698424436763436e-06
Position 602: 4.885442373918081e-07
Position 398: 2.153176695066338e-10
Position 595: 2.665547332410371e-12
Position 346: 9.090052226857671e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 521: 0.9535998941512218
Position 276: 0.024399597109581984
Position 370: 0.018233661117080767
Position 318: 0.013929936917142859
Position 339: 0.010674456716498951
Position 398: 0.006386090979774357
Position 422: 0.002916395371738553
Position 694: 0.002787107384974082
Position 528: 0.002750186889276728
Position 222: 0.00216991241816527
Position 336: 0.0015156388696065885
Position 568: 0.0009862423435713066
Position 715: 0.0008730220885106067
Position 342: 0.000723705033420712
Position 252: 0.0007077994752279166
Position 554: 0.0005119073702525989
Position 290: 0.00048082792117441043
Position 643: 0.00041961158597718883
Position 748: 0.0003462847076556628
Position 595: 0.00028730363212771886
Position 469: 0.0002633705368901337
Position 535: 0.00017501963771732637
Position 739: 0.00013290563666054777
Position 732: 0.00012039627285496419
Position 725: 0.00011987501869219322
Position 296: 0.00011319924324266184
Position 224: 0.00011194025916484719
Position 579: 9.905170593371198e-05
Position 699: 9.044127507908391e-05
Position 810: 7.030993509936611e-05
Position 650: 4.217065599602323e-05
Position 780: 4.1120646724305036e-05
Position 178: 3.0894151527559386e-05
Position 664: 1.7862012302395687e-05
Position 440: 1.0948463465474167e-05
Position 769: 6.813493243423568e-06
Position 759: 5.106166626989435e-06
Position 766: 4.934995087219176e-06
Position 474: 2.9717576177869368e-06
Position 654: 1.3911096722241614e-06
Position 706: 9.270604930148976e-07
Position 478: 6.738968752245025e-07
Position 230: 5.130569696953924e-09
Position 442: 5.389142964709614e-12
