Gene = UBIAD1
index = 1520
Annotated 5SS: [855]
Annotated 3SS: [12437]
SMsplice 5SS: [  116  2107 12527]
SMsplice 3SS: [ 2043 12437 14357]
top_k =  500
Partition function (log Z): -10.421166921841722

Sorted 5' Splice Sites (High to Low Probability):
Position 2107: 0.8525221494586678
Position 12527: 0.6879542763332942
Position 855: 0.4583410546117196
Position 116: 0.40412211330501757
Position 230: 0.27926286456344185
Position 8890: 0.16009259399459608
Position 618: 0.12891409348124286
Position 9182: 0.12012585248709787
Position 944: 0.10470552250163188
Position 280: 0.09796533315905252
Position 724: 0.07444950724540045
Position 578: 0.055917014219419824
Position 5533: 0.02067089289127926
Position 123: 0.01848437883496657
Position 9101: 0.013342419694854269
Position 341: 0.012255949028017738
Position 12451: 0.010331151298631523
Position 12639: 0.00722440670959903
Position 2574: 0.00579242469258935
Position 1046: 0.005328633647657628
Position 157: 0.00475711880995018
Position 755: 0.004210199882503924
Position 986: 0.002186163386557951
Position 3083: 0.0016481697085484368
Position 4716: 0.0016034192125279007
Position 2543: 0.001302259008616666
Position 1031: 0.0011662247371372596
Position 918: 0.0011340536425208483
Position 555: 0.0011306031772232003
Position 3018: 0.0007507292955203743
Position 460: 0.0005137491405940837
Position 2581: 0.0004642612844084604
Position 2479: 0.00036759943519163265
Position 2731: 0.0003304119976964737
Position 6145: 0.0003279053147395708
Position 3277: 0.0002856070499579627
Position 126: 0.00023943575557301765
Position 518: 0.00021638920721297843
Position 70: 0.00021088322620244697
Position 274: 0.00012055035765893058
Position 4674: 0.00011501631755706014
Position 2760: 0.00011368150599344682
Position 745: 7.082736442784277e-05
Position 759: 5.4391895807743205e-05
Position 2745: 4.8456899317963155e-05
Position 582: 4.740529920071027e-05
Position 626: 4.731731745490856e-05
Position 2244: 4.075247779040069e-05
Position 2736: 4.0631036518408e-05
Position 2116: 3.806759966638486e-05
Position 2226: 3.504746610078806e-05
Position 3119: 2.9371932985589197e-05
Position 557: 1.9019676231211146e-05
Position 315: 1.5241960448078747e-05
Position 716: 1.1168352102496211e-05
Position 300: 9.852576879596614e-06
Position 150: 7.84985433751222e-06
Position 155: 6.879174688354595e-06
Position 731: 6.679233205894821e-06
Position 719: 5.7405495551450195e-06
Position 672: 4.914330138412578e-06
Position 462: 4.12717938795202e-06
Position 475: 3.624093665140977e-06
Position 367: 1.4517567215879269e-06
Position 2889: 1.4134390415781364e-06
Position 885: 8.112629647189273e-07
Position 531: 5.911797077829887e-07
Position 501: 2.3633139312920563e-07
Position 473: 1.5701758788024346e-07
Position 417: 5.489788784887309e-08
Position 926: 4.973228949619896e-08
Position 173: 2.2556268905558735e-08
Position 1236: 9.975009797924478e-09
Position 990: 8.471220476618025e-09
Position 206: 7.961893881309624e-09
Position 585: 3.1493984311618697e-12
Position 284: 2.148741013545539e-13
Position 380: 1.5763503968205634e-14
Position 253: 5.440936570015741e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 2043: 0.7924219955787851
Position 12437: 0.7873526029402984
Position 652: 0.33665162717151936
Position 14357: 0.3364246684494563
Position 8799: 0.19561545364285626
Position 13354: 0.18188106518574151
Position 851: 0.1354869891590357
Position 9000: 0.12942654238913107
Position 5431: 0.0667023866408779
Position 12612: 0.06066708447852493
Position 14097: 0.05177243683878301
Position 884: 0.04927766931086979
Position 14288: 0.0424940052218242
