Gene = TRNP1
index = 1489
Annotated 5SS: [906]
Annotated 3SS: [6139]
SMsplice 5SS: [225 906]
SMsplice 3SS: [ 757 6139]
top_k =  500
Partition function (log Z): -9.886645965618014

Sorted 5' Splice Sites (High to Low Probability):
Position 225: 0.7178588631894349
Position 906: 0.6179275759113552
Position 924: 0.27693562797555193
Position 66: 0.11954394174590184
Position 2201: 0.10968583823942078
Position 1695: 0.07753100609950707
Position 5619: 0.06706196865642404
Position 1614: 0.039497703111400426
Position 142: 0.03161030817038697
Position 3054: 0.02872345852491696
Position 4882: 0.028342805810386736
Position 1603: 0.027554417757430293
Position 936: 0.017576205766740807
Position 1646: 0.016364301946978747
Position 1475: 0.011312277534854082
Position 6388: 0.011248774685380424
Position 808: 0.008678901023646598
Position 19: 0.008110171229922922
Position 5367: 0.007645754873446117
Position 416: 0.005272240050086621
Position 4091: 0.004358870989532421
Position 577: 0.0018739543366213453
Position 1858: 0.001515313328681679
Position 13: 0.0013686469082307877
Position 891: 0.0010638348265208666
Position 872: 0.0010591075241779982
Position 5213: 0.0009682218152882875
Position 5100: 0.0009369507380908314
Position 4610: 0.0008724467869939999
Position 2203: 0.0008686137651246728
Position 1880: 0.0007449402847196986
Position 3241: 0.0006964039310266882
Position 672: 0.00046851516518422505
Position 437: 0.00042083400586426093
Position 439: 0.000358886866383857
Position 1062: 0.0003542798807870607
Position 1232: 0.00031898977438501276
Position 1069: 0.0002444480818905472
Position 2563: 6.876721362351613e-05
Position 1795: 6.646946722962251e-05
Position 29: 6.474457282596364e-05
Position 1651: 6.468160585210423e-05
Position 2159: 5.3154863958869994e-05
Position 1016: 4.132357349329283e-05
Position 2051: 3.667987351711959e-05
Position 458: 2.4208967898012043e-05
Position 21: 1.5331989354429595e-05
Position 1518: 1.5147311531347224e-05
Position 1827: 1.5140287114807446e-05
Position 5072: 1.4003940023618937e-05
Position 3050: 1.2543084465064983e-05
Position 940: 1.0848872536884124e-05
Position 229: 9.480451212382313e-06
Position 1072: 8.39158184959077e-06
Position 1133: 7.427950118064274e-06
Position 3: 4.5665618506376616e-06
Position 5: 3.4027083859387805e-06
Position 1082: 1.4537716350586325e-06
Position 662: 7.537984255430674e-07
Position 911: 6.842900161838912e-07
Position 950: 6.716151670216816e-07
Position 26: 5.548130821553573e-07
Position 542: 9.93343386296956e-08
Position 476: 4.590896384586838e-11
Position 172: 2.3544313234170775e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 757: 0.7245472080380319
Position 6139: 0.3613083326664405
Position 6157: 0.2365302133747999
Position 1947: 0.14368270105623993
Position 1445: 0.12159836818614564
Position 7092: 0.11443832810023735
Position 729: 0.08625556552552818
Position 5476: 0.07263666057434255
Position 2798: 0.04868292589232198
Position 1429: 0.0392383309271874
Position 6484: 0.03304757845285211
Position 1474: 0.02927859570298632
Position 1721: 0.022404077679851014
Position 3755: 0.02205422752570799
Position 1968: 0.0209438913736201
Position 3875: 0.018158269634383422
Position 4733: 0.01796426669816039
Position 3171: 0.017249922830748343
Position 5099: 0.014701182177363154
Position 7146: 0.009593037733445503
Position 1448: 0.00927178194326527
Position 3898: 0.00834554418964629
Position 1943: 0.007628716975628307
Position 2107: 0.00723877804386745
Position 797: 0.006444990795530102
Position 4667: 0.006192796068716264
Position 4710: 0.005466996420250568
Position 6563: 0.00434460797737048
Position 3348: 0.0031869858008678037
Position 5993: 0.002416281489607537
Position 3142: 0.002358134295240414
Position 1630: 0.002185635667196349
Position 5563: 0.00186198489710566
Position 6266: 0.0017249910389782212
Position 5014: 0.0014661863752620376
Position 2545: 0.0013677416129113129
Position 2390: 0.0012835852534661206
Position 1538: 0.0012612064678567533
Position 2449: 0.0012444021217810394
Position 2310: 0.0012429575513752044
Position 4364: 0.0011974597917499034
Position 2485: 0.0011717207466878995
Position 6542: 0.001160286103382525
Position 1364: 0.0011195618232360538
Position 6284: 0.0010171035534180116
Position 3784: 0.0009903802316862027
Position 7120: 0.0008701807583302128
Position 6055: 0.0008140350577750058
Position 5829: 0.0007866142019687403
Position 2133: 0.0007194324120854174
Position 3910: 0.0007070635375119331
Position 5940: 0.0006104129910338449
Position 3668: 0.0005701537184618257
Position 3759: 0.0005685718167383749
Position 1589: 0.0005417768502252947
Position 1178: 0.0004839107466381076
Position 1016: 0.0004449923181716907
Position 1452: 0.00042636512922097333
Position 2579: 0.00032663919340272617
Position 1818: 0.00028442027844082114
Position 251: 0.000281316498153522
Position 3107: 0.00023900773118526347
Position 2692: 0.0002101678295091588
Position 3310: 0.00020659260844368716
Position 2838: 0.00020015991329907874
Position 3104: 0.00014137644801649844
Position 1847: 0.0001252996234132016
Position 181: 6.941284912447503e-05
Position 1509: 6.152032479800134e-05
Position 1491: 5.0785888754941626e-05
Position 2901: 4.036665918593642e-05
Position 1552: 2.562907655594554e-05
Position 807: 2.5575273836896675e-05
Position 3010: 2.3670114127839505e-05
Position 1645: 2.3153194087701206e-05
Position 1555: 1.960728384432669e-05
Position 1119: 1.9190757105560412e-05
Position 1638: 1.767750318394892e-05
Position 1613: 1.7469405851065447e-05
Position 1277: 1.4353056615166471e-05
Position 706: 7.444725456618082e-06
Position 1095: 6.5722729675664495e-06
Position 966: 6.391027196906225e-06
Position 121: 6.251688876102551e-06
Position 862: 2.245579295758743e-06
Position 99: 2.0213653695909955e-06
Position 415: 1.993129108057531e-06
Position 846: 1.7661887121441348e-06
Position 1021: 1.6882994110623227e-06
Position 550: 1.5995507294685176e-06
Position 229: 1.1740598461832028e-06
Position 266: 7.259665831601484e-07
Position 385: 6.566129090186371e-07
Position 1229: 6.522929582775804e-07
Position 991: 6.519624010167937e-07
Position 1126: 6.444087674123124e-07
Position 421: 5.350753851906524e-07
Position 466: 5.000324936468616e-07
Position 589: 3.5578744525174283e-07
Position 341: 1.0528340936214509e-07
Position 134: 9.9049559429298e-08
Position 304: 7.291268388626466e-08
Position 592: 6.203921784776949e-08
Position 263: 4.818338198634152e-08
Position 395: 4.027669314702734e-08
Position 451: 3.948552367775897e-08
Position 292: 3.338124784617302e-08
Position 1602: 2.6719449847443692e-08
Position 312: 2.5261978360959922e-08
Position 139: 2.5158703849891434e-08
Position 124: 1.9686436000489408e-08
Position 445: 1.9495116701512357e-08
Position 493: 1.629727146055759e-08
Position 519: 8.615056072951786e-09
Position 283: 7.059427722952685e-09
Position 517: 5.322090044522159e-09
Position 136: 2.8252003774318794e-09
Position 286: 1.3386568269258494e-09
Position 141: 1.2096429078742626e-09
Position 453: 5.345848849227373e-10
Position 917: 4.267486168949346e-10
Position 556: 2.794716704567275e-10
Position 866: 2.4479922479350137e-10
Position 868: 9.992875146769587e-11
Position 277: 9.16903649646437e-11
Position 883: 7.604297493222712e-11
Position 894: 3.537163703834438e-11
Position 525: 7.245758051452258e-12
