Gene = ASZ1
index = 105
Annotated 5SS: [  168   688  5287  7361 41826 42798 44538 45455 46513 47586 58912 60172]
Annotated 3SS: [  587  5163  7248 41713 42662 44412 45378 46455 47475 58805 60057 63774]
SMsplice 5SS: [  168   688  5287 41826 42798 44538 45455 47586]
SMsplice 3SS: [  587  5163 41713 42662 44412 45239 47475 58805]
top_k =  500
Partition function (log Z): -31.524486411443963

Sorted 5' Splice Sites (High to Low Probability):
Position 168: 0.9770596063528719
Position 688: 0.9633605162845905
Position 5287: 0.8431767659350863
Position 7361: 0.44057421132145613
Position 11957: 0.06457074271822705
Position 13305: 0.03682417432155791
Position 11091: 0.025596517023626912
Position 5840: 0.023159274152140245
Position 146: 0.015161234709849692
Position 5727: 0.015035659428951277
Position 4722: 0.014981200072178135
Position 5069: 0.011369080828236785
Position 4118: 0.005576371627273293
Position 5263: 0.004979764866171295
Position 3377: 0.004753850622345671
Position 6235: 0.004438898493570964
Position 11460: 0.002130127687320137
Position 3372: 0.0016642561932869349
Position 4438: 0.0013046100067136766
Position 759: 0.0012063327005012764
Position 4878: 0.000947337400528142
Position 7357: 0.0008347260055886715
Position 5104: 0.000793210273665328
Position 12198: 0.0007140646432444228
Position 1688: 0.0006687652905613862
Position 112: 0.0006655030375768029
Position 1328: 0.0006636896269656477
Position 383: 0.0006436215038113912
Position 399: 0.0006114133873570912
Position 3344: 0.0004984372001119862
Position 7664: 0.0004706553871955915
Position 464: 0.00044484245906288594
Position 2359: 0.0003854822954706167
Position 2023: 0.00036998367989800655
Position 2922: 0.00033007433343959025
Position 266: 0.0002906849116176813
Position 377: 0.000279838685656969
Position 502: 0.0002440173086754433
Position 3134: 0.00021827119820198764
Position 35: 8.101607112648037e-05
Position 298: 4.937643345209717e-05
Position 264: 3.8816402520469676e-05
Position 161: 3.254714427484725e-05
Position 394: 3.06482582266397e-05
Position 201: 2.5560345954490718e-05
Position 302: 1.5274218485989988e-05
Position 522: 1.410066539546625e-05
Position 5385: 9.085897164345384e-06
Position 5241: 7.160603998271816e-06
Position 535: 6.163707568523407e-06
Position 349: 5.896331572453614e-06
Position 472: 2.3911807348679846e-06
Position 352: 1.6362699248166656e-06
Position 731: 8.313222055502332e-07
Position 93: 5.855781087393933e-07
Position 185: 3.8565355879955506e-07
Position 334: 2.2351875981267812e-07
Position 500: 2.1283786562097148e-07
