Gene = SCNM1
index = 1230
Annotated 5SS: [ 162  500  981 1177 1373 2297]
Annotated 3SS: [ 428  891 1078 1283 2101 2943]
SMsplice 5SS: [ 162  500  981 1177 1373 2297]
SMsplice 3SS: [ 428  891 1078 1283 2151 2943]
top_k =  500
Partition function (log Z): 10.447184359172818

Sorted 5' Splice Sites (High to Low Probability):
Position 981: 0.9920511532648227
Position 500: 0.9911619755531885
Position 2297: 0.9848783832934046
Position 1177: 0.9835463870165458
Position 1373: 0.6500293697366122
Position 162: 0.5863968282638753
Position 211: 0.327647808912667
Position 1395: 0.19594955339250844
Position 168: 0.07102686626424429
Position 2978: 0.050058004821351636
Position 751: 0.020283608445516785
Position 2644: 0.01765238580957435
Position 2301: 0.005802434891680648
Position 819: 0.005484605157715602
Position 2602: 0.004511814572377282
Position 2993: 0.004393306861548777
Position 538: 0.0030174734349574157
Position 3178: 0.002911282189707653
Position 1559: 0.0029077503718304186
Position 2876: 0.002694777758434843
Position 1195: 0.0022861514215966783
Position 2874: 0.0018635030717865926
Position 3687: 0.0016854149693754676
Position 255: 0.0010848016806143986
Position 1775: 0.0010652692395187488
Position 1650: 0.0010353910893401473
Position 108: 0.0010309898342551129
Position 1577: 0.0009201977576393456
Position 1441: 0.0008502359036814498
Position 923: 0.0007999329162270401
Position 2970: 0.0006989933475062363
Position 2646: 0.0006620635615952315
Position 985: 0.0005229677245354505
Position 1367: 0.0004105484708348544
Position 1657: 0.0003925561726594482
Position 3082: 0.00038089659584712385
Position 330: 0.00033143594799843706
Position 4021: 0.0003282377063947805
Position 287: 0.0002682233454572855
Position 48: 0.00026257155955268307
Position 2444: 0.00024401807717568499
Position 2036: 0.00024401113261836204
Position 153: 0.00021767975868402877
Position 1732: 0.00019184282122844447
Position 794: 0.00018092262095932706
Position 1609: 0.0001554062937160557
Position 584: 0.00012905585846752674
Position 1634: 0.00012650383376645765
Position 789: 0.00012143016422782118
Position 1519: 9.47111882356488e-05
Position 305: 9.325297964550768e-05
Position 2494: 6.519418873436245e-05
Position 727: 5.9949240397446095e-05
Position 767: 5.965957010711103e-05
Position 778: 4.0357909701035014e-05
Position 290: 3.687642851676658e-05
Position 628: 3.676747663991538e-05
Position 1767: 3.332988377258527e-05
Position 2568: 3.248244952438576e-05
Position 2832: 3.091882958834472e-05
Position 592: 2.5326089340455746e-05
Position 530: 2.2916938854151773e-05
Position 197: 2.1693035327110876e-05
Position 662: 1.854252365070441e-05
Position 105: 1.7847223623219796e-05
Position 142: 1.1089999010130422e-05
Position 1445: 5.525713421469589e-06
Position 1188: 5.313147458501167e-06
Position 113: 4.645996741065383e-06
Position 61: 3.471549819960258e-06
Position 1199: 3.4060570355382335e-06
Position 2314: 2.4947300248535277e-06
Position 2572: 2.4603901259292716e-06
Position 2462: 2.450462583449265e-06
Position 1197: 1.9456858973785067e-06
Position 976: 1.836077376982294e-06
Position 2547: 1.8013221623220114e-06
Position 2690: 1.3963354341000292e-06
Position 957: 1.29343903485316e-06
Position 705: 1.1081267519328623e-06
Position 318: 1.0926404984758147e-06
Position 2631: 8.432122578401425e-07
Position 2619: 6.868489027815602e-07
Position 31: 6.286735802395429e-07
Position 513: 5.420705845601316e-07
Position 285: 4.66348109412487e-07
Position 2558: 3.961431779001861e-07
Position 227: 3.547522364243941e-07
Position 2179: 3.4724067527357485e-07
Position 2777: 2.8490081636529086e-07
Position 2673: 2.8053032275578366e-07
Position 457: 2.663809629022551e-07
Position 438: 1.8895656913824008e-07
Position 647: 1.629104964486556e-07
Position 2998: 6.056102093414916e-08
Position 1042: 4.4378578398678775e-08
Position 1264: 4.095712732004009e-08
Position 2154: 3.612516899242077e-08
Position 2167: 2.2570592754683056e-08
Position 2219: 2.1119305501355996e-08
Position 1433: 1.8601329636058174e-09
Position 400: 7.056956124817582e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1078: 0.9884150068672555
Position 891: 0.9738504131233868
Position 428: 0.9677161986866337
Position 1283: 0.8205625699135242
Position 2943: 0.6391456810278102
Position 2151: 0.35465410031537703
Position 2082: 0.2617092762120057
Position 2210: 0.2069457427728444
Position 2386: 0.18008674209106565
Position 2101: 0.16760129635715643
Position 2412: 0.06895715447789971
Position 3852: 0.0640689085765473
Position 2780: 0.03696292000318873
Position 577: 0.02816992124148169
Position 328: 0.015214385956065809
Position 3130: 0.011401861628729196
Position 4137: 0.009775829552495719
Position 1086: 0.009039827453330044
Position 3227: 0.008839708400609263
Position 1301: 0.00839121892844092
Position 2786: 0.007828518198314307
Position 716: 0.006786215284406164
Position 3969: 0.006538332156796243
Position 3820: 0.005885246828385414
Position 3545: 0.005781457226577637
Position 620: 0.005567056321167526
Position 2960: 0.004964582701220412
Position 2706: 0.004103332287916915
Position 3107: 0.003964691664557546
Position 1319: 0.00394964099179119
Position 1333: 0.003594414031890344
Position 1541: 0.002414995504104082
Position 3223: 0.0023601976144149344
Position 1351: 0.002319527763932354
Position 2392: 0.002090513853110871
Position 962: 0.00182419847633595
Position 3921: 0.0017647303598253622
Position 3385: 0.0016269374024332503
Position 3723: 0.0014737082424398722
Position 1985: 0.00131158607639079
Position 2903: 0.0012484854259259919
Position 3138: 0.0010748084388390552
Position 2857: 0.0010459925100236066
Position 3899: 0.0009960832990229046
Position 3177: 0.0009680668528499625
Position 4185: 0.0009429816704866747
Position 602: 0.000853512006071262
Position 2782: 0.0008441159018379862
Position 2806: 0.000840643411030432
Position 2153: 0.0008059725171767811
Position 3388: 0.0007845778082125382
Position 2601: 0.0007109613935590694
Position 3882: 0.0007039833466669796
Position 3465: 0.0006987941460075712
Position 3590: 0.0006699938014974842
Position 1676: 0.0006667297683143377
Position 4118: 0.0006118171755361042
Position 3479: 0.0005423812460133662
Position 2485: 0.0004942772650046931
Position 2643: 0.00044738270379615007
Position 3678: 0.00044558501474702887
Position 645: 0.0004287212071955643
Position 2550: 0.00042853925788899583
Position 583: 0.00041962158554733286
Position 4165: 0.00036340280147086746
Position 834: 0.0003553568471217627
Position 812: 0.0003455495061894435
Position 3652: 0.0002948504830621413
Position 751: 0.00027962654849775107
Position 2576: 0.0002465155508645383
Position 3854: 0.0002176047220248297
Position 3247: 0.0002171200378637364
Position 2547: 0.0002149827363222063
Position 2106: 0.00019334975727906129
Position 1941: 0.00019296982254778596
Position 3321: 0.0001920453698509397
Position 3927: 0.00018693706810164864
Position 453: 0.0001636080813079007
Position 3297: 0.00015537108491611528
Position 1321: 0.00015315920395251144
Position 4100: 0.00015279409722059005
Position 1104: 0.00014957349424160347
Position 1945: 0.00012506314132203854
Position 3410: 0.00011789950803839017
Position 2251: 0.00010018981902961863
Position 1463: 9.897533701266995e-05
Position 3752: 9.645928307084952e-05
Position 4173: 9.07372457857482e-05
Position 785: 8.883905003701466e-05
Position 260: 8.485382859153781e-05
Position 1367: 8.160754916766048e-05
Position 433: 7.409552994806002e-05
Position 804: 6.931550213578904e-05
Position 1101: 6.330850328968606e-05
Position 1484: 6.258751088482024e-05
Position 721: 5.521037560910853e-05
Position 1645: 5.462613929814195e-05
Position 2035: 5.348592417212228e-05
Position 2167: 4.889585912256319e-05
Position 4145: 4.835829270977673e-05
Position 2174: 4.773359281275413e-05
Position 2235: 4.541156723258006e-05
Position 2619: 4.421031964383117e-05
Position 817: 4.302664871097515e-05
Position 1229: 4.090752012150677e-05
Position 2832: 3.938060524908787e-05
Position 2049: 3.919324970167376e-05
Position 2468: 3.7292100517513504e-05
Position 724: 3.650422598420161e-05
Position 2216: 2.7971547403457202e-05
Position 2033: 2.6656032822780908e-05
Position 2012: 2.642921848413918e-05
Position 1493: 2.6398051195818334e-05
Position 1372: 2.540540381780304e-05
Position 468: 2.5268628114810194e-05
Position 1107: 2.503751257005234e-05
Position 2629: 2.262286457419336e-05
Position 2219: 2.1371753919396445e-05
Position 2263: 2.0346174258753197e-05
Position 1723: 1.9204782807076167e-05
Position 122: 1.8159490315252775e-05
Position 436: 1.782680114071763e-05
Position 1498: 1.6903109248575383e-05
Position 657: 1.4706759459081778e-05
Position 457: 1.4074828959874442e-05
Position 2109: 1.0859886798051276e-05
Position 1880: 1.0526640581848434e-05
Position 1244: 9.710564738120734e-06
Position 1454: 6.67451029628181e-06
Position 1441: 5.789733072381514e-06
Position 1846: 5.649453172014704e-06
Position 3499: 5.233965575437408e-06
Position 2260: 5.222850070057454e-06
Position 2004: 5.1120389444319124e-06
Position 734: 5.10590389629828e-06
