Gene = HRG
index = 664
Annotated 5SS: [ 263 3100 4077 5838 6916 9239]
Annotated 3SS: [ 2982  3985  5670  6834  9136 11094]
SMsplice 5SS: [ 263 3100 5838 6916 8342 9239]
SMsplice 3SS: [ 2982  5670  6834  8204  9136 11094]
top_k =  500
Partition function (log Z): -1.8128944323580483

Sorted 5' Splice Sites (High to Low Probability):
Position 3100: 0.9678747669153426
Position 9239: 0.9420671789627573
Position 5838: 0.8834064753859698
Position 8342: 0.6698355418910467
Position 6916: 0.6596596626921604
Position 263: 0.6002819487546165
Position 134: 0.2803837549306991
Position 4077: 0.2551347310365847
Position 4338: 0.2545697221233427
Position 1603: 0.21610992776111482
Position 4082: 0.16665466149082359
Position 591: 0.12016710928190219
Position 2852: 0.09736131420857926
Position 4004: 0.08834155069731403
Position 1843: 0.07278702659394327
Position 1640: 0.06701343729891786
Position 6351: 0.0621263456064237
Position 10678: 0.05420900118460507
Position 11753: 0.033459878840656196
Position 5854: 0.03236401445762186
Position 8593: 0.032006681738885975
Position 6593: 0.021093140677874486
Position 1800: 0.014969454619532203
Position 9002: 0.014949690104479116
Position 4280: 0.014254107709205446
Position 3602: 0.013324162739063347
Position 1335: 0.012047434850933141
Position 11684: 0.009159470219652065
Position 11627: 0.009082824397222727
Position 1279: 0.008449949796525172
Position 6425: 0.00821133581293724
Position 2700: 0.006813523347540934
Position 3297: 0.006802094177989498
Position 6441: 0.006701548202380761
Position 2872: 0.006412217451193708
Position 7742: 0.006400983356443742
Position 8391: 0.006362123183602368
Position 3743: 0.005568071159943337
Position 2457: 0.005388526052432256
Position 1283: 0.005215728759710656
Position 903: 0.00507478565671502
Position 1685: 0.004919377279432986
Position 468: 0.004350038352607843
Position 11150: 0.004223735638674445
Position 4342: 0.0038416153896827705
Position 7083: 0.003556102816040819
Position 4873: 0.00349229870907435
Position 5986: 0.003470451557358778
Position 3341: 0.0033567965318266895
Position 748: 0.0030595555688350475
Position 3065: 0.003055938447705577
Position 3999: 0.0030145411425110792
Position 1752: 0.0026524773586147537
Position 1609: 0.002538434998605256
Position 1748: 0.00247463792033961
Position 2105: 0.0023557237550863685
Position 11882: 0.0023478291928651592
Position 1874: 0.0020141059262975838
Position 1706: 0.0015382290188949365
Position 1475: 0.0013785650747330633
Position 10901: 0.0013392039136516517
Position 4286: 0.0013187993530675952
Position 1700: 0.001310688033978986
Position 364: 0.001175485514691072
Position 3531: 0.001102745639530502
Position 3451: 0.0009997900362437064
Position 1225: 0.0009989730999243086
Position 1588: 0.0008962264001350003
Position 2704: 0.0007851815916401327
Position 3104: 0.0007585121498722616
Position 3518: 0.0007534770323532018
Position 780: 0.00045657288016315127
Position 10627: 0.0003943706761682784
Position 12: 0.00020292222730656001
Position 464: 0.00014873410713672446
Position 26: 0.00014852931952721827
Position 4071: 0.0001467598750606297
Position 317: 9.525447814165267e-05
Position 1010: 8.593034049558602e-05
Position 290: 7.168231613854442e-05
Position 440: 5.705930392146071e-05
Position 1671: 5.3834154159864175e-05
Position 3694: 4.888481172365331e-05
Position 158: 3.455604536877519e-05
Position 260: 2.332779239794807e-05
Position 9333: 3.293024611986983e-06
Position 10716: 2.6656285181066794e-06
