Gene = MUTYH
index = 900
Annotated 5SS: [ 170 5998 6976 7104 7292 7471 7626 7815 7998 8223 8366 8728 8969 9207
 9873]
Annotated 3SS: [ 5876  6793  7063  7217  7428  7553  7700  7899  8077  8301  8538  8831
  9053  9830 10950]
SMsplice 5SS: [ 170 1882 5998 6976 7292 7626 7998 8223 8969 9873]
SMsplice 3SS: [ 1731  5876  6890  7217  7553  7899  8077  8831  9830 10950]
top_k =  500
Partition function (log Z): 8.3483174909089

Sorted 5' Splice Sites (High to Low Probability):
Position 8969: 0.9886324159641059
Position 7626: 0.9697925013625691
Position 5998: 0.8778835594178825
Position 7998: 0.8729467131004783
Position 6976: 0.8268528518683725
Position 170: 0.8109602016948966
Position 9873: 0.6328568500298146
Position 1882: 0.6048672138359275
Position 8223: 0.5807286704209492
Position 8728: 0.5160407557815873
Position 7292: 0.4596593300600403
Position 8366: 0.432469496526171
Position 5562: 0.2760680953477862
Position 7471: 0.2721296019319818
Position 7104: 0.26273953956451623
Position 9145: 0.23920504541031168
Position 7815: 0.14873027989659482
Position 413: 0.13459013793504543
Position 8445: 0.08947510894322752
Position 7172: 0.08409859914718322
Position 4883: 0.06950211664621964
Position 10079: 0.06855790577650502
Position 10659: 0.0551169146878011
Position 186: 0.051249278219042946
Position 7356: 0.040769627110916556
Position 2203: 0.03311896727203968
Position 2029: 0.025482975211488696
Position 166: 0.024295855096547338
Position 7645: 0.02087528263566187
Position 3555: 0.020506262205426607
Position 1862: 0.020442176126130224
Position 7488: 0.018610420167372854
Position 7182: 0.016330162813777468
Position 8011: 0.015601450659515232
Position 5165: 0.014448478986184204
Position 10677: 0.011318631473567542
Position 1976: 0.011084624764327327
Position 2577: 0.01019785795757476
Position 7324: 0.009160579645050201
Position 490: 0.0082785107781353
Position 6936: 0.008058015071431989
Position 7000: 0.007688497713375605
Position 1509: 0.006903396663157516
Position 533: 0.006294182968723078
Position 3990: 0.0061504748217934635
Position 9564: 0.0056191785051555735
Position 1373: 0.004393487292656757
Position 622: 0.003899234396605628
Position 8246: 0.0035013729552752343
Position 7152: 0.0033314065261499486
Position 10281: 0.003021911338018814
Position 4324: 0.002986657949025386
Position 727: 0.002676962239713966
Position 710: 0.002523103282559029
Position 4903: 0.002202025482022573
Position 146: 0.002137812662084869
Position 10634: 0.0021009587331016705
Position 1019: 0.0020781575704244297
Position 8973: 0.0020653374786722607
Position 1595: 0.0019378427537054205
Position 7958: 0.001808238581561593
Position 831: 0.0017902943293520055
Position 497: 0.001786069643877294
Position 10500: 0.0017506103998112448
Position 9186: 0.0016974156114054836
Position 8154: 0.0015583495806794907
Position 8484: 0.0012850972852810057
Position 7004: 0.001221189373408106
Position 10536: 0.0011414602943766792
Position 9093: 0.0011367131651554147
Position 8302: 0.0009686776711218007
Position 279: 0.0008204471391097388
Position 1837: 0.0008171283006191094
Position 1100: 0.0008151798657034107
Position 6106: 0.0007936225105779218
Position 1024: 0.0007454771666778729
Position 7108: 0.0006948131024424181
