Gene = MOBP
index = 853
Annotated 5SS: [   61 12444 34596 35197]
Annotated 3SS: [12359 34385 34782 45702]
SMsplice 5SS: [   61 12444 32388 34596]
SMsplice 3SS: [12359 32329 34500 45702]
top_k =  500
Partition function (log Z): -21.887878401335463

Sorted 5' Splice Sites (High to Low Probability):
Position 61: 0.9967525147592053
Position 12444: 0.9794274928417547
Position 9366: 0.2928601261833287
Position 10074: 0.271398942773608
Position 13536: 0.2676911489118357
Position 4170: 0.16108299075522647
Position 837: 0.14784370937347083
Position 6505: 0.1013644944106968
Position 2723: 0.10049989770428015
Position 2822: 0.08121553322545572
Position 9419: 0.0782462993642551
Position 12881: 0.06014210899354962
Position 17198: 0.04351121297947966
Position 375: 0.037508340439199206
Position 841: 0.028590435979662016
Position 10068: 0.022327743238148234
Position 12891: 0.017646066000339248
Position 790: 0.013461025612211451
Position 2215: 0.009075918963228942
Position 8463: 0.006961761618780789
Position 8418: 0.005844932834034932
Position 13077: 0.004647898092852665
Position 12566: 0.0038168936087248796
Position 692: 0.0037757115883502064
Position 247: 0.0036729044631360333
Position 902: 0.0036169662796162265
Position 8435: 0.002903084424863458
Position 970: 0.0029026593963202636
Position 5730: 0.0028655015639786415
Position 7614: 0.002356829890525108
Position 7673: 0.002162027328300593
Position 4408: 0.0021295754998151514
Position 4259: 0.001894381565123391
Position 5564: 0.001802972364176968
Position 5778: 0.0017592707722413822
Position 13762: 0.0014645108119987255
Position 6602: 0.0012502160657878053
Position 3811: 0.001039453105955572
Position 6324: 0.0007609098798869974
Position 2286: 0.0006148295884332949
Position 12426: 0.0005146059744159225
Position 172: 0.00035324407312375196
Position 3729: 0.00027326162285308195
Position 17: 0.0001775457680053928
Position 282: 8.172368762402394e-05
Position 378: 2.6845893958773524e-05
Position 124: 7.261595905489468e-06
Position 134: 5.70220626446069e-06
Position 78: 3.826009808852061e-06
Position 679: 1.6667437796047395e-06
Position 235: 1.537099709776209e-06
Position 711: 1.114427061614902e-06
Position 642: 9.002544572437778e-07
Position 602: 7.299193839369344e-07
Position 563: 5.969537949527905e-07
Position 293: 5.880646769310994e-07
Position 270: 4.066118702320726e-07
Position 122: 2.956144354924214e-07
Position 1004: 9.026807150552995e-08
Position 354: 5.0356707925185165e-08
Position 181: 4.425792250379853e-08
Position 751: 2.9692525263448374e-08
Position 2718: 9.454933080019984e-09
Position 508: 5.931785650828014e-09
Position 506: 5.693357770278748e-09
Position 34: 1.8405300063715283e-09
Position 495: 2.50036317032646e-16
Position 455: 1.8534788748293295e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 12359: 0.9480339062378276
Position 22639: 0.39641971154727607
Position 9244: 0.37565228755997687
Position 9912: 0.27003545954665364
Position 13438: 0.22852331004517173
Position 17128: 0.16363049692076664
Position 4051: 0.15471137060117626
Position 12659: 0.15162141017382477
Position 2650: 0.11799738292458184
Position 495: 0.09022811010527379
Position 6269: 0.08246199874597117
Position 17954: 0.08022752617114462
Position 17978: 0.061971231477545435
Position 2749: 0.04912509817150981
Position 18727: 0.04634283088578889
Position 13474: 0.04584650958032043
Position 13837: 0.03940724942784229
Position 12213: 0.03874054924870522
Position 159: 0.03838984431578965
Position 472: 0.03643029805412675
Position 14258: 0.025579836381080866
Position 9944: 0.024315144537645272
Position 6413: 0.020952554641741325
Position 612: 0.02073157254995108
Position 763: 0.01946671149474898
Position 13378: 0.017756873242722696
Position 14014: 0.016702911982911843
Position 13076: 0.01638227011430986
Position 13640: 0.016126011308520802
Position 8338: 0.01604161136578195
Position 2548: 0.0122633583447728
Position 15118: 0.0115878916840779
Position 12954: 0.010870300069613675
Position 17348: 0.010818840598121455
Position 3915: 0.009269568674985157
Position 817: 0.008598525075840262
Position 711: 0.007806203058016021
Position 15969: 0.007267491175056566
Position 12616: 0.00689424373342895
Position 566: 0.006758608172375499
Position 12779: 0.0056038342272164
Position 14458: 0.004995453047135788
Position 5563: 0.004744599999590738
Position 16948: 0.004553450909237937
Position 683: 0.004004415928655052
Position 12931: 0.003768826680430706
Position 14482: 0.0036639853059341147
Position 863: 0.0034329333095686884
Position 1881: 0.00305814635046811
Position 7521: 0.0024061909347968535
Position 7581: 0.0023958796782035155
Position 1804: 0.002208093823238854
Position 2091: 0.0018554779519261066
Position 5475: 0.0018029723641769745
Position 15370: 0.0017504342949987725
Position 15060: 0.001580301722354632
Position 13618: 0.0015586565821249917
Position 14461: 0.0015335138350452834
Position 2479: 0.001477345218282736
Position 2109: 0.0012452330759180042
Position 329: 0.0010996493576377216
Position 254: 0.0008865422134215548
Position 4338: 0.0008730483197269645
Position 10856: 0.0008479666976633358
Position 1989: 0.0007960739314763963
Position 181: 0.0006458353321789772
Position 3427: 0.0005918361226725662
Position 4258: 0.0005014715293351257
Position 2374: 0.0004671972948112064
Position 11011: 0.00041800798146040185
Position 3544: 0.0003515198812664194
Position 176: 0.00029819253756452357
Position 534: 0.00027018596534786267
Position 2008: 0.0002635960422413592
Position 3702: 0.00024838477345753466
Position 2175: 0.00023669716233562833
Position 4578: 0.0002222840194349908
Position 631: 0.00018764429442389327
Position 2675: 0.00016338066384973524
Position 588: 0.00014925230090568272
Position 10578: 0.00011833173238283793
Position 3726: 0.00011222814179386204
Position 3632: 0.00011036142040177194
Position 2396: 9.358514633135837e-05
Position 2425: 8.758423789202771e-05
Position 657: 7.653411151664639e-05
Position 8967: 7.572215149675532e-05
Position 2434: 7.336510293454194e-05
Position 339: 6.403651418061275e-05
Position 2036: 6.14299197517386e-05
Position 9417: 5.2831681029866984e-05
Position 7775: 5.1177267691633564e-05
Position 1833: 4.7814833627400494e-05
Position 2273: 4.137264192205207e-05
Position 2116: 2.9956430848244196e-05
Position 2754: 2.7802549879812358e-05
Position 1767: 1.7274651922769712e-05
Position 3635: 7.797149543005073e-06
Position 3785: 7.735623929192952e-06
Position 871: 7.253254794112163e-06
Position 2198: 6.753824263333041e-06
Position 825: 3.927472738817819e-06
Position 1806: 3.3115529394090642e-06
Position 2017: 3.2843870354125134e-06
Position 642: 3.0183304756959562e-06
Position 2242: 2.875329700808605e-06
Position 771: 1.5657345661439178e-06
Position 304: 1.2937726872324823e-06
Position 310: 1.1702704547049692e-06
Position 367: 8.996446500274569e-07
Position 3932: 8.566529090041992e-07
Position 3965: 4.3766122976820015e-07
Position 2023: 3.298783666299878e-07
Position 186: 3.0502909479182564e-07
Position 219: 2.845228269641113e-07
Position 224: 2.584954836911487e-07
Position 211: 2.158121210603464e-07
Position 789: 1.1956871751927118e-07
Position 720: 8.996143413371931e-08
Position 363: 8.411056568934874e-08
Position 347: 8.085399035795093e-08
Position 204: 7.906308298173459e-08
Position 663: 5.905067323752797e-08
Position 226: 4.873784239716869e-08
Position 717: 4.373064555822705e-08
Position 306: 3.4710687772763836e-08
Position 299: 2.3963887630634785e-08
Position 687: 2.084375278779455e-08
Position 192: 2.002831735734662e-08
Position 734: 1.948441289061324e-08
Position 122: 1.3796141224839996e-08
Position 2793: 1.3553900311978536e-08
Position 308: 6.57279534881331e-09
Position 194: 6.565605616441584e-09
Position 622: 4.8507115596032755e-09
Position 773: 4.154445063114201e-09
Position 891: 3.8975333136512236e-09
Position 455: 1.1496121276871843e-09
Position 318: 4.6839821709663506e-11
Position 659: 3.0308731705081104e-11
