Gene = NCBP1
index = 916
Annotated 5SS: [  290  7257  8037  9735 11599 12107 13936 14598 16975 17748 20283 21319
 22139 22460 25118 27443 28519 29422 30818 33252 35349 36081]
Annotated 3SS: [ 7167  7935  9577 11490 11984 13865 14381 16876 17683 20171 21253 22075
 22384 25013 27319 28415 29327 30713 33136 35219 35966 37459]
SMsplice 5SS: [  290  1402  7257  8066 11599 12107 13936 14598 16975 20283 22139 22460
 25118 27443 30818 33252 35349 36081]
SMsplice 3SS: [ 1312  7167  7935 11490 11984 13865 14473 16876 20171 22075 22384 25013
 27355 30713 33136 35219 35966 37459]
top_k =  500
Partition function (log Z): 37.83997380194759

Sorted 5' Splice Sites (High to Low Probability):
Position 27443: 0.999078024305732
Position 290: 0.9947820025056149
Position 35349: 0.9876602880722954
Position 14598: 0.9736669865670894
Position 30818: 0.9708886599545757
Position 22460: 0.9660189354331271
Position 36081: 0.9605603999269644
Position 33252: 0.9545138839029234
Position 11599: 0.9458988228575256
Position 22139: 0.9157413830930415
Position 7257: 0.9087407485836106
Position 20283: 0.8704058446594547
Position 13936: 0.8458132681207449
Position 16975: 0.8295597946519451
Position 25118: 0.7871727079757033
Position 12107: 0.6805499806018319
Position 8066: 0.666775873152514
Position 9735: 0.6607812240189966
Position 24945: 0.6193429216681683
Position 1402: 0.5204596002077391
Position 5842: 0.5169998797949221
Position 29422: 0.459289892269175
Position 37598: 0.4546938533322358
Position 24255: 0.3743870670984962
Position 24820: 0.3436728422229265
Position 21319: 0.3421303362975869
Position 8037: 0.3092183962093082
Position 13759: 0.29627703867376765
Position 7543: 0.29083766295871183
Position 29769: 0.2753076759305635
Position 13755: 0.24387411337373885
Position 35066: 0.2314529077497553
Position 25153: 0.1699784451356653
Position 6585: 0.1628821479176758
Position 1694: 0.16104415097960117
Position 28355: 0.14356432262390412
Position 37870: 0.12811482671382735
Position 28519: 0.12664131314988403
Position 1377: 0.1139688144072417
Position 12143: 0.09952861230133223
Position 7817: 0.09223751601533871
Position 14084: 0.0887020173091244
Position 7741: 0.08157673366225818
Position 17033: 0.08099124502572844
Position 7582: 0.07675829849686383
Position 36741: 0.07096081099905022
Position 26948: 0.06469567963839541
Position 21880: 0.06259393278871846
Position 7379: 0.061407162722615524
Position 747: 0.0551115733570264
Position 32989: 0.05266295458081957
Position 22149: 0.05217692919259208
Position 37232: 0.04842471815791273
Position 39156: 0.04831922147573508
Position 23273: 0.04825005106026972
