Gene = UBLCP1
index = 1521
Annotated 5SS: [  280  5989  6919  7365  7563  9041 11542 12166 15274 20259]
Annotated 3SS: [ 5788  6826  7278  7446  8941 11503 12066 15156 20130 21822]
SMsplice 5SS: [  280  3478  5989  6919  7365  7563 15274 20259]
SMsplice 3SS: [ 3254  5788  6826  7278  7446 15156 20130 21822]
top_k =  500
Partition function (log Z): 10.150034966358405

Sorted 5' Splice Sites (High to Low Probability):
Position 5989: 0.9988479435556452
Position 15274: 0.9930503172947659
Position 280: 0.9891610473992403
Position 7365: 0.9843034186280231
Position 20259: 0.9842337714859223
Position 7563: 0.9686959088059184
Position 11542: 0.7753516540807458
Position 6919: 0.6348915499502181
Position 3478: 0.6171746125484565
Position 11332: 0.4836661387588664
Position 4610: 0.46370385896695815
Position 14533: 0.28224959917803244
Position 18713: 0.280052093373222
Position 20554: 0.2035618452870859
Position 21692: 0.17109807161750712
Position 18626: 0.17005118131719377
Position 16684: 0.16308838795821415
Position 9041: 0.16023867242235787
Position 9704: 0.15301989215030004
Position 6459: 0.1384335054225515
Position 2531: 0.1356829055217007
Position 12166: 0.1348695714841225
Position 18666: 0.12650762578525837
Position 1606: 0.08848809363541468
Position 1103: 0.08712421193846252
Position 18500: 0.056944595514940285
Position 16254: 0.04741617940939374
Position 18527: 0.04552232165778237
Position 6368: 0.041781185614202715
Position 6905: 0.03208559635598631
Position 16690: 0.0289252072258193
Position 4484: 0.02749372342530123
Position 5465: 0.02619203462782316
Position 4522: 0.024084534601111502
Position 5394: 0.0240283060312743
Position 17064: 0.022202868797090866
Position 3337: 0.02046052693409389
Position 6164: 0.020382734246881126
Position 7107: 0.01898492105086968
Position 20884: 0.018896859971310492
Position 4838: 0.01882493604819465
Position 5556: 0.017440393348466386
Position 16181: 0.014400336902200104
Position 18428: 0.014004902838785357
Position 16786: 0.013961078564054062
Position 1112: 0.012333410303118143
Position 9754: 0.010909481155635156
Position 10439: 0.010799147139793863
Position 8248: 0.010385610672057646
Position 263: 0.01014026022835697
Position 3346: 0.009682711460187699
Position 18486: 0.009330322651686446
Position 4252: 0.00865484034722585
Position 18671: 0.008653508636515234
Position 5524: 0.008335694157450202
Position 13792: 0.008147560986680291
Position 21154: 0.008067850003688025
Position 721: 0.00775528641354381
Position 15157: 0.007262661586763988
Position 3013: 0.006807698291452151
Position 2941: 0.006475032439739833
Position 8361: 0.005296605504908136
Position 1687: 0.0052438542601248046
Position 2722: 0.005227118441567102
Position 3026: 0.005159992265780617
Position 14592: 0.004576871610969876
Position 6693: 0.004050932774227666
Position 2907: 0.003830167763868362
Position 747: 0.003793674603567344
Position 685: 0.003781737361550057
Position 1362: 0.0036254475375297347
Position 3796: 0.0034092780154666145
Position 6229: 0.0031859964447192067
Position 6476: 0.0031198666850949497
Position 7003: 0.002945109654330547
Position 6749: 0.0021767667335055294
Position 3226: 0.0020028237937394578
Position 6320: 0.0019303613280117781
Position 758: 0.001843225842803925
Position 1076: 0.0016894142525366422
Position 2662: 0.0016691292665662993
Position 3600: 0.0016243826928311654
Position 6578: 0.0015831657692757662
Position 5340: 0.0013406624268107715
Position 6158: 0.0012913645780638834
Position 3294: 0.0010961846619537384
Position 1858: 0.0010665509236291051
Position 996: 0.0010659330615517253
Position 822: 0.001065296957580848
Position 3659: 0.0007989162173360794
Position 3142: 0.0006103441367767857
Position 21128: 0.0005713000754906693
Position 5157: 0.0005523588698448903
Position 16237: 0.00045783482105007586
Position 7693: 0.00044339090788192946
Position 20532: 0.0004098473962392952
Position 4739: 0.0004062729259829072
Position 7567: 0.0003803663969401523
Position 8600: 0.00036257654797717284
Position 4334: 0.00029046260069933447
Position 7571: 0.0002898835623970611
Position 7345: 0.0002630669355899578
Position 7402: 0.00023747295069442967
Position 5982: 0.0002232760418776798
Position 8284: 0.00019418574619132112
Position 637: 0.00019417625356108582
Position 16154: 0.00018237309418484547
Position 17030: 0.00017391485258749548
Position 8855: 0.0001504848229100805
Position 7387: 0.0001501393734816503
Position 8149: 0.00014606651005050423
Position 6100: 0.00013261244736168952
Position 7535: 0.00012719466398372034
Position 8319: 0.00012436286874751632
Position 1282: 0.00011156203253171778
Position 7369: 9.020986398697906e-05
Position 21985: 8.523882630400147e-05
Position 7775: 8.516599906712406e-05
Position 1189: 7.884270304331898e-05
Position 7354: 7.354874558457739e-05
Position 888: 7.332917489997444e-05
Position 1334: 7.120521240590327e-05
Position 1367: 6.42177612815715e-05
Position 44: 5.678433609745824e-05
Position 687: 5.29132811892759e-05
Position 7805: 5.207948554652622e-05
Position 504: 5.07439350238233e-05
Position 9080: 4.983529951190918e-05
Position 1477: 4.434019641386271e-05
Position 191: 3.541692089402101e-05
Position 38: 3.238101201294237e-05
Position 924: 2.4537631271051883e-05
Position 692: 2.2941612060890803e-05
Position 241: 1.7933549846789118e-05
Position 740: 1.5240194495883822e-05
Position 902: 1.3277642670744965e-05
Position 1484: 1.3259521470551786e-05
Position 6129: 1.2996723009271545e-05
Position 892: 1.1245595652938596e-05
Position 711: 1.0020358984065099e-05
Position 226: 8.956801894854249e-06
Position 1692: 8.20306026886189e-06
Position 1926: 7.730262129126702e-06
Position 641: 5.225144375994596e-06
Position 287: 5.199808084421342e-06
Position 395: 4.2460686889544145e-06
Position 197: 3.594319920166064e-06
Position 216: 3.0267340914856665e-06
Position 76: 2.6663318314500995e-06
Position 599: 2.0076029701933607e-06
Position 249: 1.7994755618568046e-06
Position 179: 1.6282671667445282e-06
Position 133: 1.4578132991307665e-06
Position 704: 1.302784394274368e-06
Position 1149: 7.778630414268419e-07
Position 1107: 7.609082177103401e-07
Position 6592: 7.569538041722546e-07
Position 771: 6.944069349551873e-07
Position 984: 6.930128466720156e-07
Position 960: 6.616738074082266e-07
Position 1094: 5.781583141992291e-07
Position 325: 3.877368789343954e-07
Position 675: 2.3432287600296049e-07
Position 136: 1.332520830884832e-07
Position 975: 7.982023519488661e-08
Position 5966: 2.4856275439188935e-08
Position 141: 2.3747259380615854e-08
Position 440: 1.7407720649271536e-08
Position 68: 1.623453273699336e-08
Position 393: 9.010065074401447e-09
Position 508: 6.462347146091263e-09
Position 496: 4.112912771518924e-09
Position 399: 2.9103507854832696e-09
Position 342: 2.1280869528140326e-09
Position 405: 1.1401160884118942e-09
Position 158: 1.7978731452638426e-10
Position 471: 1.4225823561071544e-12
Position 364: 1.367580992003236e-12
Position 455: 8.673307796171604e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 20130: 0.9872560417225484
Position 5788: 0.9697213570077552
Position 7278: 0.9683655605610935
Position 7446: 0.9216076884774712
Position 21822: 0.8456229731883349
Position 15156: 0.7224477913887352
Position 6826: 0.5884700754417667
Position 3254: 0.5501137541455154
Position 4360: 0.4966246987942564
Position 11246: 0.4678872733818607
Position 18593: 0.40319104489251795
Position 11503: 0.3652761560817649
Position 18339: 0.30949031923197945
Position 14509: 0.262995711695383
Position 11442: 0.2541999450143863
Position 15044: 0.2319191450045662
Position 20370: 0.20322851001428463
Position 8941: 0.13143019764107935
Position 11415: 0.1255768830265687
Position 9546: 0.10571499882652709
Position 16643: 0.10146681780081186
Position 6225: 0.09936795619598601
Position 16504: 0.09787009640495684
Position 12066: 0.09017970358165846
Position 21598: 0.08517745052438326
Position 2409: 0.08262947696533275
Position 5311: 0.07734849048143959
Position 6659: 0.07096733143131394
Position 975: 0.06490833270026003
Position 15997: 0.05368727894389085
Position 21532: 0.052177855294156514
Position 1440: 0.04628055922738517
Position 6305: 0.04566867432169777
Position 7476: 0.044843437103856944
Position 2197: 0.04373310803130754
Position 21017: 0.04211727650997576
Position 15076: 0.0408436995370829
Position 11817: 0.040681765571689954
Position 21549: 0.03674995982162833
Position 1548: 0.03600028408871664
Position 3220: 0.03195890848003931
Position 8948: 0.028684315117996267
Position 6260: 0.02677947444089279
Position 3357: 0.02408275228688304
Position 20996: 0.023961641728633715
Position 14204: 0.023830759093619137
Position 20488: 0.02323386838862529
Position 6095: 0.020496118770547137
Position 20748: 0.020439950840541905
Position 10987: 0.019922243577748723
Position 821: 0.0195430706996491
Position 9631: 0.018816883970951288
Position 11287: 0.017096235561541495
Position 4393: 0.01695624581005829
Position 3279: 0.016747794704989636
Position 8099: 0.014588984173194408
Position 7240: 0.01354535995976545
Position 3256: 0.012951051992565337
Position 9567: 0.012837872304459047
Position 2495: 0.012828061278437901
Position 856: 0.012552181778730968
Position 545: 0.012280691959678722
Position 4692: 0.012047900663813917
Position 9612: 0.011839081407239452
Position 22401: 0.011680051644229606
Position 5833: 0.01117654455292597
Position 5806: 0.010893418089536606
Position 22912: 0.010819529968051753
Position 2920: 0.010722701042652206
Position 10285: 0.010411238805155036
Position 6753: 0.01037314035926263
Position 16973: 0.009985041694604329
Position 4158: 0.009812758264893312
Position 6155: 0.009384840315138622
Position 11455: 0.009059056195741612
Position 16180: 0.00858803622137903
Position 13688: 0.00814756098668029
Position 22712: 0.00766078413812092
Position 21737: 0.0071518699056928444
Position 6991: 0.006717053910847591
Position 21783: 0.006397726460086779
Position 6696: 0.006328264066998748
Position 16953: 0.006197494489010197
Position 16927: 0.006194247466063838
Position 1232: 0.006180519027851631
Position 3405: 0.005672243063343986
Position 1517: 0.005270406810092129
Position 6393: 0.005132362886910337
Position 15235: 0.005102342951145094
Position 9588: 0.004782750002770866
Position 2784: 0.004595926608681736
Position 16545: 0.004566955665893629
Position 995: 0.0041666063055002716
Position 2917: 0.0041643673336868295
Position 9349: 0.004134034050177362
Position 20399: 0.004097999070209102
Position 11936: 0.004008102330774118
Position 6577: 0.003950995821132006
Position 9511: 0.003946144688691035
Position 6796: 0.003848186736274736
Position 5895: 0.0034202367278237797
Position 3408: 0.0034093779032258035
Position 22429: 0.0033591266276651716
Position 1476: 0.0030213565495186855
Position 7015: 0.002967924924696976
Position 3639: 0.0028399590823004026
Position 2787: 0.0028276347949737083
Position 4488: 0.0028029475427175914
Position 4831: 0.0026657717375493085
Position 20553: 0.0026569405839029004
Position 675: 0.0024918491755271535
Position 2615: 0.002439797677840162
Position 22011: 0.0023041854467676743
Position 5924: 0.002297973225061183
Position 3511: 0.0021769965786178824
Position 16683: 0.0020161166046094446
Position 3424: 0.0018886279209454951
Position 7161: 0.0016596924717591096
Position 504: 0.0015932301085641355
Position 5898: 0.0015879006389975814
Position 9655: 0.0015876668655630242
Position 20777: 0.0015401885806133914
Position 4743: 0.0015156374759791509
Position 3125: 0.001452175926691349
Position 6229: 0.0013971397351570651
Position 6838: 0.001368012333454501
Position 3292: 0.0013098308659151565
Position 20416: 0.0012474349564353731
Position 7120: 0.0012102962793298603
Position 20325: 0.0010855763123692227
Position 22517: 0.0010721147754431165
Position 581: 0.0010586028949215408
Position 6132: 0.0010546175690092714
Position 4330: 0.0010326686262056308
Position 20825: 0.0009795314137758635
Position 6368: 0.0009157392708255706
Position 3019: 0.0009021826420377072
Position 21915: 0.000870211792972829
Position 7515: 0.000839780134771108
Position 8142: 0.0008154597996169045
Position 6773: 0.0008109639605895004
Position 1738: 0.0008021629520409731
Position 1030: 0.0007408715715988668
Position 6263: 0.0007224644337468232
Position 7282: 0.0007205642524709998
Position 21978: 0.0006399767289792154
Position 7339: 0.0005507026479495416
Position 6100: 0.0005499431260043457
Position 1635: 0.0005398182163086856
Position 637: 0.0005087649864282028
Position 7644: 0.000499194495789391
Position 4994: 0.000467856518641043
Position 22852: 0.00046745496546394237
Position 10113: 0.0003879083346388153
Position 7291: 0.0003870674592547356
Position 8104: 0.0003719155045229478
Position 22085: 0.00031844915588669895
Position 8045: 0.0003143665457491038
Position 2132: 0.00029402522488200923
Position 2880: 0.00027118448572774025
Position 9383: 0.0002699411895560182
Position 16086: 0.00024802224952956555
Position 3667: 0.00024068781079224677
Position 1390: 0.00023695216156473844
Position 468: 0.00023513947534672047
Position 22868: 0.0002221018708366048
Position 3619: 0.000204682831094117
Position 2165: 0.00018615802769546557
Position 840: 0.0001796747575152761
Position 2580: 0.00017877976406803308
Position 6119: 0.00016427886133748602
Position 2210: 0.00015384835635318884
Position 6327: 0.00015323549007183144
Position 7020: 0.00015041211099566432
Position 8259: 0.00014201476094992876
Position 21323: 0.00013970341810300206
Position 2838: 0.00013950733526180422
Position 20858: 0.00013631074426469024
Position 3089: 0.000134543801117278
Position 1061: 0.00013193016065406188
Position 2332: 0.0001304968125188687
Position 20846: 0.00012473439776033502
Position 3703: 0.00012394829127984833
Position 7451: 0.00012228307334919214
Position 3573: 0.00011331615617551008
Position 8888: 9.80754205713167e-05
Position 18225: 9.45165356921046e-05
Position 1148: 9.302731341185038e-05
Position 897: 9.057414565658498e-05
Position 187: 8.707712273215256e-05
Position 2666: 8.481696127945993e-05
Position 8710: 8.099432151193297e-05
Position 8959: 7.591954222276432e-05
Position 8785: 6.949050139814764e-05
Position 8057: 6.862263250668947e-05
Position 21357: 6.784986223515836e-05
Position 8585: 6.642046237176284e-05
Position 5037: 6.615064048270245e-05
Position 877: 6.186671773726855e-05
Position 1763: 6.123879833216428e-05
Position 15391: 5.1693586815420564e-05
Position 16296: 4.967214928528575e-05
Position 8418: 4.6272567752731446e-05
Position 16433: 4.042740332091866e-05
Position 7932: 3.146483607652222e-05
Position 8359: 3.0384118815055358e-05
Position 20491: 2.7183863275729934e-05
Position 641: 2.665682642704358e-05
Position 8197: 2.4181113439468005e-05
Position 471: 2.3806856120895312e-05
Position 7478: 2.0176036466116857e-05
Position 6310: 1.952906894743055e-05
Position 607: 1.9371155598449647e-05
Position 4855: 1.8351710721144847e-05
Position 15512: 1.6373735350587907e-05
Position 20345: 1.2798271559702719e-05
Position 262: 1.2063590171553413e-05
Position 6206: 1.0586048787625944e-05
Position 885: 1.0409224319314654e-05
Position 8071: 9.321334936787248e-06
Position 1361: 6.91917806683908e-06
Position 2283: 6.6806420616115096e-06
Position 1889: 2.5920212456264476e-06
Position 7384: 2.552698924200743e-06
Position 2248: 2.4186252256658305e-06
Position 929: 2.287257156882389e-06
Position 417: 2.0526608223955392e-06
Position 704: 1.9404150986181816e-06
Position 1043: 1.7891793221597452e-06
Position 1040: 1.4085818585029798e-06
Position 440: 1.2516394355510617e-06
Position 234: 1.1316726506939821e-06
Position 405: 1.071721106065749e-06
