Gene = CPOX
index = 404
Annotated 5SS: [  775  2712  3092  5011  8283 12317]
Annotated 3SS: [ 2567  2980  4868  8063 12211 12952]
SMsplice 5SS: [  705  2712  3092  5011  8283 12317]
SMsplice 3SS: [ 2567  2980  4868  8063 12211 12952]
top_k =  500
Partition function (log Z): 2.1169740708259925

Sorted 5' Splice Sites (High to Low Probability):
Position 8283: 0.9932228220903451
Position 3092: 0.9790353589830143
Position 12317: 0.9670499204115621
Position 5011: 0.8269343770476458
Position 2712: 0.6112049913992862
Position 4062: 0.5932584270210461
Position 705: 0.4238672825954074
Position 13032: 0.40338650910638923
Position 726: 0.24478665559870333
Position 109: 0.22358306320541121
Position 13213: 0.1953881646990177
Position 775: 0.14643538770733677
Position 5921: 0.09421579930574862
Position 8894: 0.08799819467440273
Position 5015: 0.08490581720717967
Position 6609: 0.05836034066432102
Position 8158: 0.04392680177198393
Position 12154: 0.03777714162823537
Position 157: 0.0347400226300584
Position 203: 0.032990387607217106
Position 964: 0.030106626125796496
Position 12619: 0.026408504779972763
Position 8506: 0.02497570702826914
Position 12577: 0.02305754550603145
Position 6062: 0.022604106701587832
Position 2624: 0.018763727233579042
Position 151: 0.017793908718503986
Position 11198: 0.017690908390759562
Position 9158: 0.01489939806781369
Position 2056: 0.013487952811893165
Position 438: 0.013296987840087055
Position 12141: 0.013166200448700108
Position 2941: 0.011414821545530036
Position 8117: 0.01020381332445122
Position 10789: 0.010097070953477276
Position 2374: 0.009650990052831059
Position 13494: 0.009499625174897518
Position 1053: 0.008665898446694258
Position 7692: 0.007855582834857017
Position 6523: 0.007747846202874179
Position 8952: 0.007525446849628879
Position 470: 0.007017255291144424
Position 12646: 0.006311144642712404
Position 10516: 0.006286711348677885
Position 873: 0.005330258015874997
Position 7351: 0.005212110883718462
Position 8742: 0.0049620377782021476
Position 7946: 0.004762730765484221
Position 8804: 0.004581665773628383
Position 3265: 0.00438168492565085
Position 6905: 0.004038968315579977
Position 6340: 0.0031481097148825473
Position 11000: 0.0031162877551099057
Position 12900: 0.002914909772622907
Position 4032: 0.002176801975132999
Position 2029: 0.00213468342950168
Position 5941: 0.00212887053100671
Position 12212: 0.002033325528682545
Position 3117: 0.0019044902292530723
Position 8170: 0.0012234834650404034
Position 2602: 0.0010605411917587293
Position 4189: 0.0007256919041493458
Position 2981: 0.000717206624491106
Position 1085: 0.0007070760072111407
Position 3326: 0.0006591647459139436
Position 3712: 0.0006246938122543865
Position 474: 0.0005695639255250135
Position 1238: 0.0004984618709366741
Position 758: 0.0004971090336540884
Position 825: 0.00044977832458303424
Position 1612: 0.00041030171668034605
Position 820: 0.00040944211531024257
Position 877: 0.0003687897857257488
Position 8327: 0.0003463194988608917
Position 5687: 0.00033731255125134463
Position 12704: 0.00030641943305626456
Position 4004: 0.00027959471815066386
Position 1193: 0.0002759726391105262
Position 4193: 0.00013296195290302807
Position 4195: 0.00012805343880428635
Position 305: 0.00012263612848311642
Position 5497: 7.931309094508674e-05
Position 5565: 7.713791513992502e-05
Position 5570: 7.178339803736692e-05
Position 357: 7.088210577185523e-05
Position 504: 6.169862183608369e-05
Position 122: 5.966958238398209e-05
Position 209: 5.502342082192777e-05
Position 332: 3.1413525209484314e-05
Position 5694: 2.1774406736126454e-05
Position 419: 2.1629332028554406e-05
Position 4968: 8.55116152496105e-06
Position 4980: 7.601222166840628e-06
Position 832: 7.356529274790817e-06
Position 299: 6.342744571453028e-06
Position 5382: 1.2514562295188542e-06
Position 4011: 7.925742199951189e-07
Position 884: 7.422720692733158e-07
Position 621: 6.044836560744407e-07
Position 521: 5.619299367285238e-07
Position 989: 1.455034817203056e-07
Position 58: 1.110125117878486e-07
Position 906: 1.515534521958025e-08
Position 992: 9.518744594246357e-09
Position 707: 3.540184873440527e-09
Position 264: 2.150423054359496e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2980: 0.9416510091635083
Position 12211: 0.8630720104878471
Position 4868: 0.80197590416543
Position 8063: 0.7201745392460563
Position 12952: 0.6314736908839356
Position 2567: 0.4779602429914742
Position 3923: 0.3258908239517774
Position 13922: 0.1849401872421841
Position 12978: 0.1824886849504427
Position 3966: 0.17163654293358016
Position 8086: 0.1639531440920653
Position 13128: 0.15767274933392084
Position 8250: 0.12491786178656637
Position 12051: 0.11227353910319783
Position 4950: 0.10573432296408426
Position 14015: 0.09857371324616136
Position 604: 0.09647281834125257
Position 5824: 0.09183088711238208
Position 13451: 0.08791629408812437
Position 8770: 0.08384765246668087
Position 2617: 0.07580371286463235
Position 4000: 0.07097795375201206
Position 12270: 0.05270027130822322
Position 2657: 0.05221627679384932
Position 601: 0.05024787062916148
Position 12512: 0.0474149156469317
Position 6471: 0.03662549073655576
Position 13975: 0.03600900043814374
Position 13394: 0.03156206353264334
Position 12867: 0.03126143888810575
Position 13690: 0.028873428315801225
Position 3030: 0.02878416493017463
Position 5650: 0.026505754040984836
Position 6456: 0.026411082863146536
Position 13555: 0.025378599874449737
Position 8402: 0.025119244015678496
Position 509: 0.02482227130764221
