Gene = KMO
index = 750
Annotated 5SS: [  365 16765 17641 18911 23527 28619 30199 32925 34479 36514 54605 56699
 57982 58132]
Annotated 3SS: [16694 17542 18820 23477 28530 30032 32852 34356 36365 54546 56615 57879
 58071 59820]
SMsplice 5SS: [  365  3504 16765 17641 17882 18911 23527 30199 34479 54605 56699 57982]
SMsplice 3SS: [ 3412 16694 17542 17772 18820 23477 30032 34356 54546 56615 57879 58071]
top_k =  500
Partition function (log Z): -12.908746092490357

Sorted 5' Splice Sites (High to Low Probability):
Position 16765: 0.9983054485553893
Position 18911: 0.9968901441002201
Position 30199: 0.9784010137301064
Position 365: 0.9746079761252292
Position 34479: 0.9709485705368787
Position 23527: 0.9539708470223625
Position 17641: 0.9402822479200637
Position 3504: 0.7097854546441827
Position 17882: 0.6900509219328833
Position 36514: 0.610216429720463
Position 3680: 0.34561036187928085
Position 4431: 0.3381085996851733
Position 8333: 0.31353157760009764
Position 3472: 0.2614053412594614
Position 21322: 0.18421379710621152
Position 42299: 0.13849384349314325
Position 40173: 0.11975885686689255
Position 32925: 0.10494433370091608
Position 20787: 0.0962217567018006
Position 36533: 0.09601398549909625
Position 10188: 0.09363088633631847
Position 28650: 0.08201758812744543
Position 10281: 0.07972785869206685
Position 31558: 0.0706404653435583
Position 7655: 0.0691568032426341
Position 32369: 0.06407938364170206
Position 28619: 0.06177860224382795
Position 34867: 0.050784944416551105
Position 1647: 0.048750544957433736
Position 1035: 0.04660462908577669
Position 19634: 0.04234202840907604
Position 21093: 0.04156328396295178
Position 21811: 0.03928341033888287
Position 37874: 0.03663747398805652
Position 18271: 0.031036531050674002
Position 25954: 0.030550779664318035
Position 18245: 0.025227971920131174
Position 17903: 0.023351599646765413
Position 28629: 0.02120964650549239
Position 30162: 0.01853260640268726
Position 960: 0.01834807437239247
Position 28634: 0.016575021510312253
Position 26087: 0.014223940521450427
Position 574: 0.007182707010688851
Position 3886: 0.007016838521521032
Position 2984: 0.006036609396649848
Position 1554: 0.005613834477048209
Position 2463: 0.004804911079457693
Position 36184: 0.004716460151944743
Position 20024: 0.004264771910790596
Position 399: 0.004201433344401202
Position 423: 0.0039636691494613395
Position 20030: 0.0035260466875473885
Position 1662: 0.002665726875803707
Position 5423: 0.0025278701128250295
Position 37721: 0.0025257371580680475
Position 1133: 0.0022235454844113755
Position 392: 0.0021882147204868923
Position 1001: 0.0021816256336414743
Position 37807: 0.0021143207534155073
Position 1537: 0.0020095627411433523
Position 20880: 0.0016219362738135595
Position 1255: 0.0014762929778138515
Position 85: 0.0013588362195570258
Position 341: 0.0013427289268769897
Position 1123: 0.0012832302537621302
Position 19272: 0.0011674617905147503
Position 19337: 0.0008490375823899192
Position 2734: 0.0007502974116890607
Position 819: 0.0007339489700262097
Position 4482: 0.0006448571585683647
Position 4338: 0.0006064896897124329
Position 850: 0.000504749891111159
Position 31796: 0.0003955240966574887
Position 31528: 0.0003682237399579146
Position 6888: 0.0002976617172144526
Position 20421: 0.00025530416965931105
Position 4648: 0.00023108961913444382
Position 6901: 0.00020195195695549867
Position 18834: 0.00018908589210627475
Position 3529: 0.00017990621006300263
Position 5235: 0.0001793374694053564
Position 19464: 0.00016860096674270347
Position 20320: 0.00012498035239197745
Position 240: 7.494267269378833e-05
Position 455: 7.091119615716236e-05
Position 354: 5.125811487687066e-05
Position 141: 4.863192691580559e-05
Position 600: 3.861661288326199e-05
Position 236: 3.5392977273312794e-05
Position 19926: 3.451181026887342e-05
Position 79: 2.614658506381458e-05
Position 19213: 2.3943228443793326e-05
Position 20107: 2.357516607775983e-05
Position 396: 2.3029575346244367e-05
Position 357: 1.7664606431198005e-05
Position 541: 1.731293716541907e-05
Position 927: 1.4822668639543628e-05
Position 308: 1.2520538009852032e-05
Position 922: 1.0934155812250911e-05
Position 46: 9.822609382675277e-06
Position 764: 7.6003020044849255e-06
Position 121: 4.853925174706423e-06
Position 813: 2.054250582683153e-06
Position 792: 1.3950137781165843e-06
Position 467: 1.1362046549753955e-06
Position 290: 1.1215600815646003e-06
Position 1026: 9.62177058242574e-07
Position 44: 8.278784571829542e-07
Position 214: 6.813689447277131e-07
Position 4660: 3.327744753767036e-07
Position 1226: 2.889319388555526e-07
Position 3866: 2.714710270048172e-07
