Gene = BLVRA
index = 135
Annotated 5SS: [   55 12491 29346 32689 34133 41893 45168]
Annotated 3SS: [12457 29223 32568 34034 41784 44995 48296]
SMsplice 5SS: [   55 12491 34133 41893 45168]
SMsplice 3SS: [12457 33974 41784 44995 48296]
top_k =  500
Partition function (log Z): -25.077846626035498

Sorted 5' Splice Sites (High to Low Probability):
Position 55: 0.9945216913888306
Position 12491: 0.9575183730889651
Position 11513: 0.14118405536655618
Position 19502: 0.11877526344958184
Position 3673: 0.10058919943484551
Position 5626: 0.09725618389112799
Position 5272: 0.0655589097921159
Position 13067: 0.056251813851422354
Position 9694: 0.050564546855778915
Position 3785: 0.043455511047376785
Position 3388: 0.043282215571850115
Position 9659: 0.04300106876443391
Position 9628: 0.042091552834154944
Position 1800: 0.039581038227525324
Position 11308: 0.03951081739783617
Position 6114: 0.03144671047157982
Position 4095: 0.029307427582042984
Position 6498: 0.028949707286913692
Position 11836: 0.026820525457516762
Position 8014: 0.023521991455209786
Position 1848: 0.01281125483041634
Position 1088: 0.007545763181196569
Position 11632: 0.006675019103479745
Position 13443: 0.0026505122873580903
Position 4459: 0.002029499274552087
Position 1870: 0.0017046028453414812
Position 5003: 0.001234882713829372
Position 1431: 0.0006190168818125873
Position 3456: 0.0005224927495380478
Position 4815: 0.000520548241472741
Position 677: 0.0004659535470318627
Position 4291: 0.00038119071715286785
Position 236: 0.0002812701085152075
Position 600: 0.0002759412874721149
Position 2825: 0.0001134176782073441
Position 1551: 9.350611298473314e-05
Position 247: 8.665555987180726e-05
Position 3669: 6.291213574170394e-05
Position 866: 6.167214601286279e-05
Position 1036: 5.3186864577193145e-05
Position 3199: 5.125931287232218e-05
Position 6109: 5.041145717525397e-05
Position 268: 4.399009812329319e-05
Position 3545: 3.478873545675847e-05
Position 1094: 1.261943394146251e-06
Position 331: 1.0332291988658584e-06
Position 602: 9.992455118296069e-07
Position 1048: 6.350977932137309e-07
Position 42: 5.451076617434331e-07
Position 494: 5.001723699619925e-07
Position 626: 4.441769841814022e-07
Position 50: 2.7872468164271207e-07
Position 860: 2.7123255138871757e-07
Position 1194: 1.9738468103704043e-07
Position 79: 1.7426173545779682e-07
Position 319: 1.0968279308303556e-07
Position 1242: 9.629135171269186e-08
Position 1184: 6.603421836976292e-08
Position 3054: 6.256478326905141e-08
Position 2551: 5.3249347491639096e-08
Position 797: 4.542812828588281e-08
Position 631: 3.186897963264869e-08
Position 1679: 1.7077025084418876e-08
Position 1213: 1.372961003227683e-08
Position 964: 1.2754072176626557e-08
Position 854: 1.1641460269446735e-08
Position 818: 9.23820573817524e-09
Position 441: 2.511507013172407e-09
Position 100: 2.2067900677924093e-09
Position 14: 1.5275802309174661e-09
Position 649: 5.296072607471143e-10
Position 399: 2.962979930629849e-10
Position 608: 2.707926330495517e-10
Position 353: 2.3899697912883007e-10
Position 347: 2.1540633250367098e-10
Position 344: 7.828698200110076e-13
Position 361: 3.6093148461079096e-13
Position 402: 3.387210834524959e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 12457: 0.9727064106460213
Position 19421: 0.22525906332841636
Position 20395: 0.20109833799546556
Position 11447: 0.15126022912099907
Position 9536: 0.13827353923649505
Position 20074: 0.09816341784703059
Position 18812: 0.09106242087269874
Position 3620: 0.07547674325387935
Position 12558: 0.06720649641600505
Position 5528: 0.06708785918494875
Position 5140: 0.05894984203988824
Position 12911: 0.05650661020082143
Position 19244: 0.05248303289350325
Position 12577: 0.04760004884709125
Position 15406: 0.04332942201592594
Position 3263: 0.03823547279257568
Position 11192: 0.0370641474581202
Position 3585: 0.03425189094896599
Position 11681: 0.029122961666943736
Position 1665: 0.025646573511136382
Position 14579: 0.024210348071753048
Position 5163: 0.022803389946508705
Position 13279: 0.02278016405735259
Position 15922: 0.022378598400676943
Position 14627: 0.021492985178971996
Position 3952: 0.021417224098578356
Position 5924: 0.020169562879329944
Position 13357: 0.019972047568910675
Position 19093: 0.019353178997824027
Position 3554: 0.019203113687502948
Position 7879: 0.01597016542958252
Position 6312: 0.014407397351267283
Position 13533: 0.013703649142578229
Position 18773: 0.01366497336681306
Position 1652: 0.012710899539563374
Position 3597: 0.012285364066313717
Position 5953: 0.012058741191004299
Position 12939: 0.01175816709323801
Position 13096: 0.01156377026463415
Position 12845: 0.011392899957065898
Position 1713: 0.01103320437887488
Position 13815: 0.007882726046000531
Position 14732: 0.0078153806671049
Position 7812: 0.007805055025328117
Position 17020: 0.007443745787901884
Position 6291: 0.007440709720434938
Position 5510: 0.007231239962850916
Position 3976: 0.006213112970246002
Position 16800: 0.006071452447426774
Position 13236: 0.005380802426673588
Position 5566: 0.005220735897933176
Position 13162: 0.005173575842417134
Position 6192: 0.004731417765493123
Position 18318: 0.004486228092066567
Position 12194: 0.004253091136105256
Position 17534: 0.003974402420500368
Position 3319: 0.003569341412053901
Position 10951: 0.0032105586595395433
Position 17365: 0.0029899986925530472
Position 6398: 0.0028627312270122916
Position 1336: 0.002844502292126317
Position 5385: 0.00280769519533762
Position 17063: 0.0027679675050024965
Position 3289: 0.002419550162003251
Position 13629: 0.0021113150443870903
Position 1622: 0.0019958110063898102
Position 12614: 0.001978284891923354
Position 4026: 0.001896136214674444
Position 4311: 0.0018044161636164957
Position 16218: 0.0017072014470077468
Position 3242: 0.0015418207916078452
Position 12971: 0.0014181935914641742
Position 14029: 0.0014035150026685415
Position 13132: 0.0012254875927718398
Position 13717: 0.001212028883586697
Position 3225: 0.0011230175876343008
Position 4982: 0.0010997982505534247
Position 948: 0.0008908708761335188
Position 3734: 0.0008833416072769414
Position 771: 0.0008470766075715481
Position 1332: 0.0006128556253435926
Position 13626: 0.0005984385606891063
Position 13437: 0.000581575693355803
Position 1746: 0.0005509045254028458
Position 1048: 0.0003985114775660422
Position 12715: 0.0003943887748095696
Position 939: 0.00038695812748051455
Position 4807: 0.00036493063412788417
Position 4845: 0.00034310982169405603
Position 889: 0.0002811875559175921
Position 4600: 0.00024559090779635015
Position 4377: 0.00023952089535862812
Position 998: 0.0002391112634314738
Position 364: 0.00017719010511690105
Position 2109: 0.00016692099416193442
Position 5320: 0.00015642548956898758
Position 8473: 0.0001542094064459073
Position 596: 0.00014400776192083809
Position 4580: 0.00014368190170141912
Position 1807: 0.00014033662382419807
Position 10105: 0.00014011717223830574
Position 9679: 0.00012094067143547424
Position 6498: 0.0001169110759039197
Position 8712: 0.00011360651876557964
Position 8163: 0.0001106914715859505
Position 8546: 0.0001061134499275887
Position 4898: 9.972027739426353e-05
Position 3123: 9.716574916031871e-05
Position 4714: 8.510006958253851e-05
Position 1715: 8.146880849498361e-05
Position 929: 8.005200001839262e-05
Position 8075: 7.871273237705299e-05
Position 1730: 7.730357712532418e-05
Position 4116: 7.629316910331221e-05
Position 2771: 7.549910569946981e-05
Position 9334: 7.516722844756555e-05
Position 4512: 7.450338787178284e-05
Position 5807: 7.321140253645363e-05
Position 8360: 6.837729036098128e-05
Position 1119: 6.665915327233302e-05
Position 4200: 6.341562912588607e-05
Position 2744: 5.4218556685339226e-05
Position 4173: 4.043061265975964e-05
Position 2957: 3.287651431670332e-05
Position 6753: 2.8021723964345404e-05
Position 1763: 2.7687962790254563e-05
Position 4113: 2.7399486837495376e-05
Position 3089: 2.0092248399760708e-05
Position 180: 1.9644662224504187e-05
Position 1355: 1.9443274999538203e-05
Position 550: 1.7913914385441326e-05
Position 886: 1.521551009289918e-05
Position 1430: 1.3280198008323122e-05
Position 1269: 1.1768087783923668e-05
Position 860: 1.1750330532956026e-05
Position 5671: 1.1729170340038538e-05
Position 402: 1.1492482044391011e-05
Position 1002: 1.107122288020768e-05
Position 2992: 1.0670843566132636e-05
Position 2820: 1.0541126356855834e-05
Position 2406: 1.0111992986829524e-05
Position 2863: 9.164256031819807e-06
Position 3720: 8.940147342627683e-06
Position 119: 8.644996648274425e-06
Position 156: 8.472815846972836e-06
Position 3652: 7.768098701552457e-06
Position 964: 6.603983521599714e-06
Position 2299: 6.3887053885575645e-06
Position 974: 6.008147203370674e-06
Position 3494: 5.4216321457270015e-06
Position 1168: 5.334424479170294e-06
Position 2056: 4.877866962696603e-06
Position 2931: 4.328676441956614e-06
Position 1543: 4.248573427660647e-06
Position 2963: 3.840953646848068e-06
Position 1887: 3.5399066367185776e-06
Position 2133: 3.0650157024137496e-06
Position 1019: 2.8860492118595545e-06
Position 2353: 2.526727946257074e-06
Position 336: 2.1234215252402786e-06
Position 1087: 1.782555950821582e-06
Position 416: 1.546689840651587e-06
Position 347: 1.462601656989928e-06
Position 371: 1.0573027704476655e-06
Position 916: 8.665851131255744e-08
Position 1064: 4.5660768290894526e-08
Position 957: 2.9166734544245807e-08
Position 774: 1.72848307173136e-08
Position 706: 1.5295621083818997e-08
Position 727: 8.669124672232875e-09
Position 1061: 7.123762185555899e-09
Position 649: 6.181125697774954e-09
Position 619: 5.010544172293838e-09
Position 520: 4.011661508641883e-09
Position 2690: 3.79713344470783e-09
Position 908: 3.544930320412429e-09
Position 2572: 3.1705337375956634e-09
Position 378: 2.6692166192986855e-09
Position 453: 2.628197609371835e-09
Position 631: 2.445558484015029e-09
Position 532: 2.0077616202790195e-09
Position 444: 1.6977639720494413e-09
Position 719: 5.81394956943694e-10
