Gene = INSL4
index = 702
Annotated 5SS: [301]
Annotated 3SS: [2234]
SMsplice 5SS: [ 301 2277]
SMsplice 3SS: [2234 3350]
top_k =  500
Partition function (log Z): -7.150232450116995

Sorted 5' Splice Sites (High to Low Probability):
Position 301: 0.8215576508694833
Position 2277: 0.6345940215465896
Position 625: 0.36644193373530715
Position 3056: 0.20132565959328305
Position 598: 0.09063205662808645
Position 2417: 0.06491139640522615
Position 675: 0.0429126602505551
Position 3079: 0.040274567511149204
Position 1204: 0.035156287946034426
Position 37: 0.03285939877090332
Position 741: 0.028504876128010784
Position 1775: 0.025066502960775897
Position 98: 0.010977982684757909
Position 3047: 0.010779931033438305
Position 736: 0.0084034385262315
Position 1969: 0.006307857042414683
Position 2451: 0.004027374097446398
Position 1070: 0.003672483761199072
Position 1964: 0.0030915383237582173
Position 2070: 0.002940412160822859
Position 630: 0.002469865493982526
Position 2463: 0.0020081663327689036
Position 2458: 0.001951525545675101
Position 3594: 0.0015426795271763739
Position 2441: 0.0014097636887094767
Position 411: 0.0008221130053248034
Position 823: 0.0007950145370457068
Position 3218: 0.000749042351117491
Position 122: 0.0006888450260037199
Position 428: 0.0005903338186485586
Position 536: 0.0005206542914958179
Position 1196: 0.0004513850546301558
Position 2382: 0.00039546506888712263
Position 3015: 0.00035922192247801835
Position 92: 0.00034199927071905064
Position 1401: 0.00032743877612976077
Position 2973: 0.0002929873033200084
Position 569: 0.00017542180886585322
Position 481: 0.00011522673510796564
Position 196: 0.00011445399457436325
Position 1658: 0.00010749902693053213
Position 54: 9.690051799103795e-05
Position 272: 8.948603904481559e-05
Position 2409: 8.539365887394026e-05
Position 1820: 8.43860854646614e-05
Position 433: 6.171845659193476e-05
Position 373: 3.176444699739182e-05
Position 1292: 2.5851023519489206e-05
Position 199: 2.3983345471509348e-05
Position 116: 2.168794378347388e-05
Position 376: 1.0677796987644764e-05
Position 418: 1.2773231946305024e-06
Position 32: 9.575288260641593e-07
Position 394: 9.390675902375521e-07
Position 474: 8.020953396129918e-07
Position 450: 7.928036307714698e-07
Position 401: 1.2121583970956343e-07
Position 292: 1.178551653660598e-07
Position 415: 1.0101805894696531e-07
Position 224: 8.299049255059692e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2234: 0.8889047175045675
Position 3350: 0.7239102724475551
Position 448: 0.36314366038303825
Position 2965: 0.30860016780491956
Position 979: 0.023038960573514858
Position 555: 0.02211969113996792
Position 1658: 0.01808975280031246
Position 459: 0.013617936358558723
Position 2968: 0.009285691851234805
Position 267: 0.007214557839142229
Position 1867: 0.006750375031714053
Position 1701: 0.006083309417717176
Position 621: 0.004584318050768248
Position 940: 0.004139669032225581
Position 872: 0.004049588567973595
Position 3137: 0.003619443435579835
Position 3442: 0.0035514366529246946
Position 1139: 0.0031565187442777424
Position 3008: 0.0024808049180031415
Position 618: 0.00237378726800084
Position 1772: 0.0023417095523819913
Position 3382: 0.002335059647731475
Position 3456: 0.0017315948650270408
Position 474: 0.0017123365288316845
Position 135: 0.001699571061684453
Position 1533: 0.0014326595357979036
Position 1790: 0.0013888295449140796
Position 1909: 0.0013854139247490346
Position 2312: 0.0012250421087527034
Position 559: 0.0011228938042284553
Position 3844: 0.0010223792817050724
Position 3151: 0.0010073614019875069
Position 2711: 0.0009918860918360529
Position 3741: 0.0007892920616982695
Position 1143: 0.000753681650151881
Position 649: 0.0007415914895017334
Position 2156: 0.0007254025878110584
Position 1291: 0.0006738838727536083
Position 3504: 0.000665892381093697
Position 3077: 0.000642315774359884
Position 3652: 0.0006016696699154373
Position 2377: 0.0005827864848789541
Position 1115: 0.0005774584297764551
Position 3316: 0.0005579799043657228
Position 2936: 0.0003927273316075353
Position 3622: 0.0003830556927438609
Position 2552: 0.00033243981151675475
Position 1075: 0.00032535859300279746
Position 2461: 0.000307385932752695
Position 376: 0.0003045037758002397
Position 1798: 0.00028589518512567357
Position 1098: 0.00025602612307790493
Position 3857: 0.0002527785816334693
Position 3533: 0.00022575349299370676
Position 2046: 0.00022326924148815717
Position 248: 0.0002183671922041216
Position 3215: 0.00016392410942222765
Position 2261: 0.00015294524557837505
Position 1361: 0.0001453805381842681
Position 498: 0.0001356156050730136
Position 2094: 0.0001323601753038392
Position 2417: 0.00013212885689703433
Position 3745: 0.00012070224688488036
Position 2607: 0.00010981692776330621
Position 2747: 0.00010258211020010427
Position 2893: 9.63943236986707e-05
Position 3810: 9.266885166853921e-05
Position 3403: 9.123339811345694e-05
Position 166: 7.876440434923861e-05
Position 484: 7.633587836440976e-05
Position 917: 7.149152214156409e-05
Position 3664: 6.652503097454871e-05
Position 507: 6.466828551312445e-05
Position 401: 6.434284412130596e-05
Position 510: 6.020037592581889e-05
Position 1389: 5.65205301052599e-05
Position 528: 4.952855194629726e-05
Position 2458: 3.528412749409284e-05
Position 641: 3.3510903798839266e-05
Position 2441: 3.319375981322986e-05
Position 2341: 3.127238107318635e-05
Position 1373: 2.0553343237844076e-05
Position 245: 1.3027801296629905e-05
Position 172: 1.1137871837403502e-05
Position 270: 7.24119940321857e-06
Position 581: 4.877972058288557e-06
Position 654: 2.6223546379460157e-06
Position 300: 2.318126166538622e-06
Position 1150: 1.941517531452512e-06
Position 1565: 1.7853855476053798e-06
Position 674: 1.0561869919868737e-06
Position 592: 9.141874284407728e-07
Position 567: 8.710121992331679e-07
Position 718: 8.528119208508191e-07
Position 103: 8.448490098426679e-07
Position 703: 8.117149288245021e-07
Position 168: 7.267276579826463e-07
Position 1085: 5.950207645997426e-07
Position 721: 5.133991858326078e-07
Position 561: 3.655910563408971e-07
Position 515: 3.4686920514879797e-07
Position 785: 3.1010829660515854e-07
Position 486: 2.9067994959903184e-07
Position 492: 2.4120369167053496e-07
Position 624: 2.3630599483945688e-07
Position 411: 1.813000607063212e-07
Position 349: 1.7829315376551753e-07
Position 597: 1.681259570662418e-07
Position 489: 1.6404802742026263e-07
Position 385: 1.2455170966424469e-07
Position 154: 1.1621294689633822e-07
Position 329: 1.0435814142390715e-07
Position 183: 7.429512491952026e-08
Position 180: 4.7455759830000006e-08
Position 1124: 4.700329740076695e-08
Position 112: 4.6999816421631155e-08
Position 725: 3.715190073451583e-08
Position 177: 1.9696459147442132e-08
Position 356: 1.609382964225417e-09
Position 190: 1.1177465700900643e-09
Position 185: 8.318846344743362e-10
Position 305: 3.462835941080447e-10
Position 307: 9.979178972226156e-12
Position 97: 7.46935013757477e-12
Position 335: 4.641870746646014e-12
Position 594: 4.559578876396694e-13
