Gene = CAMP
index = 276
Annotated 5SS: [ 366 1115 1328]
Annotated 3SS: [1006 1255 1945]
SMsplice 5SS: [ 366 1115 1328]
SMsplice 3SS: [1006 1255 1415]
top_k =  500
Partition function (log Z): -2.8371516849801925

Sorted 5' Splice Sites (High to Low Probability):
Position 366: 0.9709372781183516
Position 1328: 0.9545213766969183
Position 1115: 0.917567150445601
Position 915: 0.5304688467497704
Position 587: 0.15684354079815302
Position 1140: 0.03810887141614484
Position 1586: 0.02321887042666333
Position 1499: 0.010084479564696054
Position 231: 0.008364797126294175
Position 89: 0.006273883733407101
Position 258: 0.003378653501732481
Position 940: 0.0027632220127004844
Position 841: 0.002593305219243442
Position 810: 0.0024598905674794408
Position 625: 0.001956058261226128
Position 715: 0.0011159501061680547
Position 1872: 0.0009708450840379995
Position 69: 0.0009184994504624923
Position 210: 0.0008867359921698199
Position 135: 0.0007157224945832778
Position 721: 0.0006470190352582192
Position 642: 0.00042528215077238186
Position 1513: 0.0004090965534294267
Position 1533: 0.0003301524304320078
Position 1639: 0.00025681281730195125
Position 661: 0.00025197678807800655
Position 1136: 0.00023910043464379368
Position 200: 0.0002248143381849354
Position 1144: 0.00022255611184281312
Position 1095: 0.00016190206673139782
Position 670: 0.0001325286458858412
Position 1806: 0.00012187895809409439
Position 1034: 0.00012120677568857506
Position 5: 0.00010717942122520483
Position 948: 0.00010161367198367621
Position 1332: 9.830207074421694e-05
Position 203: 9.71029317484609e-05
Position 1317: 8.952896645629874e-05
Position 311: 8.072383863935239e-05
Position 777: 6.694879211265853e-05
Position 1134: 5.3628301097987494e-05
Position 510: 2.8156403291395853e-05
Position 793: 2.219403969708449e-05
Position 279: 1.3484998407987636e-05
Position 413: 1.0802803879421575e-06
Position 1259: 3.465698496066036e-07
Position 1269: 3.108293867853654e-07
Position 1320: 2.6049310270174017e-07
Position 472: 2.2893426860964434e-07
Position 415: 2.1280798722505092e-07
Position 508: 1.0686270976581122e-07
Position 1339: 4.633841472919416e-08
Position 286: 4.569407769988959e-08
Position 418: 4.977215684952908e-09
Position 475: 3.5458169072041185e-09
Position 677: 1.5944656176950144e-09
Position 729: 5.989864380735024e-10
Position 734: 4.939346507386282e-10
Position 553: 3.5991552269971624e-12
Position 480: 3.5011052650442067e-12
Position 482: 3.2220788519810625e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1006: 0.9491361258821949
Position 1255: 0.8954122325298846
Position 1415: 0.6715702453290653
Position 490: 0.2063830991507495
Position 836: 0.18302540861610866
Position 742: 0.1091273022478155
Position 1440: 0.10325662649879025
Position 1945: 0.09857011242256314
Position 878: 0.08877312341073584
Position 775: 0.052777451853319085
Position 1229: 0.04117025983088141
Position 1782: 0.03507560850108627
Position 1699: 0.03271387809155815
Position 586: 0.02484354967540602
Position 690: 0.013257775777043233
Position 1208: 0.013234547832184985
Position 1730: 0.011538164558245492
Position 1420: 0.010290581955158041
Position 1472: 0.00985964496574179
Position 1494: 0.008703806797128346
Position 294: 0.008624711155488294
Position 1537: 0.008306459149456772
Position 1623: 0.007945601890130249
Position 257: 0.006698227711769911
Position 1805: 0.004531235560679923
Position 449: 0.004261664345422005
Position 521: 0.0034608399100947273
Position 661: 0.0029837837852387306
Position 2099: 0.0027860804436001217
Position 502: 0.0026906053701507273
Position 1241: 0.0020739303571977886
Position 1615: 0.001835027829444605
Position 2064: 0.0018219280386747505
Position 839: 0.00177860231920872
Position 914: 0.0016936414659224992
Position 1019: 0.0014079095941174908
Position 559: 0.0013743080869294214
Position 797: 0.0012526629204050541
Position 1553: 0.0010679197142025856
Position 1838: 0.0010487995937446995
Position 1046: 0.0010180089872313793
Position 1859: 0.0007418056216044769
Position 1578: 0.0007272098162687524
Position 1644: 0.0007051015887361914
Position 1994: 0.0007020559095979958
Position 1317: 0.0006630703480973408
Position 1564: 0.0006586740615344033
Position 746: 0.0005748979049545605
Position 1915: 0.0005696376007640772
Position 844: 0.0005501379809553003
Position 1030: 0.00046890554182274215
Position 1155: 0.0003738664740252219
Position 1871: 0.00037347927010997797
Position 1280: 0.00037242377566924843
Position 1264: 0.00036427779116601506
Position 714: 0.00034601241109638505
Position 1294: 0.00034321821413727145
Position 1422: 0.0002473331442639519
Position 1460: 0.0002451272314135532
Position 947: 0.00022113400432526739
Position 1352: 0.00021066581358649507
Position 1574: 0.00015347499390331348
Position 777: 0.00014555293932651508
Position 355: 0.00012858890709529047
Position 642: 0.00012201776581142248
Position 1596: 9.460809836551694e-05
Position 1673: 8.546227588073096e-05
Position 721: 7.374302655531105e-05
Position 1299: 7.089538667729922e-05
Position 2069: 7.03256412209886e-05
Position 890: 6.371375352984912e-05
Position 452: 5.756141694465749e-05
Position 1058: 5.463858270617662e-05
Position 885: 5.09879163066043e-05
Position 965: 4.39318655102934e-05
Position 1068: 4.3730707018936286e-05
Position 1812: 3.620685164819383e-05
Position 897: 3.606021922775875e-05
Position 265: 3.490748230507558e-05
Position 1051: 3.299375608350441e-05
Position 855: 3.2592548101100865e-05
Position 1426: 2.960799571749764e-05
Position 695: 2.444663794833402e-05
Position 707: 2.3321827390320773e-05
Position 611: 2.3034544467911905e-05
Position 1078: 1.8712237802482102e-05
Position 527: 1.5806010353663552e-05
Position 605: 1.138518336234625e-05
Position 308: 9.788439818308906e-06
Position 561: 7.3340500571636495e-06
Position 170: 7.1495211731881094e-06
Position 1081: 3.966970431826381e-06
Position 799: 3.3424521127139273e-06
Position 272: 1.6374070043429325e-06
Position 276: 5.012699086970463e-07
Position 178: 3.2763920571337916e-07
Position 106: 2.774281863411436e-07
Position 529: 2.6871088224755184e-07
Position 504: 2.4465928220771504e-07
Position 143: 1.104068650715142e-07
Position 153: 1.458937932576472e-08
Position 145: 1.2019276782994967e-08
Position 149: 3.873551999538327e-09
Position 112: 9.466266724412978e-10
Position 125: 6.559497054441406e-10
Position 77: 3.896331576740003e-11
Position 128: 1.8031966814187814e-11
Position 81: 7.077438503947326e-12
Position 370: 4.5323314617007504e-12
