Gene = NOBOX
index = 947
Annotated 5SS: [   85  5672  8359  9182 10022 10471 10831 11278 11946]
Annotated 3SS: [ 5546  8276  8629  9914 10363 10744 11048 11640 12685]
SMsplice 5SS: [   85  8605  9182 10022 10471 10831 11278 11946]
SMsplice 3SS: [ 8513  9083  9914 10363 10744 11048 11640 12685]
top_k =  500
Partition function (log Z): 5.310944479902691

Sorted 5' Splice Sites (High to Low Probability):
Position 10471: 0.9683312874980213
Position 10831: 0.908700311433158
Position 85: 0.8798997597735562
Position 11278: 0.8586955499103734
Position 11946: 0.7082295976036168
Position 8605: 0.7063403308006644
Position 9182: 0.6254370934572308
Position 10022: 0.6100099976865321
Position 9995: 0.3516415797572446
Position 8359: 0.2312058964568624
Position 11295: 0.11913630413599036
Position 12734: 0.1128590398434507
Position 11898: 0.09325059541425627
Position 118: 0.0748614581393794
Position 6571: 0.07202504334326126
Position 12265: 0.06495882811915772
Position 254: 0.0281992254918644
Position 11990: 0.022321123925581936
Position 10118: 0.015774405606867513
Position 11562: 0.015027023354668713
Position 5672: 0.014612647776470701
Position 5408: 0.014561241784584712
Position 5092: 0.014310266041923644
Position 9235: 0.009868190426588302
Position 12686: 0.00891986648643177
Position 10095: 0.008480781013433724
Position 7698: 0.008165772715242683
Position 177: 0.0076166589776666275
Position 8483: 0.00749364185595653
Position 40: 0.00732494502176168
Position 10001: 0.006759237816285851
Position 12410: 0.006602819677162459
Position 9840: 0.005406266029471142
Position 11259: 0.004864878971705
Position 10903: 0.004814380411530901
Position 10503: 0.0045913031056305535
Position 8911: 0.004472623045902921
Position 9566: 0.004435377777091472
Position 12435: 0.004315259917383609
Position 12124: 0.003967655740488949
Position 12176: 0.0031340684397923916
Position 9281: 0.0022693977317811255
Position 12570: 0.002049800070038505
Position 11969: 0.0016194523994095794
Position 10507: 0.0013429132440559194
Position 874: 0.001326249158725927
Position 8720: 0.0011582156186044597
Position 10109: 0.0010105861544698008
Position 3531: 0.0009446514376100833
Position 11471: 0.0007369067607258753
Position 11773: 0.0006994163857618917
Position 3173: 0.0006223397964200596
Position 5129: 0.0006155482470608003
Position 507: 0.0005555543464111595
Position 11299: 0.0005292596210416962
Position 5452: 0.0004528051800947011
Position 11100: 0.00043999309821122264
Position 10492: 0.0004132376296358938
Position 1314: 0.0003974759508975719
Position 3888: 0.0003794547883797745
