Gene = CH17-270A2.2
index = 367
Annotated 5SS: [   32 49901 50288]
Annotated 3SS: [49831 50230 50525]
SMsplice 5SS: [  212 31852 36885 37514 47739 48184 49901]
SMsplice 3SS: [31753 36779 37349 47571 48053 49831 50230]
top_k =  500
Partition function (log Z): -30.60895566272598

Sorted 5' Splice Sites (High to Low Probability):
Position 212: 0.7817940574129032
Position 400: 0.134256031654791
Position 725: 0.057737414742638105
Position 243: 0.048991458700954
Position 721: 0.04496657264765598
Position 8108: 0.04030571893100929
Position 298: 0.01611585417233584
Position 9336: 0.008787261727828413
Position 470: 0.0009121011066086404
Position 537: 0.0005689593525284753
Position 190: 0.00034830595124546595
Position 4575: 0.00025968925275808677
Position 32: 0.00022350410364151962
Position 2975: 9.748910943371766e-05
Position 4732: 7.677610702055569e-05
Position 3254: 7.213175027557069e-05
Position 160: 5.297740503743969e-05
Position 482: 4.878128305479124e-05
Position 2968: 3.232827531747597e-05
Position 458: 2.116617965852145e-05
Position 194: 8.840925492264675e-06
Position 327: 3.5322256926403834e-06
Position 511: 2.553078588345874e-06
Position 227: 9.794478401817256e-07
Position 577: 3.9883847609973757e-07
Position 85: 2.9986075187074866e-07
Position 602: 2.568623923912873e-07
Position 1073: 6.633411519851587e-08
Position 250: 5.278546156617192e-09
Position 145: 1.8529280548589646e-10
Position 346: 5.480479987960153e-11
Position 354: 2.8028944521468737e-11
Position 94: 2.5266951919949537e-11
Position 103: 2.21762800958149e-11
Position 348: 2.0448454828082023e-11
Position 419: 4.049116102541616e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 15444: 0.3089596427781193
Position 13859: 0.2756859264937169
Position 19845: 0.08236471073645431
Position 13116: 0.0787626534692287
Position 11343: 0.05179043112033031
Position 7981: 0.05121909079558313
Position 591: 0.0361428594968105
Position 16216: 0.030376555206017456
Position 595: 0.023037202749457104
Position 12567: 0.014934881517334
Position 2793: 0.01466678117479572
Position 629: 0.013070683168732925
Position 3111: 0.012698197478233367
Position 5870: 0.008542197150876162
Position 14651: 0.008157666121308154
Position 9943: 0.007234752827843864
Position 12407: 0.007075876194409365
Position 4825: 0.006257375002444816
Position 572: 0.005565563095877218
Position 6992: 0.0049087912864354466
Position 11375: 0.004664945647474331
Position 370: 0.0043827723288501295
Position 12734: 0.004091314913268515
Position 4561: 0.004018273310581486
Position 9097: 0.003743697632919992
Position 13136: 0.0034996621583432788
Position 9152: 0.00348052619149638
Position 11744: 0.0031391383759922223
Position 2537: 0.0030921887693918138
Position 11984: 0.0028321385909135677
Position 9094: 0.002710915186718861
Position 497: 0.0026611591565198784
Position 12070: 0.002535009145227694
Position 9060: 0.0023776421702756075
Position 5201: 0.0021416333305015077
Position 1764: 0.00212315197963598
Position 11961: 0.0020403358199017796
Position 9963: 0.0019989795071075744
Position 675: 0.0019926615802716486
Position 1141: 0.0019418145418887
Position 5534: 0.0018794721983630643
Position 2494: 0.0018778522744247392
Position 470: 0.0018470796201237414
Position 10385: 0.0017927286354348325
Position 3011: 0.0015603493242715351
Position 2125: 0.001388391931738074
Position 693: 0.0013778822243359764
Position 10253: 0.0012458188346493742
Position 1731: 0.0010025168990718558
Position 8356: 0.0009492323510885413
Position 2561: 0.0009326803201103173
Position 3173: 0.000860874038490195
Position 8507: 0.0008113209108985913
Position 7065: 0.0007578152064120736
Position 2071: 0.0007168692941687828
Position 5329: 0.0007064787758146055
Position 4194: 0.0006788685116636731
Position 9556: 0.0006329940115782588
Position 610: 0.0006281296188788985
Position 8463: 0.0005841679320226251
Position 641: 0.0005652998151759649
Position 780: 0.0005427763784081874
Position 638: 0.0005374460843323897
Position 8842: 0.0005019399073166247
Position 8242: 0.00046212363781361566
Position 1924: 0.000437017325859922
Position 6529: 0.00039899105677072545
Position 5581: 0.00039839343760211056
Position 6613: 0.00039780754945790254
Position 3290: 0.0003423632785522306
Position 1601: 0.00034017743837262834
Position 2043: 0.0003304556510687951
Position 1845: 0.00031679407235067137
Position 5243: 0.0003089844427771451
Position 1788: 0.00029467365363691425
Position 6257: 0.0002820097878475025
Position 1352: 0.0002659029906185553
Position 4821: 0.00023534654890529033
Position 6393: 0.00023120349890945265
Position 1223: 0.000227822759268332
Position 396: 0.00019851167962852754
Position 5597: 0.0001949720558957786
Position 5872: 0.00019259109421400483
Position 1512: 0.00019239565899562244
Position 2870: 0.00019197499348403297
Position 4984: 0.00018669514099434352
Position 4157: 0.00018266964592526146
Position 1069: 0.0001804857813069086
Position 4987: 0.00017900767515104072
Position 5263: 0.0001753116366535188
Position 327: 0.00016019644424520202
Position 442: 0.00015944559535760957
Position 2812: 0.00015847251744722685
Position 6140: 0.00015136361656806677
Position 4901: 0.00014789537628894824
Position 6464: 0.00013964267476118783
Position 4543: 0.00013895422250791023
Position 1355: 0.00013228121290486305
Position 3142: 0.0001266001152530079
Position 5800: 0.00011289874599671337
Position 3071: 0.00010591483501492323
Position 2809: 9.797160163654543e-05
Position 2020: 9.78468152178293e-05
Position 4211: 8.810948021745073e-05
Position 5494: 8.756227557597476e-05
Position 2701: 8.647050436668857e-05
Position 4126: 8.579130719704118e-05
Position 2843: 8.032134715261902e-05
Position 1165: 7.740284347260489e-05
Position 2366: 7.256639390971071e-05
Position 4608: 6.873519926325126e-05
Position 2632: 6.841467059156135e-05
Position 1683: 6.613214542654338e-05
Position 2006: 6.011559064088398e-05
Position 3815: 5.976747798893042e-05
Position 1072: 5.8869460411745345e-05
Position 3991: 5.442504686265643e-05
Position 3421: 4.88895322892154e-05
Position 3229: 4.636403874649322e-05
Position 2881: 4.565371603944742e-05
Position 2149: 4.5652286805617615e-05
Position 3950: 4.3791678565601076e-05
Position 1489: 3.536140403918335e-05
Position 2289: 3.215276085617668e-05
Position 2915: 3.2060911656997074e-05
Position 1097: 2.906344165350741e-05
Position 2380: 2.7562462821860976e-05
Position 2542: 2.621658510024231e-05
Position 1953: 1.8867995563143674e-05
Position 4486: 1.7115422763313358e-05
Position 870: 1.6917132916295047e-05
Position 1537: 1.4836852583542599e-05
Position 1381: 1.4488422348304515e-05
Position 499: 1.1199113226064968e-06
Position 140: 7.961697802402902e-07
Position 645: 4.6178124032578713e-07
Position 346: 9.084538555659918e-08
Position 546: 8.965550810667581e-08
Position 204: 7.763500753697885e-08
Position 336: 5.849315565975281e-08
Position 399: 5.2190396279991194e-08
Position 613: 2.2913557292311782e-08
Position 654: 2.2623533207245968e-08
Position 378: 2.1342604348646428e-08
Position 269: 1.8119178302830182e-08
Position 405: 1.7104463376711793e-08
Position 150: 1.2244204007581495e-08
Position 474: 9.00510567543004e-09
Position 184: 6.227394039018856e-09
Position 704: 4.795532678038035e-09
Position 156: 1.4093040178571851e-09
Position 233: 1.385557682522125e-09
Position 211: 9.137351426931306e-10
Position 242: 1.521121522460009e-10
Position 412: 1.401989098344198e-10
Position 235: 3.7565954847935075e-11
Position 250: 4.295400009323125e-12
Position 255: 1.365537230997193e-12
