Gene = TIMMDC1
index = 1402
Annotated 5SS: [  396  2329  5089  5490 15188 18784]
Annotated 3SS: [ 2162  4999  5421 15108 18672 25073]
SMsplice 5SS: [  184  2329  4691  5089  5490 15188 17408 18784]
SMsplice 3SS: [ 2162  4542  4999  5421 15108 17327 18672 25073]
top_k =  500
Partition function (log Z): -6.688663834317416

Sorted 5' Splice Sites (High to Low Probability):
Position 18784: 0.9907222983933214
Position 5089: 0.9674933432235433
Position 4691: 0.9351693895616797
Position 15188: 0.8364575837567189
Position 5490: 0.6748095459198019
Position 2329: 0.551930909742156
Position 17408: 0.4499028441825158
Position 184: 0.38315589158227004
Position 208: 0.2844703669417445
Position 57: 0.2411820591438572
Position 23608: 0.061209962139314164
Position 6011: 0.04817315031341837
Position 25335: 0.04450743189350751
Position 4836: 0.036520055922656496
Position 423: 0.03218567758291735
Position 24873: 0.020118997886917463
Position 25619: 0.019857223065990973
Position 23146: 0.01662346121351998
Position 396: 0.015610813120391451
Position 17008: 0.013976907995736728
Position 17260: 0.013943578982542398
Position 23661: 0.013849240759144324
Position 411: 0.013189299439555206
Position 25661: 0.011289516007586436
Position 188: 0.010974212925500893
Position 24861: 0.009739636974327951
Position 491: 0.00949374073634477
Position 19681: 0.008225477754080704
Position 2201: 0.007548492189134302
Position 21851: 0.007402436938709476
Position 176: 0.004600218815324372
Position 3523: 0.004441790184216325
Position 2940: 0.0042647673893094025
Position 3340: 0.004129521055719439
Position 2238: 0.003995164839802172
Position 2339: 0.0039255859183592486
Position 59: 0.003890166315127353
Position 520: 0.0037817577720955405
Position 4425: 0.003697718058169228
Position 20536: 0.0033143884306624394
Position 2316: 0.003313822770067365
Position 467: 0.002518784641594293
Position 3978: 0.0017105174060948523
Position 5320: 0.0013321911225348388
Position 5159: 0.0011837489848107944
Position 180: 0.0011733928484490834
Position 3447: 0.0008381602578242308
Position 85: 0.0008130772645439992
Position 5368: 0.0007306368941458054
Position 981: 0.0005759337196562453
Position 4306: 0.00057250564754723
Position 239: 0.0005401750331880436
Position 5343: 0.00043242941098512865
Position 124: 0.0003990150761084697
Position 5107: 0.00036835934322919654
Position 418: 0.0002623674988834308
Position 1392: 0.0002577938820984814
Position 384: 0.00023090868573561943
Position 454: 0.00021090458482860816
Position 5621: 7.625205957393796e-05
Position 2072: 6.336191571417002e-05
Position 5545: 5.6107881800924424e-05
Position 1552: 3.501809627373954e-05
Position 2063: 2.7649528482274143e-05
Position 1568: 2.68994244809243e-05
Position 1588: 2.271224222668662e-05
Position 2651: 2.201424599281563e-05
Position 1499: 2.081793824059332e-05
Position 18717: 1.8194585481155815e-05
Position 5713: 1.702460598778029e-05
Position 2083: 1.7015387368496772e-05
Position 1520: 1.6896510276424314e-05
Position 1528: 1.6718648624825404e-05
Position 1865: 1.0190971999234654e-05
Position 1518: 8.25536134722459e-06
Position 1540: 7.075153855931454e-06
Position 1506: 6.2317493987125044e-06
Position 2069: 6.166005320115582e-06
Position 1933: 6.0368108047379175e-06
Position 161: 3.266446641783107e-06
Position 18: 2.8835396839562685e-06
Position 63: 1.907190564400692e-06
Position 144: 1.4736659048688607e-06
Position 95: 9.984728456695134e-07
Position 15: 9.73694410328969e-07
Position 65: 8.970181925005487e-07
Position 6745: 8.41150321376014e-07
Position 9082: 8.145806043342181e-07
Position 5942: 7.7220158052273e-07
Position 13: 1.1633170356618935e-07
Position 848: 4.21600658691269e-08
Position 314: 3.7051902093826946e-08
Position 532: 3.646745417717437e-08
Position 545: 3.0667071763068006e-08
Position 402: 3.037297028505207e-08
Position 301: 2.5325249985911665e-08
Position 1216: 2.395007101789594e-08
Position 945: 2.209188401834045e-08
Position 1331: 2.0051621893712696e-08
Position 249: 1.9144300608050372e-08
Position 2333: 1.6391123397707033e-08
Position 2372: 1.3558644426703892e-08
Position 413: 1.225256636610669e-08
Position 741: 1.1109682478698664e-08
Position 119: 7.201492636464397e-09
Position 265: 3.757916015945519e-09
Position 442: 2.270736314013817e-09
Position 493: 2.837141010166043e-10
Position 283: 4.5779555733099116e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 18672: 0.9762633699406261
Position 15108: 0.8314623689687549
Position 25073: 0.6408814512663344
Position 5421: 0.6016399150582749
Position 2162: 0.5475317712282727
Position 4542: 0.5377637230195008
Position 4560: 0.4186358133329108
Position 4999: 0.36353677389696176
Position 4938: 0.3509112596926063
Position 17205: 0.24702321403419614
Position 17327: 0.216823209130862
Position 4971: 0.16273123784044352
Position 25798: 0.14139284005348815
Position 26258: 0.05300534415784176
Position 23590: 0.04950718408351358
Position 4944: 0.04905893119871828
Position 23524: 0.04857593870038147
Position 19527: 0.048141721384052275
Position 5223: 0.03753383141724486
Position 22774: 0.033220873150839686
Position 4810: 0.03137827854090384
Position 26130: 0.02614564680198197
Position 25495: 0.023053826706704087
Position 24672: 0.02229323777443925
Position 5728: 0.0216530547088345
Position 24719: 0.016139977840060347
Position 23427: 0.01383404765969134
Position 25576: 0.013191912617266155
Position 2099: 0.012642807876975486
Position 5783: 0.01238717742372992
Position 18950: 0.011197851358374273
Position 5426: 0.011084545206153937
Position 5929: 0.009775193433660675
Position 5486: 0.009716584594033968
Position 5343: 0.008845926967583993
Position 20269: 0.008779779793386908
Position 18706: 0.008287825588145645
Position 19084: 0.008197681766994794
Position 21663: 0.0076752829139332054
Position 18683: 0.007628533940048752
Position 16815: 0.007465435748853009
Position 16760: 0.0073100077680396435
Position 4981: 0.007268351756474156
Position 4918: 0.006116027540458003
Position 1948: 0.005599999952705693
Position 3202: 0.005420539224873584
Position 21384: 0.0051065200525547754
Position 14930: 0.005100414372194412
Position 5158: 0.004417210366717861
Position 4050: 0.004240940582813484
Position 280: 0.004034102680122483
Position 2798: 0.00392607540139883
Position 23638: 0.0038170486075793132
Position 22204: 0.0037249247264661677
Position 4633: 0.0037231883776032903
Position 22124: 0.003670150706751881
Position 18489: 0.003556272979951742
Position 2205: 0.0034311179157857554
Position 4509: 0.0033868673621198038
Position 21158: 0.003038203849620276
Position 5243: 0.0029073079196342117
Position 20145: 0.0026569609928102133
Position 5027: 0.0024011349550125457
Position 21131: 0.0023466010623468155
Position 124: 0.0022402028657204512
Position 19878: 0.0021395348085205663
Position 5926: 0.002110875152833852
Position 24651: 0.0021053733033073174
Position 3322: 0.0020614236458402543
Position 3389: 0.0019074308954823483
Position 5741: 0.001780041788835002
Position 3722: 0.0017106032705139717
Position 24379: 0.0014468182546777811
Position 20192: 0.0014164007924097426
Position 20766: 0.0013875504297371792
Position 20482: 0.0013822857476448662
Position 4512: 0.0013773291249058375
Position 5139: 0.001310234160569669
Position 301: 0.00129438492945376
Position 20429: 0.0012485782398613686
Position 4596: 0.0012315953757423433
Position 19739: 0.0011867918689714646
Position 19023: 0.001147046345100475
Position 25187: 0.0011298251873183979
Position 21297: 0.0011010194602672995
Position 4657: 0.0010410387113960527
Position 2169: 0.0009451835746363664
Position 242: 0.0008570023695657877
Position 21626: 0.0008002362293962444
Position 265: 0.0007931687147965264
Position 18888: 0.0006436778343755791
Position 22587: 0.0006155535987655779
Position 19187: 0.0005989929792868974
Position 340: 0.000543533584320825
Position 5517: 0.0005411152129581834
Position 22172: 0.00047426104206099566
Position 21221: 0.000462508216209184
Position 18998: 0.0003444412954295813
Position 2801: 0.0003386919879105744
Position 20069: 0.00019883520881029253
Position 1429: 0.0001580754942594971
Position 152: 0.0001564211114675925
Position 19533: 0.000152805759574612
Position 19671: 0.0001519972697795829
Position 187: 0.00013767634571165975
Position 1980: 0.00012550496980796567
Position 17498: 9.295518157122153e-05
Position 11174: 8.533336274137024e-05
Position 14235: 7.216870180172984e-05
Position 6851: 3.095073979433562e-05
Position 4046: 2.928312290297833e-05
Position 8555: 2.8432071024185954e-05
Position 5367: 2.806934746022671e-05
Position 12578: 2.7321360018988124e-05
Position 5347: 2.594559883457345e-05
Position 5323: 2.5615344900175126e-05
Position 12303: 2.2698329292017633e-05
Position 2529: 1.7010713776139944e-05
Position 6876: 1.6483208848758686e-05
Position 1747: 1.6468324407638223e-05
Position 9605: 1.5395677935797493e-05
Position 1353: 1.4211559038024341e-05
Position 5192: 1.4121561743537532e-05
Position 3372: 1.4025803242873591e-05
Position 8226: 1.3715862754270554e-05
Position 9173: 1.1561286739650958e-05
Position 7400: 9.697914802750775e-06
Position 5297: 9.548199413879312e-06
Position 5532: 8.132010357200955e-06
Position 8720: 8.076883372514103e-06
Position 13767: 7.688055509704773e-06
Position 11609: 7.394433070625195e-06
Position 5289: 7.096671856434357e-06
Position 8751: 6.7683942990434266e-06
Position 5459: 6.241081080065831e-06
Position 3141: 6.051928320937817e-06
Position 7232: 5.910000734153792e-06
Position 2534: 5.003532216675691e-06
Position 161: 4.4961173594528255e-06
Position 5563: 4.420801586525391e-06
Position 5364: 4.21940557687796e-06
Position 9991: 2.6032549410788563e-06
Position 803: 2.5385134532062884e-06
Position 8950: 2.5194922212541444e-06
Position 6264: 2.2322302076728732e-06
Position 778: 2.036454207010412e-06
Position 8656: 1.9046667228016959e-06
Position 582: 1.2347792373733103e-06
Position 586: 9.32079627121536e-07
Position 309: 8.127846162573827e-07
Position 507: 7.863820799046356e-07
Position 7016: 7.74203643856635e-07
Position 6703: 7.450635231457065e-07
Position 5634: 7.291258140332054e-07
Position 6050: 5.75508068756365e-07
Position 6036: 4.932992734440655e-07
Position 5537: 3.4366735788389445e-07
Position 8922: 5.220327079332714e-08
Position 6740: 4.4283469222280756e-08
