Gene = CARD19
index = 278
Annotated 5SS: [  135 11599 14504 15721 16072]
Annotated 3SS: [11455 14349 15660 15999 16773]
SMsplice 5SS: [  135 11610 14504 16072]
SMsplice 3SS: [11455 14349 15999 16773]
top_k =  500
Partition function (log Z): -0.21740624938504416

Sorted 5' Splice Sites (High to Low Probability):
Position 11610: 0.9388044520617014
Position 14504: 0.8323772440254524
Position 16072: 0.828977889331269
Position 135: 0.7241268788660136
Position 901: 0.7180061958988597
Position 3624: 0.40199513942831466
Position 380: 0.22801818133327492
Position 3566: 0.21745123181149603
Position 12895: 0.19504255772136372
Position 4830: 0.1910752225471552
Position 8254: 0.19056416759320396
Position 3244: 0.19016577123205455
Position 5365: 0.1724740742763327
Position 15871: 0.1687366205964462
Position 9190: 0.1668663526046259
Position 12875: 0.1587901365560461
Position 14417: 0.13266219374288124
Position 8197: 0.07700014284965213
Position 15343: 0.07635549486924431
Position 15304: 0.07325252052661806
Position 12152: 0.07081086402261683
Position 11599: 0.06119554793829922
Position 14197: 0.0516736408891379
Position 305: 0.04921215802192513
Position 14951: 0.044933468038304794
Position 9341: 0.042684564204501826
Position 4527: 0.033551661306537306
Position 15721: 0.031368462154014405
Position 16537: 0.027746355108897783
Position 12304: 0.023902029637910986
Position 12898: 0.0233414406782333
Position 2149: 0.021702143361094686
Position 12334: 0.02159294273338007
Position 7023: 0.020261534475599675
Position 603: 0.015244481727922844
Position 12903: 0.014252641152027156
Position 13162: 0.014179783188191231
Position 2583: 0.013707429552035775
Position 2103: 0.012384011315967829
Position 746: 0.010995423028986843
Position 279: 0.010539785468232608
Position 15429: 0.00972807341124359
Position 12915: 0.009573269797950465
Position 2546: 0.009113125503252302
Position 1884: 0.00868664508593436
Position 12309: 0.008539546801993106
Position 6475: 0.0066161318888387005
Position 15535: 0.005762459647042129
Position 118: 0.004917718827316735
Position 14991: 0.004546287366302675
Position 637: 0.004418236154967311
Position 13171: 0.0032803395355546815
Position 3729: 0.0031028583152113245
Position 16237: 0.0030603405049069625
Position 146: 0.002058530965540082
Position 423: 0.001444231405891232
Position 353: 0.0013331884624488133
Position 465: 0.0009681360960268447
Position 16076: 0.0005587557318122242
Position 199: 0.000453532264005265
Position 116: 0.0003769190265997781
Position 469: 0.0002993494267522434
Position 276: 0.0002710210450781677
Position 467: 0.0002549107828101959
Position 272: 0.000244197989182256
Position 442: 0.00023094364978424957
Position 510: 0.00022656099845475315
