Gene = DAP
index = 427
Annotated 5SS: [  259 13098 77744]
Annotated 3SS: [13000 77700 80102]
SMsplice 5SS: [  259  4998 10986 13098 15518 28727 80213]
SMsplice 3SS: [ 4870 10879 13000 15441 28587 80102 81111]
top_k =  500
Partition function (log Z): -31.29204686494203

Sorted 5' Splice Sites (High to Low Probability):
Position 13098: 0.9897296674743533
Position 4998: 0.9695488585045533
Position 259: 0.9511135079197406
Position 13571: 0.6824550438059351
Position 15518: 0.6419442638213071
Position 10986: 0.5995871342819405
Position 10104: 0.279492595490415
Position 1030: 0.26073959864427065
Position 16376: 0.23483188279923567
Position 16674: 0.1952691229701524
Position 9645: 0.18533620511930035
Position 8933: 0.18032287995968807
Position 15538: 0.17581911247675192
Position 9250: 0.16374555889163755
Position 7141: 0.16315528162746737
Position 7765: 0.15401322320338495
Position 16034: 0.14445599362766368
Position 7769: 0.11027888123580074
Position 1087: 0.10623927721045023
Position 6964: 0.10352426407418167
Position 1077: 0.09619008471550225
Position 1092: 0.07611500961534169
Position 27307: 0.07339874149810137
Position 8776: 0.07204981599754617
Position 14300: 0.07100129757172607
Position 11807: 0.0525496870250798
Position 4506: 0.05031171629961011
Position 2354: 0.0460524340919214
Position 16003: 0.04459539839419866
Position 9206: 0.0381095214832221
Position 2460: 0.03789886697112524
Position 7517: 0.030632520465135454
Position 11167: 0.027437962289651847
Position 20286: 0.027156091609041
Position 2697: 0.026742759841896852
Position 6343: 0.020145037539239595
Position 8221: 0.017983752120350277
Position 2361: 0.016457931163957957
Position 11578: 0.016035393063777485
Position 21482: 0.015825452761484813
Position 16372: 0.015725348507226188
Position 8577: 0.015335642390314598
Position 4351: 0.015106919004247174
Position 536: 0.01482968396862905
Position 1287: 0.013946799503846327
Position 4204: 0.013694528662791822
Position 2001: 0.012173187091640902
Position 6187: 0.010537461698717623
Position 13148: 0.01021408421914166
Position 10135: 0.009990846415509876
Position 514: 0.009907511982409058
Position 8169: 0.00942978065889338
Position 3527: 0.008802913877464886
Position 9741: 0.007307780247092405
Position 1102: 0.006945816941313479
