Gene = GCSAM
index = 581
Annotated 5SS: [ 214 2861 5289 6319 8080]
Annotated 3SS: [2791 5243 6271 8050 9532]
SMsplice 5SS: [  214   669  6319 10070]
SMsplice 3SS: [  394  6271  9976 10482]
top_k =  500
Partition function (log Z): -4.636402558328671

Sorted 5' Splice Sites (High to Low Probability):
Position 214: 0.9202221610667701
Position 10070: 0.800629937078311
Position 6319: 0.7603874826544564
Position 669: 0.6593206328643199
Position 7768: 0.3659676620041726
Position 4804: 0.3351104318116528
Position 3442: 0.32097269092982633
Position 8080: 0.30238328013553684
Position 4184: 0.286985949083914
Position 8228: 0.28244141309753296
Position 5289: 0.1766627227778898
Position 10603: 0.1301959499911943
Position 4284: 0.12422559456593948
Position 2861: 0.10819343571811299
Position 6480: 0.08065092609764336
Position 420: 0.07866826036636085
Position 10110: 0.05269560704339872
Position 2913: 0.05106345371689633
Position 8201: 0.04646411830820584
Position 2621: 0.029965297237166927
Position 918: 0.025078259580774472
Position 5351: 0.02429863328138922
Position 6194: 0.022649500654952047
Position 10388: 0.02230582751754842
Position 4598: 0.01958866364049308
Position 331: 0.01922151954873802
Position 6167: 0.018782945931171222
Position 10397: 0.014514420195181933
Position 4299: 0.0140554715534091
Position 146: 0.013087977984664304
Position 4259: 0.010563913741489791
Position 10666: 0.010404494871802948
Position 472: 0.009404467702540591
Position 4155: 0.009252269233437147
Position 6853: 0.00893717650232213
Position 2942: 0.008708588935497346
Position 2205: 0.00646495838240775
Position 6445: 0.006257387063402175
Position 6584: 0.005873997249211551
Position 6155: 0.0048367978254426555
Position 10093: 0.00396489357423373
Position 3599: 0.002994524771935287
Position 3618: 0.0024162763518457498
Position 566: 0.0019106790272806903
Position 449: 0.00151461167876692
Position 2565: 0.0006207610919068937
Position 4828: 0.0006117447385652326
Position 316: 0.00044194207581699886
Position 297: 0.00037597532278461134
Position 485: 0.00017897987414381228
Position 290: 0.00017598365758038318
Position 323: 0.00012852573749895694
Position 679: 2.8111676081922504e-05
Position 310: 2.1745631742196955e-05
Position 119: 1.1674370001121078e-05
Position 218: 1.1432810233094611e-05
Position 231: 1.071165584574542e-05
Position 74: 1.0053391564171299e-05
Position 104: 9.09494018611511e-06
Position 143: 5.858347611911669e-06
Position 956: 3.193758498003467e-06
Position 1604: 2.4493323531017366e-06
Position 395: 1.9816998234917025e-06
Position 1669: 1.577143957151102e-06
Position 1047: 1.2892277468207912e-06
Position 326: 2.8578727679727996e-07
Position 111: 2.1762841610213798e-07
Position 62: 3.594176377711032e-08
Position 602: 4.716707346000887e-09
Position 930: 8.174231706224106e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9976: 0.8909440598976067
Position 6271: 0.8394632515587195
Position 10482: 0.6847345953499554
Position 394: 0.6139462254351379
Position 8050: 0.5407907273839397
Position 4138: 0.39295371205700474
Position 7694: 0.32770884572696335
Position 4706: 0.3165567794171251
Position 3340: 0.23333531060297893
Position 10845: 0.15336953241483417
Position 2791: 0.10825486536613263
Position 5048: 0.09519169274296586
Position 5243: 0.07450055771358206
Position 11534: 0.06295463724376402
Position 7905: 0.05659975558805797
Position 10933: 0.055397599476613144
Position 2785: 0.05523459406116292
Position 589: 0.0524503438057478
Position 5893: 0.04626924441156592
Position 8079: 0.036364964639534245
Position 7600: 0.03234161621179787
Position 3166: 0.030364787336722984
Position 4081: 0.028089782969476132
Position 10285: 0.025917735702522773
Position 2431: 0.025240504540196662
Position 11849: 0.0242694019737689
Position 4454: 0.0239825304575565
Position 5076: 0.020274949314401707
Position 11624: 0.020227968171932106
Position 3999: 0.01888619092598236
Position 10878: 0.0158929942555293
Position 7854: 0.01545999071672554
Position 3264: 0.014915901197310686
Position 3215: 0.013502098848669923
Position 3209: 0.012698916853148768
Position 371: 0.011450947204439748
Position 4963: 0.010994156288329298
Position 10764: 0.009995505496830419
Position 562: 0.00971220118876825
Position 6397: 0.009129683332835233
Position 10190: 0.00886887815270332
Position 484: 0.008615122166830629
Position 4626: 0.008392705829902251
Position 6473: 0.008026772608450177
Position 11650: 0.008020441066867218
Position 412: 0.007268533525207707
Position 519: 0.007047517901536518
Position 10138: 0.006535787398563009
Position 11886: 0.00631678427489241
Position 4720: 0.005733834323507835
Position 12233: 0.005626681739402272
Position 3357: 0.005363893233558826
Position 3493: 0.005310306553073198
Position 11445: 0.005018510311662399
Position 1939: 0.005007329411868171
Position 7640: 0.00487010933383539
Position 3414: 0.004711447076273281
Position 6778: 0.004541896050473812
Position 4020: 0.004503969764229625
Position 2376: 0.004411565057301886
Position 6689: 0.004352225523229118
Position 7967: 0.0042365885709384175
Position 884: 0.004067540633092771
Position 8416: 0.004004811592752151
Position 10511: 0.0040014270779823126
Position 8318: 0.003700728137571738
Position 798: 0.0034717256433112026
Position 6476: 0.003342747700312821
Position 773: 0.0031606790095606682
Position 10796: 0.0031196444341688814
Position 3378: 0.002854935281198635
Position 820: 0.0021758848446332205
Position 7479: 0.00206238186348891
Position 3194: 0.0014883681399147602
Position 8703: 0.001249993044748309
Position 2502: 0.0012039185959364452
Position 3313: 0.00117887427498356
Position 7571: 0.0011178746084706706
Position 833: 0.001068146697528931
Position 565: 0.001067232127722515
Position 2063: 0.0010627538091693798
Position 602: 0.001032960574814551
Position 9722: 0.000937354253062097
Position 2650: 0.0008882715080293071
Position 4232: 0.0008746041004297868
Position 2451: 0.0007872516625323042
Position 11306: 0.0007255467697112373
Position 12422: 0.000697889224715642
Position 3231: 0.0006586526557738468
Position 803: 0.000643876955359532
Position 6755: 0.0005789086163885709
Position 747: 0.0005748493168860795
Position 2744: 0.0005278542853279521
Position 2537: 0.0004886095455779847
Position 497: 0.00044229387610829275
Position 4515: 0.000406537940912188
Position 2395: 0.0003993457364450361
Position 1897: 0.0003817776959164739
Position 2891: 0.00037330314464896085
Position 817: 0.000365827399352689
Position 2849: 0.00029947234220502973
Position 528: 0.0002931267752656876
Position 665: 0.00027621338731520083
Position 4431: 0.00026330866720009283
Position 2546: 0.00025815052668983775
Position 668: 0.00019611587984676856
Position 4113: 0.0001821263860794735
Position 2860: 0.0001612151689123858
Position 616: 0.00013473841537685669
Position 729: 8.849910078254817e-05
Position 744: 8.43759207923843e-05
Position 836: 6.887012749598963e-05
Position 471: 5.3134366660502236e-05
Position 1976: 5.1376936692346535e-05
Position 427: 2.861679981451173e-05
Position 441: 2.829836080909876e-05
Position 213: 2.823965876839954e-05
Position 901: 2.1717557297153154e-05
Position 1524: 1.3445606279709021e-05
Position 531: 1.325523814790965e-05
Position 467: 1.2873624974131422e-05
Position 2260: 1.1696650940049107e-05
Position 2564: 1.0918507541014065e-05
Position 242: 8.2375860103899e-06
Position 4149: 7.182387579653531e-06
Position 637: 6.309849168478345e-06
Position 783: 5.1540981354275645e-06
Position 354: 2.0720129554971333e-06
Position 319: 1.4978720897105164e-06
Position 1010: 5.9118050369345e-07
Position 1446: 5.268431044751464e-07
Position 347: 3.073062730013975e-07
Position 2080: 2.6543579938528726e-07
Position 2120: 2.1347810983890657e-07
Position 983: 2.0617464828461088e-07
Position 326: 1.5698645559359625e-07
Position 256: 1.4584008026413305e-07
Position 544: 1.3988303318037553e-07
Position 310: 1.2550720848762702e-07
Position 297: 9.32364094313391e-08
Position 620: 8.915296464523196e-08
Position 448: 7.420077867494674e-08
Position 301: 7.149804363297169e-08
Position 244: 4.8590630772534205e-08
Position 335: 3.6943829157872884e-08
Position 456: 3.082704145198101e-08
Position 323: 2.3664385365481382e-08
Position 290: 1.7914022945263568e-08
Position 912: 9.949867132543876e-09
Position 266: 8.840077845276886e-09
Position 282: 7.811325358604534e-09
Position 436: 5.2520103228710936e-09
Position 424: 3.8257929080158235e-09
Position 239: 2.9996052968752664e-09
Position 223: 2.971608113330214e-09
Position 237: 2.5681509237700436e-09
Position 276: 1.9361914244790083e-09
Position 247: 8.747847205805538e-10
Position 270: 7.83061602867868e-10
Position 286: 7.06469971781786e-10
Position 206: 4.952925081508093e-10
Position 218: 3.8517557245892137e-10
Position 204: 2.388175542103143e-10
Position 274: 3.184266849842179e-11
Position 181: 2.036806528739295e-11
Position 165: 1.2251628225748825e-11
Position 172: 8.810458708291285e-12
Position 183: 2.262550210700439e-12
Position 151: 7.630442692952182e-13
Position 139: 5.093204215372321e-13
Position 174: 4.79928501487529e-13
Position 159: 2.885538439805688e-13
Position 131: 2.5700973168395956e-13
Position 136: 2.4426254037068237e-13
Position 143: 1.2271151700786446e-13
