Gene = HP1BP3
index = 662
Annotated 5SS: [   40  6344  6877 10092 13238 15759 19105 21312 29523 36966 39145 41146]
Annotated 3SS: [ 6147  6776  9937 13077 15614 19023 21156 29431 36805 39032 41031 41596]
SMsplice 5SS: [  503  6877 13238 15759 19105 21312 29523 39145 41146 41945]
SMsplice 3SS: [ 6776 13077 15614 19023 21156 29431 39032 41031 41596 43513]
top_k =  500
Partition function (log Z): 3.374500823462422

Sorted 5' Splice Sites (High to Low Probability):
Position 39145: 0.9959830200982106
Position 6877: 0.994534070908263
Position 29523: 0.9943173998971259
Position 41146: 0.9929784030746225
Position 19105: 0.9657648705853912
Position 15759: 0.935749612672123
Position 21312: 0.8732120664087826
Position 503: 0.5579496871334505
Position 39798: 0.5034863833042311
Position 41945: 0.43305084153470474
Position 14732: 0.40489453215764826
Position 10092: 0.36596100796750847
Position 6339: 0.30286612515492484
Position 41489: 0.2447044945212553
Position 10965: 0.20020465495517725
Position 8096: 0.19113595387785773
Position 24460: 0.16541541820702768
Position 6344: 0.15203036187875907
Position 11104: 0.13779110921061238
Position 770: 0.13352913984296866
Position 436: 0.12145232849321379
Position 41888: 0.11408801737535626
Position 7302: 0.10679867341516036
Position 31888: 0.10245563585108314
Position 31795: 0.09913291767134266
Position 4593: 0.09804915611649968
Position 40: 0.09681600984272204
Position 498: 0.08614316111712991
Position 6270: 0.0832219755384173
Position 31051: 0.08180008758837656
Position 20523: 0.06754798962006558
Position 27548: 0.06478956644935047
Position 120: 0.0644336384379397
Position 688: 0.05798557940490097
Position 11581: 0.055708200259074754
Position 40955: 0.04935209768907525
Position 4578: 0.03888696252728902
Position 42270: 0.03671093763195705
Position 11089: 0.027559553150179383
Position 5800: 0.02679574099325624
Position 39358: 0.026271203319506706
Position 11577: 0.024455244751621703
Position 24623: 0.02337701672561393
Position 370: 0.022396822468418003
Position 39434: 0.022121726625757857
Position 43287: 0.01975142034676134
Position 24417: 0.019116510573286546
Position 41832: 0.01818733709710359
Position 5318: 0.016710316243895906
Position 2568: 0.014219008406222654
Position 1286: 0.012464808198362399
Position 20978: 0.00889248128170167
Position 14634: 0.00866564126007638
Position 10013: 0.008425535735390503
Position 39334: 0.008057392491915739
Position 41910: 0.007946603783683507
Position 24307: 0.007918433879981816
Position 19632: 0.007757299780265541
Position 39528: 0.007307105954348066
Position 40635: 0.006342616766853085
Position 25997: 0.006049228713909179
Position 29503: 0.005587007690462293
Position 42283: 0.0037262384917831513
Position 4622: 0.0036784074841352474
Position 5495: 0.0036418587135718323
Position 9851: 0.0035068600866767353
Position 40376: 0.0033008133385926588
Position 41156: 0.0031963628143911876
Position 39345: 0.0031302709908637583
Position 20659: 0.0021986515383382293
Position 476: 0.002031649045045762
Position 41337: 0.002018632751343776
Position 42643: 0.0014687018754259585
Position 24022: 0.0014023958774822733
Position 43579: 0.0013525040507703099
Position 11097: 0.0010977767426442213
Position 11093: 0.0007967989358972576
Position 8998: 0.0007292632678019699
Position 42292: 0.0007007613733744624
Position 41657: 0.0006913511156845768
Position 408: 0.0006217843804869181
Position 42745: 0.0005837963600809332
Position 4365: 0.0005681656124896198
Position 7280: 0.0004416109475057137
Position 175: 0.0004375522917873897
Position 793: 0.0004316266332421778
Position 524: 0.00030314737815894115
Position 528: 0.00027403933250788094
Position 1034: 0.00025553546991332465
Position 10856: 0.00024381564670241735
Position 6882: 0.00024116935916488296
Position 162: 0.00022269528789085644
Position 356: 0.00010118493332815083
Position 221: 8.768355024235612e-05
Position 244: 8.617509575515129e-05
Position 592: 8.09343455958988e-05
Position 610: 7.72639755293614e-05
Position 379: 6.886689894487023e-05
Position 41169: 4.752606477936491e-05
Position 41333: 4.7404442823943884e-05
Position 413: 4.362008197484248e-05
Position 1237: 3.693653554852876e-05
Position 227: 3.642411139601034e-05
Position 5265: 3.381318926569872e-05
Position 1066: 3.2813114320157025e-05
