Gene = RBM8A
index = 1124
Annotated 5SS: [ 177  519  728 1055 1496]
Annotated 3SS: [ 458  649  917 1358 1608]
SMsplice 5SS: [ 177  519  752 1055 1496]
SMsplice 3SS: [ 458  649  917 1358 1608]
top_k =  500
Partition function (log Z): 9.54210971392471

Sorted 5' Splice Sites (High to Low Probability):
Position 1055: 0.9906933421532591
Position 1496: 0.9764639571545326
Position 519: 0.9631294373287569
Position 177: 0.8828215931230411
Position 728: 0.48525554595977716
Position 752: 0.4764456771095209
Position 1658: 0.34253261415425706
Position 1674: 0.24035918557057873
Position 215: 0.07768950640511932
Position 3592: 0.05689901872826915
Position 747: 0.021048798771027694
Position 383: 0.02034049283187667
Position 2170: 0.015465635029648143
Position 2134: 0.013125125172518787
Position 3718: 0.012532227365246272
Position 2628: 0.009831746951194369
Position 4028: 0.009279979473077318
Position 3845: 0.008807269009117635
Position 1763: 0.008200698837151996
Position 767: 0.007829228168859287
Position 365: 0.0058060101067259826
Position 1771: 0.005073446995157429
Position 371: 0.004637461383008209
Position 199: 0.004052952186000444
Position 263: 0.0036774903181722167
Position 1260: 0.003642487375013213
Position 732: 0.0035767007136940617
Position 1525: 0.002939551479077302
Position 1102: 0.00233576291703268
Position 367: 0.0018493248403551312
Position 63: 0.0018119720073189861
Position 2600: 0.0013988065635516225
Position 3095: 0.0013608710576817687
Position 1242: 0.001043507452234607
Position 5006: 0.0010407845704501267
Position 539: 0.0008313836980504991
Position 388: 0.0007597479711800709
Position 2194: 0.0006994581309180097
Position 2596: 0.0006193502274840936
Position 3272: 0.0005772034734847306
Position 2568: 0.0005105302543672324
Position 1216: 0.0004963745496896675
Position 3039: 0.0004503191685394913
Position 760: 0.0003886637995787227
Position 1227: 0.00038708854993143953
Position 552: 0.0003827906056650184
Position 1728: 0.00023292774702079745
Position 770: 0.00014164392446221845
Position 1782: 0.00011873522044509493
Position 2472: 0.00011440082611176771
Position 773: 0.00010831327872895435
Position 1869: 9.664106220017841e-05
Position 1474: 9.149350558354142e-05
Position 1774: 9.019280202494096e-05
Position 1460: 7.72376402978278e-05
Position 792: 5.4964544682031206e-05
Position 1467: 4.461490921468946e-05
Position 674: 4.31367856558381e-05
Position 802: 4.16830099450462e-05
Position 260: 4.1198260591638946e-05
Position 525: 3.700266457984489e-05
Position 1264: 3.281980582611653e-05
Position 1064: 2.9234000517201968e-05
Position 335: 2.8338343572966906e-05
Position 1452: 2.5251676525885954e-05
Position 635: 2.1460809058366127e-05
Position 1278: 2.0394038404356608e-05
