Gene = PRCC
index = 1067
Annotated 5SS: [  740 14830 19675 24293 27309 29842]
Annotated 3SS: [14781 19107 24196 27164 29775 32873]
SMsplice 5SS: [  740  9377 14830 19675 23663 23869 24293 27309 29842]
SMsplice 3SS: [ 9229 14781 19492 23566 23752 24196 27164 29775 32873]
top_k =  500
Partition function (log Z): 7.412315243912804

Sorted 5' Splice Sites (High to Low Probability):
Position 24293: 0.9982446875306772
Position 27309: 0.9790300022979515
Position 23663: 0.9567698853416664
Position 23869: 0.828279668208906
Position 9377: 0.7926616743787407
Position 14830: 0.7914373538924628
Position 29842: 0.7858673587191987
Position 1466: 0.6278851982206902
Position 740: 0.6232891411976801
Position 30296: 0.3581158396445062
Position 84: 0.3073680847048677
Position 28429: 0.3073306747404443
Position 27068: 0.23531394382207005
Position 25805: 0.21279956762860666
Position 9428: 0.2073383256212616
Position 29783: 0.1999610835815767
Position 30587: 0.1695058243134513
Position 1776: 0.15819607215186646
Position 6484: 0.13357855638219548
Position 23876: 0.1321486051331779
Position 32380: 0.12732517796084908
Position 28089: 0.11984049366582858
Position 30054: 0.09185024926874834
Position 30060: 0.08513922120818015
Position 30110: 0.07534186864457003
Position 226: 0.053504980302586026
Position 3971: 0.05139263183861498
Position 27553: 0.04762483605860554
Position 2860: 0.04711178907774726
Position 24679: 0.043012533130732715
Position 1312: 0.040818906082023
Position 25715: 0.0360356047465842
Position 30973: 0.03503559916143193
Position 30987: 0.03416453487519214
Position 23634: 0.03362118401925663
Position 23913: 0.028977904621849675
Position 185: 0.028120016086731283
Position 145: 0.026885223583740403
Position 26644: 0.020179695688748212
Position 4: 0.018664931827121502
Position 1371: 0.017672903607912002
Position 27229: 0.014404682060427387
Position 3211: 0.013287597150357516
Position 6384: 0.010710987332932098
Position 1402: 0.009214645324231932
Position 26407: 0.009014644984127232
Position 744: 0.008982639784332181
Position 25800: 0.008920573838821975
Position 26601: 0.008191330500181023
Position 31081: 0.007343952518288702
Position 4338: 0.007094316693227725
Position 6374: 0.006994627477220826
