Gene = PI4KB
index = 1025
Annotated 5SS: [  387  1486 12085 17447 20084 21522 24117 25464 25814 28850 33249 33640]
Annotated 3SS: [ 1283 11147 17401 19855 21293 24006 25358 25689 28583 33115 33518 34623]
SMsplice 5SS: [  387  2913 21522 24117 25464 25814 28850 33249 33640]
SMsplice 3SS: [ 2739 21293 24006 25358 25689 28697 33115 33518 34194]
top_k =  500
Partition function (log Z): 12.586055541191607

Sorted 5' Splice Sites (High to Low Probability):
Position 2913: 0.9995489610210709
Position 387: 0.9951939933745089
Position 25814: 0.9906481757833129
Position 25464: 0.9789233350151143
Position 33249: 0.8642974059523529
Position 24117: 0.8275775877257301
Position 33640: 0.8094581448095621
Position 28850: 0.7958529572555206
Position 21522: 0.5351131025040621
Position 34258: 0.4454769664134062
Position 17447: 0.4424252278359679
Position 12085: 0.3242943927296227
Position 32701: 0.3187140700531672
Position 21541: 0.25767236371904145
Position 21392: 0.2036432895706095
Position 34951: 0.11866562564635698
Position 34517: 0.09951109649950933
Position 33651: 0.08955296051970642
Position 15891: 0.08815235599517336
Position 34286: 0.07655643922227237
Position 32557: 0.07630455883108127
Position 17748: 0.07475622343314371
Position 33267: 0.06755418159428905
Position 33816: 0.054958538408160056
Position 33656: 0.042182744031667926
Position 33661: 0.029452041017373014
Position 33057: 0.026435661809000012
Position 29601: 0.0259989712480417
Position 33609: 0.025592687926154108
Position 28698: 0.025097695788811214
Position 8871: 0.022417737223210745
Position 29139: 0.021867088113630397
Position 25459: 0.015125114038746942
Position 34741: 0.013870569271346014
Position 33042: 0.011064626788556221
Position 29229: 0.011055458818002064
Position 34828: 0.00982079170720053
Position 28854: 0.0084677529319549
Position 27502: 0.008238387025651174
Position 35412: 0.008076452630933194
Position 29035: 0.0075272552680711825
Position 34251: 0.007092290218984923
Position 28451: 0.00584578160956974
Position 34144: 0.0051519591052907425
Position 28811: 0.005099893472067977
Position 27358: 0.0048540285773715185
Position 33446: 0.004017457633121089
Position 25513: 0.0039210137714410865
Position 35089: 0.0036890622688649337
Position 17: 0.0036111843727904586
Position 21488: 0.0035712442062852618
Position 33215: 0.003498316379673667
Position 4888: 0.002908389081888553
Position 50: 0.002742679531051775
Position 34624: 0.0026759639887919727
Position 34781: 0.002670336267718677
Position 28561: 0.002667840573977006
Position 33366: 0.0015783523688471073
Position 34030: 0.001474562084357258
Position 35098: 0.0011690673488692256
Position 25796: 0.0011332671900827647
Position 33239: 0.000976855283871049
Position 2233: 0.0007101562086130835
