Gene = FRRS1L
index = 567
Annotated 5SS: [  391 17656 20241 25949]
Annotated 3SS: [17570 20101 25701 29663]
SMsplice 5SS: [  391 12297 15330 16590 17672 20241]
SMsplice 3SS: [12149 15212 16430 17570 20101 29663]
top_k =  500
Partition function (log Z): -14.559683968181218

Sorted 5' Splice Sites (High to Low Probability):
Position 391: 0.9458646116723222
Position 12297: 0.821175876993832
Position 15330: 0.7507588469475907
Position 20241: 0.7061771239530413
Position 3467: 0.6725411657074859
Position 16590: 0.6230881357075716
Position 17672: 0.5114496219865449
Position 17656: 0.34457145881878887
Position 18116: 0.24230585428264728
Position 3094: 0.22424519137909457
Position 18849: 0.1615781537889301
Position 17394: 0.1300862995901438
Position 2447: 0.12864143571590286
Position 12292: 0.07328962266335665
Position 4534: 0.06960146984619185
Position 8361: 0.05569326419878927
Position 17281: 0.05467229528781404
Position 253: 0.04937030476988126
Position 16711: 0.039623071399588095
Position 2358: 0.03530791960454325
Position 1335: 0.02744229051465994
Position 3076: 0.01686190967473116
Position 1596: 0.006778603251886685
Position 21368: 0.005674406480964128
Position 628: 0.004462064195445074
Position 2452: 0.003482830957258129
Position 22033: 0.0023851116312703347
Position 3319: 0.00204376481904144
Position 1137: 0.001996087827458219
Position 2405: 0.0014549266904199847
Position 681: 0.0009573915478931702
Position 183: 0.00044339331536878744
Position 2212: 0.0004058411574200127
Position 143: 0.000322463648279361
Position 2198: 0.0003145690947062283
Position 1094: 0.00019482114225803022
Position 1502: 0.00018894771632978346
Position 2647: 7.263399374542022e-05
Position 1091: 4.616542302509335e-05
Position 380: 3.987276418323466e-05
Position 1417: 3.90187481195913e-05
Position 436: 3.346688999176592e-05
Position 3503: 3.0208497284475947e-05
Position 2278: 1.327299445878794e-05
Position 28: 9.016443489258538e-06
Position 3700: 6.074665737128837e-06
Position 1349: 4.070830534311472e-06
Position 414: 3.925513400629241e-06
Position 1223: 2.745330106712308e-06
Position 318: 2.595063010422339e-06
Position 1140: 2.377129618309874e-06
Position 1610: 2.261560937218899e-06
Position 3786: 1.7268320047472e-06
Position 3453: 1.7053026577128238e-06
Position 1190: 1.6693403535074905e-06
Position 3161: 1.6117764794164741e-06
Position 2163: 1.3296485285917607e-06
Position 1705: 1.0442855427825966e-06
Position 502: 7.645504897010718e-07
Position 359: 5.427543752681788e-07
Position 658: 5.032625532297031e-07
Position 490: 4.945616834242783e-07
Position 685: 4.409256454351379e-07
Position 1712: 2.8314105889569754e-07
Position 821: 3.874616403931658e-08
Position 742: 3.227355498519899e-08
Position 649: 1.0864708202237531e-08
Position 64: 6.909232888530551e-09
Position 909: 5.804432900069771e-09
Position 84: 1.5326268321705542e-09
Position 191: 2.404848481486313e-10
Position 844: 2.055416240372069e-10
Position 58: 7.483388448764814e-11
Position 506: 7.139543985597136e-11
Position 1365: 5.430957629866953e-11
Position 747: 3.380482916045456e-11
Position 1199: 2.8637742977442316e-11
Position 550: 2.0480455849195712e-11
Position 1053: 1.8904871462229982e-11
Position 1030: 1.515060198638601e-11
Position 985: 9.259364158923654e-12
Position 1233: 2.0081530732839882e-12
Position 1235: 1.4420471849137494e-12
Position 1242: 1.132930329626409e-12
Position 920: 8.946798108267024e-18
Position 840: 2.6649881357170015e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 12149: 0.894490632949724
Position 17570: 0.8590839542061431
Position 15212: 0.7508951169093419
Position 20101: 0.714909204257387
Position 16430: 0.6627112071071593
Position 29663: 0.6287586190321944
Position 3363: 0.35197197933929925
Position 24491: 0.21895197191640647
Position 3036: 0.19784129589153934
Position 3395: 0.17734508231709573
Position 18723: 0.16976741520865285
Position 17880: 0.16517906977583977
Position 2302: 0.14782692393673982
Position 17229: 0.13580665163368746
Position 17900: 0.10725605269478322
Position 3318: 0.08370446732524466
Position 3059: 0.0654642174241348
Position 4357: 0.05953905971308172
Position 21973: 0.03768095900364274
Position 17271: 0.033971546923403415
Position 8304: 0.024807938671600166
Position 1246: 0.024260609618550755
Position 21100: 0.020024223987512236
Position 3400: 0.018828646768741977
Position 21121: 0.018300063283402182
Position 17113: 0.01593207944639306
Position 8146: 0.012659244660318899
Position 2357: 0.01241380738195178
Position 24487: 0.010534485650771797
Position 3223: 0.009156276960901353
Position 8180: 0.008771790726594808
Position 2327: 0.007103501866983404
Position 21951: 0.0069082557631383185
Position 20638: 0.006071473657325919
Position 8283: 0.006068275209137142
Position 1473: 0.006051235759854359
Position 4220: 0.0048500881358115
Position 1022: 0.003813468750219466
Position 3175: 0.003497803797924695
Position 8177: 0.0033937338200680776
Position 3288: 0.003378607229635525
Position 3930: 0.0024360502573052773
Position 18340: 0.0023010436928279712
Position 3897: 0.001800012117861099
Position 3332: 0.0017308071548345668
Position 3366: 0.0016398006450627847
