Gene = CDCA8
index = 338
Annotated 5SS: [  367   616  3533  6560  8104  9401 10930 13150 14647]
Annotated 3SS: [  486  3491  6486  8017  9335 10833 13022 14559 15903]
SMsplice 5SS: [  161   367   616  6560  8104  9401 10930 14647]
SMsplice 3SS: [  257   486  6486  8017  9335 10833 14559 15903]
top_k =  500
Partition function (log Z): 9.975641403395008

Sorted 5' Splice Sites (High to Low Probability):
Position 616: 0.9995736734789673
Position 367: 0.9987839321124978
Position 161: 0.9879568934472135
Position 14647: 0.8815167511063672
Position 8104: 0.8379007805279722
Position 6560: 0.8194634188795489
Position 10930: 0.7406783421080346
Position 9401: 0.736169245197464
Position 5712: 0.4235133948020966
Position 13150: 0.1975923827655669
Position 4454: 0.18856578441261745
Position 3533: 0.15631344719333046
Position 6330: 0.14242070936508508
Position 4448: 0.14016572732008167
Position 12814: 0.1245474079574623
Position 8081: 0.11991733251568222
Position 10090: 0.11151104325392705
Position 13309: 0.09808240146916905
Position 14920: 0.05373483296421082
Position 15413: 0.051595206925819516
Position 12508: 0.04800086731151051
Position 8120: 0.02657034223007215
Position 12807: 0.024460863688901657
Position 16111: 0.0218546661821529
Position 5936: 0.02055465378242827
Position 4507: 0.018558928129705717
Position 7038: 0.015466238414893495
Position 9468: 0.014238431711290417
Position 6609: 0.013429881694220304
Position 8330: 0.012212678617473159
Position 7851: 0.011540190765209957
Position 3966: 0.011138409152499956
Position 4794: 0.010273675234609859
Position 6315: 0.010130130599485195
Position 2350: 0.009504717873932455
Position 8026: 0.008257328385127658
Position 15787: 0.007798154647064403
Position 3857: 0.007035946028064363
Position 5921: 0.006969507869888014
Position 2599: 0.005480234459908449
Position 10918: 0.004717295049596321
Position 6644: 0.003664186296490578
Position 5360: 0.0036181945164289763
Position 6931: 0.0032182640744919796
Position 8581: 0.0031096317233228663
Position 7774: 0.002923964080515374
Position 9418: 0.002850131489300306
Position 5993: 0.0023626452198401834
Position 16427: 0.002300639630678118
Position 6296: 0.002216214794682063
Position 2160: 0.0018859991134981748
Position 130: 0.0018517420416312507
Position 8035: 0.0016654314650624972
Position 15306: 0.0016292357401888414
Position 14907: 0.0011476075213439894
Position 1664: 0.0010518090198990333
Position 2706: 0.0010397617438117142
Position 9857: 0.0009211435892203454
Position 8576: 0.0006764199956454878
Position 5795: 0.0006679764743314095
Position 8594: 0.000569540271087671
Position 419: 0.000504203751680238
Position 2164: 0.0004978846694728778
Position 3390: 0.0004930065449247946
Position 9535: 0.0003973761994727819
Position 6806: 0.000363888154520282
Position 940: 0.0003627726098491807
Position 4679: 0.00021827879124955657
Position 8511: 0.00016575582115033248
Position 8757: 0.00015137180163478798
Position 8422: 0.0001369294042786332
Position 98: 0.00010397952277633583
Position 185: 8.847240371682462e-05
Position 2130: 7.823661909999401e-05
Position 1348: 6.820592231644915e-05
Position 3079: 6.723319498890444e-05
