Gene = CAAP1
index = 270
Annotated 5SS: [  392  5492  6701  7995 31739]
Annotated 3SS: [ 5290  6615  7918 31664 50156]
SMsplice 5SS: [  392  5230  5492  6701  7995 23397 28597 31739]
SMsplice 3SS: [ 5081  5339  6615  7918 23300 28472 31664 50156]
top_k =  500
Partition function (log Z): -20.028865171533404

Sorted 5' Splice Sites (High to Low Probability):
Position 392: 0.9878935186817356
Position 7995: 0.9817495017127994
Position 6701: 0.818437795727994
Position 5492: 0.7250843218698457
Position 4530: 0.5384067305631002
Position 5230: 0.4624379097586455
Position 6479: 0.38780184240367904
Position 5218: 0.2923766399974512
Position 6516: 0.22014095713951912
Position 5393: 0.10602158992410517
Position 6922: 0.07400119146189442
Position 8328: 0.06819116566435271
Position 6768: 0.06808593645353712
Position 2603: 0.06528482298792126
Position 4862: 0.05586998020783005
Position 5849: 0.0504473343247021
Position 4592: 0.014761010662142233
Position 2559: 0.011571098168847273
Position 546: 0.01019817669766802
Position 7365: 0.008489199527334589
Position 5361: 0.006934845920429414
Position 10439: 0.005443646984634498
Position 3671: 0.0049952595651932994
Position 4866: 0.004901806003686424
Position 8436: 0.004600200390712067
Position 9784: 0.0038686100742362927
Position 10284: 0.003386145342591344
Position 8771: 0.003320520767579071
Position 6483: 0.003085838178756039
Position 6141: 0.0030499356278453574
Position 2121: 0.003034054413021529
Position 5851: 0.0018501970161483253
Position 4423: 0.0018080972506753132
Position 10087: 0.0017027864437749237
Position 9980: 0.0015352527541427259
Position 957: 0.001411705900465495
Position 506: 0.0012044619546654888
Position 5834: 0.0011298597473437734
Position 1183: 0.0010970775854491045
Position 7307: 0.0010335217074923981
Position 1158: 0.0009760330252760085
Position 10341: 0.0007920077849327588
Position 4349: 0.0007706114928063332
Position 3650: 0.0006628918928367692
Position 2517: 0.0006595059361577893
Position 5122: 0.0005887412152527474
Position 2838: 0.000515838987080458
Position 6261: 0.000503675747539382
Position 6393: 0.0004956451936040823
Position 396: 0.00045417838904023234
Position 7497: 0.00045235989460524627
Position 3606: 0.00044598977451942574
Position 4773: 0.0004399588234641672
Position 7991: 0.00043378734423144347
Position 4086: 0.0004257041830169069
Position 1781: 0.00041827749347698854
Position 3310: 0.0004176071953062635
Position 4478: 0.0004121387737385849
Position 2511: 0.000404416574363511
Position 5234: 0.00034893639095882374
Position 5252: 0.00028996926987311604
Position 7987: 0.0001077171607561826
Position 1831: 9.727121454630467e-05
Position 242: 8.692808168331943e-05
Position 3081: 8.450827953303014e-05
Position 2757: 8.15088659354029e-05
Position 2697: 7.763949169047888e-05
Position 288: 6.853106899337213e-05
Position 1298: 6.454108126476539e-05
Position 2784: 6.429840252092173e-05
Position 5225: 5.8867287579163815e-05
Position 1487: 5.531783974555717e-05
Position 2275: 5.394613576862416e-05
Position 1658: 4.3637007921776186e-05
Position 4596: 4.3167929797262155e-05
Position 3212: 4.0374226161939426e-05
Position 2653: 3.486511026184026e-05
Position 3305: 3.0529826867218066e-05
Position 2608: 2.601635268794494e-05
Position 1220: 2.3090544186181683e-05
Position 8854: 1.8623042607904077e-05
Position 354: 1.2336754179106324e-05
Position 173: 1.1279241829105213e-05
Position 1717: 1.0344278095590634e-05
Position 842: 7.913269538290466e-06
Position 522: 7.803987814820203e-06
Position 1060: 7.587471132499736e-06
Position 1732: 3.2614570513957696e-06
Position 2303: 2.8795492736608628e-06
Position 2150: 2.5578514590412326e-06
Position 1399: 2.452205709690215e-06
Position 9344: 2.4451726225516445e-06
Position 1937: 2.0542971599395513e-06
Position 1212: 1.9176147239135934e-06
Position 103: 1.5101608236662154e-06
Position 39: 1.4160857069265879e-06
Position 252: 9.16742107718858e-07
Position 181: 8.98782538619767e-07
Position 135: 8.923018619603308e-07
Position 72: 5.046549885445868e-07
Position 509: 3.286514541277438e-07
Position 756: 2.5226785906425463e-07
Position 3269: 1.1515457551938354e-07
Position 2228: 9.163825722294849e-08
Position 445: 7.903088368913878e-08
Position 28: 7.625197690457418e-08
Position 371: 5.137428130213545e-08
Position 129: 4.8112628335265344e-08
Position 306: 4.187992821044379e-08
Position 922: 3.7322097580482944e-08
Position 276: 3.1364767756049444e-08
Position 798: 2.8406352112580637e-08
Position 198: 1.8862951329846342e-08
Position 815: 1.4439863207454064e-08
Position 540: 1.3616683833029494e-08
Position 747: 8.930745234708415e-09
Position 823: 6.987385350984429e-09
Position 590: 5.843703083469255e-09
Position 3: 3.284672456203024e-09
Position 323: 1.3500403652530386e-09
Position 270: 7.410646677564901e-10
Position 659: 6.98923410714091e-10
Position 278: 4.953370712027179e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 6615: 0.9230350344019422
Position 5081: 0.7380213345700575
Position 7918: 0.5749982340616616
Position 6233: 0.5069465911814485
Position 5290: 0.48600390161510265
Position 4379: 0.40906938336952575
Position 5339: 0.30949846380275464
Position 7901: 0.24139525467737347
Position 7887: 0.16790551151652866
Position 18406: 0.13995634140319135
Position 10155: 0.11028479506055576
Position 10025: 0.08963014116554442
Position 17394: 0.08658376087561176
Position 4308: 0.06542787628054396
Position 8219: 0.06456448420179041
Position 10494: 0.06443745224314547
Position 6393: 0.05837287108510676
Position 10340: 0.05183570089157677
Position 2440: 0.048626390581777694
Position 18002: 0.04517815824099887
Position 5595: 0.04400179266752533
Position 17890: 0.042621422562553885
Position 10751: 0.03247380718154369
Position 17975: 0.03017613391682564
Position 5324: 0.029064362005989004
Position 6377: 0.027437555426712893
Position 4696: 0.02687513624726049
Position 8185: 0.02628352974744541
Position 13149: 0.024934800767025582
Position 10315: 0.0238901879054681
Position 4230: 0.02342584539518524
Position 4628: 0.022696272610354434
Position 4454: 0.020591548174146518
Position 13554: 0.02038753037496097
Position 14407: 0.019417584237118042
Position 11862: 0.018550727643576216
Position 9698: 0.01753735117159537
Position 18604: 0.016934710077532607
Position 2436: 0.016598413146155497
Position 10767: 0.016584642113995254
Position 6429: 0.01644986382862202
Position 15501: 0.013369560078021708
Position 6906: 0.013299977737737965
Position 4448: 0.012204258465251317
