Gene = LARS
index = 762
Annotated 5SS: [  173  5114  9974 10751 14533 18351 22287 23254 24933 25258 28768 28927
 29487 30799 33039 38037 38189 38394 39249 39789 42457 47060 49763 51642
 52643 53683 53989 56226 58679 60169 62290]
Annotated 3SS: [ 4994  9885 10669 14394 18188 22173 23189 24864 25031 28679 28849 29432
 30657 32960 37950 38122 38310 39109 39575 42398 46995 49578 51550 52501
 53541 53877 56114 58573 60072 62156 68348]
SMsplice 5SS: [  173  5114  9974 10751 14533 18351 22287 23409 28768 28927 30799 33109
 38037 38189 38394 47060 49654 51642 52643 53683 56226 58679 60169 62290
 62914]
SMsplice 3SS: [ 4994  9885 10669 14455 18188 22173 23189 28679 28849 30657 32960 37950
 38122 38310 46995 49578 51550 52501 53541 56114 58573 60072 62156 62780
 68348]
top_k =  500
Partition function (log Z): 36.94835419549788

Sorted 5' Splice Sites (High to Low Probability):
Position 47060: 0.9917461040251224
Position 56226: 0.9902522445835817
Position 28927: 0.9810277738486375
Position 5114: 0.9803758540188265
Position 22287: 0.9752353756775085
Position 14533: 0.9676206446635324
Position 62290: 0.9568048375414814
Position 28768: 0.950882543861822
Position 38189: 0.9502026338813395
Position 60169: 0.9361359295808188
Position 18351: 0.9315874668651875
Position 30799: 0.9134750964639348
Position 38394: 0.9107962382037461
Position 38037: 0.9106494092079733
Position 53683: 0.9020198622290899
Position 173: 0.8892983335590333
Position 52643: 0.818544354724323
Position 9974: 0.8100926539748934
Position 58679: 0.7741317010578387
Position 39789: 0.7285137985724434
Position 62914: 0.696275815558256
Position 33109: 0.6738064702661666
Position 25258: 0.6637426832121912
Position 29487: 0.6193333453393396
Position 51642: 0.5884443185126358
Position 23409: 0.5855904496603231
Position 10751: 0.5846108577111734
Position 49654: 0.5732090991015633
Position 53989: 0.5063779051349313
Position 21918: 0.4355980701869762
Position 49763: 0.3978126100850561
Position 31210: 0.3943442178346514
Position 39509: 0.33852933258140727
Position 58837: 0.3138117230075095
Position 39249: 0.31294326021281077
Position 66604: 0.30834151880909627
Position 21497: 0.3028630379515874
Position 33039: 0.2912034761617742
Position 63028: 0.2856622457095959
Position 49404: 0.2690762712923125
Position 39253: 0.26587501532608004
Position 55682: 0.25381444060455166
Position 57430: 0.24747947605199613
Position 64367: 0.23525710680067455
Position 38506: 0.21437534115787824
Position 63966: 0.21309262399095538
Position 62658: 0.21282605104698193
Position 41117: 0.2034018877661111
Position 46065: 0.17134018865934064
Position 34534: 0.16651259017444095
Position 37860: 0.15680825984295055
Position 23254: 0.15486329276034308
Position 23952: 0.15347598358028056
