Gene = WASH1
index = 1556
Annotated 5SS: [  138  4889 11359 11712 12021 12396 12775 13022 13831 14659]
Annotated 3SS: [ 4734 11246 11564 11883 12259 12572 12862 13677 14589 14798]
SMsplice 5SS: [  138  4889 11126 11712 12396 12771 13022 13831 14659]
SMsplice 3SS: [ 4734 11071 11564 12259 12572 12862 13734 14589 14798]
top_k =  500
Partition function (log Z): 12.828091571814952

Sorted 5' Splice Sites (High to Low Probability):
Position 11712: 0.9951807096008944
Position 4889: 0.9803402220980111
Position 13831: 0.9686900945162257
Position 13022: 0.9453283330365979
Position 12396: 0.8242968321807908
Position 12771: 0.7558825270101757
Position 138: 0.6770510323331699
Position 11126: 0.6728417361040704
Position 14659: 0.6556584530128047
Position 10354: 0.40390496642656665
Position 11359: 0.2955988648954269
Position 4409: 0.2234905056207898
Position 14129: 0.19497514602159002
Position 12775: 0.16621621288418453
Position 12101: 0.15638240942920548
Position 428: 0.14664389718311036
Position 8667: 0.12749321962948992
Position 133: 0.10252264130485955
Position 13539: 0.0942275951228738
Position 7199: 0.0904239381089692
Position 122: 0.07454461205870996
Position 12426: 0.07432159104578347
Position 13579: 0.07336845482125108
Position 12753: 0.05511994637220209
Position 1465: 0.05351160065842156
Position 13441: 0.04991482727430346
Position 12021: 0.04192189052575007
Position 5636: 0.039484766799722716
Position 13611: 0.03696795659529901
Position 4431: 0.03544847958189943
Position 1550: 0.028447412596293735
Position 13090: 0.026933601641600233
Position 11130: 0.026128541626928948
Position 4386: 0.026104002448542128
Position 14608: 0.023224776359387862
Position 10714: 0.02250549215508942
Position 14447: 0.02092883598805657
Position 14440: 0.020567502563306618
Position 4866: 0.018399076031514493
Position 11196: 0.017586846192489156
Position 4142: 0.016839021853099843
Position 11907: 0.015275500013180492
Position 14699: 0.01447331361926604
Position 11260: 0.011839217433576932
Position 13086: 0.010704507891558282
Position 13231: 0.01065089617204237
Position 5672: 0.009672453069515181
Position 10418: 0.009604235016068555
Position 359: 0.009561721968131591
Position 13993: 0.009139094948412576
Position 5560: 0.008820681809725608
Position 11911: 0.008276417540748622
Position 12269: 0.00809815030177819
Position 12047: 0.008055980525749011
Position 12416: 0.00772190891234874
Position 12612: 0.007204773337161931
Position 2345: 0.00673419264772358
Position 14403: 0.005892825057106686
Position 12405: 0.005460375018816818
Position 1564: 0.005092016751160699
Position 14221: 0.005010384919152172
Position 2112: 0.004554625408876139
Position 14392: 0.004008875200065726
Position 5357: 0.0025722858676238535
Position 14826: 0.002514375581559825
Position 14031: 0.0017292929353371865
Position 12674: 0.001598159760493546
Position 11281: 0.0015817076118662056
Position 2057: 0.0015427728528610023
Position 6249: 0.0014668428512793024
Position 12500: 0.0012218805951689329
Position 4368: 0.0012207606213078214
Position 5595: 0.0011809479064767792
Position 6048: 0.001136435724554751
Position 5600: 0.0010907084879159233
Position 6395: 0.0010525062488829222
Position 833: 0.0008847053870240688
Position 6069: 0.0008715075030171573
Position 3126: 0.0008673629056071852
Position 7280: 0.0008394476469113334
Position 8051: 0.0008219228004674451
Position 14929: 0.0007985425377287659
Position 11983: 0.0007858561340307813
Position 5896: 0.0007747422407287937
Position 1537: 0.0007616230190389342
Position 8283: 0.000738214008273324
Position 14280: 0.0006995128922024029
Position 5694: 0.000609034902449482
Position 13075: 0.0005664424879671072
Position 5652: 0.0005587381995733952
Position 5564: 0.0005168522381043163
Position 12256: 0.0005068404184108308
Position 12925: 0.00046113049222634494
Position 8072: 0.00041848749564913994
Position 11960: 0.00036602400375146166
Position 13854: 0.00035334013892876866
Position 12295: 0.00032179664737902995
Position 12129: 0.0003213751069600905
Position 12260: 0.00023243381536475107
Position 4774: 0.00020537560094120003
Position 12877: 0.00018173423536725923
Position 12315: 0.00016215641352403652
Position 172: 0.0001487817777367638
Position 324: 0.0001483234846473747
Position 5346: 0.00014187890562607978
Position 264: 0.00014172776730784443
Position 14269: 0.00013763174075010002
Position 13102: 0.00012560746846670493
Position 4893: 0.00011497721367938685
Position 422: 8.346920022806012e-05
Position 12970: 6.856598014465303e-05
Position 12049: 6.622183776259053e-05
Position 12573: 5.138875935957538e-05
Position 164: 4.683099167071223e-05
Position 734: 4.5075646757248226e-05
Position 1062: 3.09122093802379e-05
Position 337: 2.8423709557302585e-05
Position 864: 1.196751270930065e-05
Position 820: 9.280894676643845e-06
Position 83: 8.570906362278286e-06
Position 974: 8.341062196513031e-06
Position 792: 5.507667884989037e-06
Position 13507: 5.010842617528294e-06
Position 1275: 4.905835369118661e-06
Position 1983: 4.844217752737679e-06
Position 1432: 4.76170079403483e-06
Position 479: 4.573709175910312e-06
Position 3609: 4.3812303300404104e-06
Position 1272: 3.841432423100361e-06
Position 2099: 3.2653153314632077e-06
Position 921: 2.9446369341303737e-06
Position 6031: 2.8213019513004726e-06
Position 632: 1.9136114534633805e-06
Position 1560: 1.4135347242922355e-06
Position 1828: 1.0339341388493808e-06
Position 1824: 7.006948594285184e-07
Position 1668: 5.605017704696674e-07
Position 4853: 3.7913297800964785e-07
Position 13328: 3.3532259982825605e-07
Position 5033: 3.330743559499527e-07
Position 41: 2.3615308811905163e-07
Position 13340: 1.61545385704288e-07
Position 204: 1.160502415646459e-07
Position 215: 6.560879239776057e-08
Position 488: 3.3174534400069134e-08
Position 1391: 2.7681539376507678e-08
Position 408: 1.4842438627182224e-08
Position 597: 1.114984773160783e-08
