Gene = GCSAML
index = 582
Annotated 5SS: [  176 19997 42163 49409 56582 58902]
Annotated 3SS: [19881 42077 49348 56531 58872 67084]
SMsplice 5SS: [  176 12350 19997 33603 40296 49409 56582 67231 67721]
SMsplice 3SS: [12116 19881 33530 40208 49348 56531 67084 67662 68258]
top_k =  500
Partition function (log Z): -34.33896608375206

Sorted 5' Splice Sites (High to Low Probability):
Position 176: 0.9602559328773814
Position 12350: 0.8842631385896789
Position 19997: 0.8457330391420275
Position 12618: 0.16207512572825247
Position 21568: 0.0892499827317225
Position 5879: 0.07515553616864465
Position 12615: 0.06405747445609548
Position 12472: 0.05797174435680724
Position 16532: 0.05343166165892081
Position 10461: 0.05170838848076092
Position 225: 0.035222195113063175
Position 6250: 0.03228640844115688
Position 5872: 0.03127291634950352
Position 12283: 0.02663159044860107
Position 5079: 0.02648479930357011
Position 5094: 0.02319136026235209
Position 3632: 0.022722384977680588
Position 12570: 0.02257212403138765
Position 1760: 0.019355912196146942
Position 5903: 0.016676767212739627
Position 9300: 0.014749421942040411
Position 1547: 0.014573428011771578
Position 12309: 0.006439337952834093
Position 519: 0.0018562492278702593
Position 5497: 0.0013215171737343387
Position 586: 0.0010199582071226732
Position 486: 0.0009906774243085036
Position 1571: 0.0007531715980559192
Position 809: 0.0007460848530574424
Position 2277: 0.0006991892148581295
Position 6069: 0.0005433761146875515
Position 1821: 0.00044303747722752407
Position 3753: 0.00037797266856108526
Position 1738: 0.0003484867441368107
Position 4848: 0.0003453882065589944
Position 5810: 0.0003176766833917257
Position 1815: 0.00030101342921968143
Position 5303: 0.00024486915814040056
Position 3953: 0.0002350708167670399
Position 640: 0.00022833746115959234
Position 3179: 0.00021203309704118814
Position 4814: 0.00020892733457639833
Position 4948: 0.00018137565066264654
Position 326: 0.00013225559158309996
Position 871: 8.865441702159328e-05
Position 2494: 8.220643046609744e-05
Position 4919: 6.842198940755972e-05
Position 5098: 6.250530543178034e-05
Position 180: 3.657741783032543e-05
Position 633: 2.2583729851290407e-05
Position 206: 1.2721527473148714e-05
Position 1166: 1.232208809755821e-05
Position 232: 8.920529962064305e-06
Position 1396: 6.917155853776665e-06
Position 4594: 1.6691753892285545e-06
Position 4027: 1.6578311414106702e-07
Position 1843: 1.2263859682637787e-07
Position 162: 2.7860968212144206e-08
Position 331: 2.4932459926005808e-08
Position 548: 2.4575694967362358e-08
Position 458: 2.41973923933113e-08
Position 551: 1.3346563557410055e-08
Position 227: 1.3138698259356457e-08
Position 199: 1.2489955477754353e-08
Position 644: 1.0486422504973967e-08
Position 532: 7.769731823790014e-09
Position 661: 6.8834716594342705e-09
Position 229: 4.427369165752758e-09
Position 513: 3.6541868287918646e-09
Position 23: 2.663081586107142e-09
Position 19: 2.584100984982207e-09
Position 642: 1.5230425323909933e-09
Position 490: 1.2439483502662913e-09
Position 680: 1.1467899741595412e-09
Position 649: 7.137465744539683e-10
Position 504: 6.639584670850898e-10
Position 523: 6.163329151433258e-10
Position 669: 4.1505744073221974e-10
Position 702: 1.9470752512480845e-10
Position 819: 3.633930617803243e-11
Position 727: 1.8641347196489693e-11
Position 821: 1.1569750407555576e-11
Position 919: 1.0269306823531942e-11
Position 51: 1.343330626417901e-13
Position 46: 7.644327282497222e-14
Position 283: 6.713240440280261e-14
Position 197: 4.2085172974066455e-14
Position 380: 1.1337836291462173e-14
Position 358: 7.331326747006912e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 19881: 0.9624444989093328
Position 12116: 0.9116462418685417
Position 12515: 0.2435067628677113
Position 22979: 0.21685263470306007
Position 24148: 0.17110755824296228
Position 26292: 0.13278971873989276
Position 21445: 0.11187525375802099
Position 22428: 0.11134736572289176
Position 5720: 0.07238667738050038
Position 16371: 0.05343166165892081
Position 10285: 0.051731309990023816
Position 4798: 0.04369455591909881
Position 6137: 0.03274188881680155
Position 20551: 0.031918204724128124
Position 20166: 0.03121155794158764
Position 12086: 0.029967075349695085
Position 12440: 0.029285684052427745
Position 20710: 0.027203293179607128
Position 25196: 0.02625800972087211
Position 5777: 0.024764761993629737
Position 5780: 0.016956226692070447
Position 21099: 0.016493384996116002
Position 21917: 0.01643024703794091
Position 9238: 0.014784195768299781
Position 1399: 0.01358668340410185
Position 18760: 0.013444874659508938
Position 20373: 0.013276151823103977
Position 12407: 0.011733412039726953
Position 1737: 0.011001696610694755
Position 3514: 0.010584063906517848
Position 21185: 0.009717191968121836
Position 20061: 0.00876308984738014
Position 17345: 0.006684935488860132
Position 22455: 0.006303844689899954
Position 1503: 0.005544369020169342
Position 5686: 0.005118724693104671
Position 5701: 0.005081128441648986
Position 3352: 0.0050168574271361975
Position 12460: 0.0046986149483470045
Position 5004: 0.004245027333089299
Position 20755: 0.0034355147781689453
Position 5078: 0.003120084107881849
Position 3483: 0.00258195732230086
Position 15597: 0.002301557182845758
Position 17228: 0.002274779983834393
Position 1658: 0.0016450765165378384
Position 3397: 0.001139977515650796
Position 3450: 0.001111155006027253
Position 1635: 0.0010505706520525448
Position 3580: 0.0010360731201698543
Position 5365: 0.0010079563174021705
Position 1586: 0.0010051942985935603
Position 14267: 0.0008331966367600599
Position 3535: 0.0007626704011607854
Position 3423: 0.000713032717773521
Position 15642: 0.000683455438612485
Position 1440: 0.0006036112719101007
