Gene = LSM11
index = 801
Annotated 5SS: [  504  7835 10393]
Annotated 3SS: [ 7694 10308 11158]
SMsplice 5SS: [  504  7835 10393 11418]
SMsplice 3SS: [ 7694 10308 11344 12372]
top_k =  500
Partition function (log Z): -6.844684275316299

Sorted 5' Splice Sites (High to Low Probability):
Position 7835: 0.9051245016863385
Position 10393: 0.7547220250400374
Position 12450: 0.4871308095489804
Position 5007: 0.44964856267199554
Position 504: 0.3797370194517833
Position 11418: 0.36735698556601687
Position 11460: 0.24928813901566138
Position 955: 0.22937513791864872
Position 5432: 0.22828425264950417
Position 2185: 0.22617472045464476
Position 2408: 0.1697549509956629
Position 166: 0.1529532561037008
Position 10569: 0.1487505508619294
Position 11498: 0.14747358642720057
Position 16086: 0.1367686444421485
Position 681: 0.10246954356966988
Position 9862: 0.09968141159900054
Position 1759: 0.07664396830866435
Position 4766: 0.07138231489992446
Position 8411: 0.06124006497428779
Position 4503: 0.05634927991892163
Position 5489: 0.05577236552395033
Position 7751: 0.047521817030537254
Position 82: 0.04684893017592966
Position 3141: 0.04386417018995158
Position 8038: 0.04270533955185166
Position 229: 0.040652183328905
Position 10144: 0.03315144245641825
Position 10527: 0.03072028972129798
Position 677: 0.029839079885909378
Position 10003: 0.02945664041700651
Position 11368: 0.022924702761765003
Position 2244: 0.020888813924929975
Position 1940: 0.01499842978794446
Position 3419: 0.010177750904989489
Position 3655: 0.010009537951544932
Position 825: 0.007115192304292973
Position 597: 0.006867431973395656
Position 2611: 0.006856416919253446
Position 960: 0.006706843752535549
Position 12147: 0.0066090920882190055
Position 1828: 0.0060755979051351884
Position 749: 0.00576578133198504
Position 2226: 0.005665514431922055
Position 1983: 0.005237631533307828
Position 11266: 0.00449036251601746
Position 1404: 0.0043357929218160824
Position 624: 0.004121210534895615
Position 923: 0.004112746269260857
Position 3199: 0.0038437098390196973
Position 7731: 0.0037506953310077495
Position 3753: 0.003501020758988748
Position 672: 0.003137793781534238
Position 12244: 0.002909558515355662
Position 8427: 0.0028220726914003056
Position 795: 0.0026924813796021466
Position 711: 0.0023857748346055186
Position 2818: 0.0023732750714014024
Position 459: 0.002137793215589346
Position 3554: 0.0019384683749083175
Position 11627: 0.00183538426917437
Position 1526: 0.0017154474575563545
Position 6416: 0.001714018599959929
Position 10784: 0.0016774276414295252
Position 11278: 0.0014963837961887807
Position 131: 0.0012622822290888338
Position 1024: 0.0011603333368480325
Position 10816: 0.0010761670907876877
Position 2233: 0.0010684538040821097
Position 875: 0.00084245381188689
Position 605: 0.0008215839697836105
Position 5170: 0.0008210544477235388
Position 453: 0.0007660248484567373
Position 948: 0.0005814881699378892
Position 254: 0.0003323995843091724
Position 1745: 0.00027466065166757995
Position 933: 0.00013797484111219093
Position 1304: 0.00012524496012130705
Position 785: 0.00012362879824414386
Position 407: 7.317095702105262e-05
Position 658: 2.7502577084938276e-05
Position 647: 1.700598779842488e-05
Position 1127: 1.612795787473361e-05
Position 1373: 1.3881244690128353e-05
Position 508: 1.0876009357509571e-05
Position 1261: 1.0848166368574458e-05
Position 583: 9.809168316756426e-06
Position 1323: 9.520900067266572e-06
Position 845: 7.00054627346062e-06
Position 1189: 6.200859332847468e-06
Position 1445: 6.198697782093869e-06
Position 726: 5.963331058231211e-06
Position 542: 5.762351975264991e-06
Position 981: 2.9465947987313815e-06
Position 1581: 2.0516150791372402e-06
Position 1104: 2.0364328979201047e-06
Position 1017: 1.972481817105242e-06
Position 221: 7.326370100761492e-07
Position 311: 4.358546776921665e-09
Position 399: 7.529690717645533e-10
Position 14: 1.378348228078122e-11
Position 568: 1.238095632269273e-11
Position 345: 3.550135414467038e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 7694: 0.9747138187878821
Position 10308: 0.8947759640675672
Position 11344: 0.7295517079156213
Position 12372: 0.7121244743162748
Position 4873: 0.43485578720205603
Position 5332: 0.22905396028482325
