Gene = CAPZB
index = 277
Annotated 5SS: [    42  65817  99973 106938 128056 128843 140291 141120]
Annotated 3SS: [ 65726  99850 106823 127913 128725 140224 141042 145859]
SMsplice 5SS: [    42  14323  16439  41987  46447  48435  49179  65453  65817  71057
  71724  73413  79181  98432  99973 103284 106938 122098 123543 128056
 128843 135251 140291 141120]
SMsplice 3SS: [ 14235  16304  41917  46323  48351  49081  65339  65726  70967  71626
  73165  78943  98359  99850 102963 106823 121936 123413 127913 128725
 135027 140224 141042 145859]
top_k =  500
Partition function (log Z): -73.40823710563224

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.8756289155329067
Position 4338: 0.5581919402558227
Position 6393: 0.47799815448559974
Position 1594: 0.39266657457214427
Position 6738: 0.24117174857510812
Position 16439: 0.23075348480993987
Position 1288: 0.1654706403576607
Position 9504: 0.14759534694485807
Position 8634: 0.07710592798511678
Position 1023: 0.06584975366786192
Position 5520: 0.05191076774404279
Position 2672: 0.05046213173909239
Position 16620: 0.04736458684807907
Position 2544: 0.04615834295220663
Position 2188: 0.041059314380196006
Position 6631: 0.03817963074253862
Position 5552: 0.025937345323686346
Position 10747: 0.02539529761986801
Position 5613: 0.0234644386900247
Position 1340: 0.020786306778472763
Position 6006: 0.01760809686371074
Position 2987: 0.012142821400891984
Position 2129: 0.012026652927093272
Position 543: 0.008194151806235533
Position 416: 0.006020585285787128
Position 3098: 0.004861045804761487
Position 568: 0.00451049164236012
Position 1861: 0.004311824802882736
Position 2886: 0.00349796563468637
Position 2668: 0.0030368955931863277
Position 5958: 0.0029483666800457927
Position 5515: 0.0027952695448273685
Position 2414: 0.002734315282790044
Position 307: 0.002726514931434536
Position 7846: 0.002576330276340891
Position 2482: 0.0022094547468919203
Position 129: 0.0021441585668928154
Position 142: 0.0020992356082603116
Position 1725: 0.002070252657591353
Position 2200: 0.0020607293235460396
Position 5702: 0.0016894774745017784
Position 372: 0.001630505703600028
Position 2480: 0.0016204513931010844
Position 1014: 0.0016041151566502955
Position 8081: 0.0014817765417904697
Position 2720: 0.001467402982547894
Position 2486: 0.001400423277513549
Position 3389: 0.001312980097804872
Position 726: 0.0010959354963589283
Position 1778: 0.0010949119889709594
Position 6801: 0.0007552351108942272
Position 1139: 0.0005788696464375885
Position 297: 0.0003866499566805359
Position 7532: 0.0003600180825231659
Position 1018: 0.00035469353335918456
Position 1027: 0.00018602360099273337
Position 1515: 0.00011985064695009865
Position 1774: 7.103130393862168e-05
Position 2078: 4.219931539105918e-05
Position 2125: 2.8659615600241292e-05
Position 2192: 2.6794578435240706e-05
Position 818: 2.327041846311722e-05
Position 792: 1.5277217510106544e-05
Position 806: 1.2696971208992133e-05
Position 201: 8.640363150886363e-06
Position 749: 8.268675463539982e-06
Position 383: 8.012026471584955e-06
Position 181: 6.8357566947922745e-06
Position 231: 6.725072218380449e-06
Position 775: 4.447868668019649e-06
Position 347: 1.0059127133985983e-06
Position 93: 7.156629512334627e-07
Position 1598: 5.414689375292435e-07
