Gene = ASPM
index = 102
Annotated 5SS: [  554  2738  4364  6928 11599 13345 14410 16780 17508 18205 21649 21825
 22585 24307 24536 24780 28906 46264 50697 52611 53643 54788 55845 56499
 56765 58439 59892]
Annotated 3SS: [ 2593  2883  6822 11451 13098 14341 16637 17376 18028 21502 21738 22362
 24098 24392 24650 28710 41508 50529 52513 53432 54637 55652 56305 56609
 58261 59721 62267]
SMsplice 5SS: [   13   180   554  2738  4198  4364  6928 11599 14410 16780 17508 21649
 21825 22585 24536 24780 28906 50697 52611 53643 54788 55845 56499 56765
 58439 59892]
SMsplice 3SS: [   99   458  2593  4087  4264  6822 11451 14341 16637 17376 21502 21738
 22362 24456 24650 28710 50529 52513 53432 54637 55652 56305 56609 58261
 59721 62267]
top_k =  500
Partition function (log Z): 5.613725053851939

Sorted 5' Splice Sites (High to Low Probability):
Position 14410: 0.999610740211709
Position 11599: 0.9895017786409208
Position 2738: 0.9860087387387926
Position 17508: 0.9583490068683407
Position 22585: 0.9515494278883214
Position 554: 0.9385015683076702
Position 4364: 0.9381030114776664
Position 16780: 0.9372801507299509
Position 28906: 0.9288663660252245
Position 180: 0.8800417041040037
Position 24780: 0.8636306362290125
Position 24536: 0.8087100988034153
Position 21825: 0.6283767290316526
Position 4198: 0.6270336498752458
Position 21649: 0.5868917372621243
Position 5464: 0.5488290053418503
Position 18205: 0.39647621547774303
Position 21666: 0.33389942108407555
Position 4806: 0.27852221896262963
Position 3163: 0.174190352071471
Position 30039: 0.17117319862736588
Position 13345: 0.14760130480244466
Position 24307: 0.14520448156910964
Position 17650: 0.13634211558230735
Position 24828: 0.1339730000429565
Position 30461: 0.11375547068024905
Position 24220: 0.09960956805587846
Position 37120: 0.09832671808865388
Position 16032: 0.09660979324642031
Position 17003: 0.06442811859965182
Position 28265: 0.05903779062881077
Position 12020: 0.05873062317709575
Position 6932: 0.05774243548664998
Position 28590: 0.055811549607683295
Position 16036: 0.05418788474515701
Position 293: 0.05094734805636365
Position 1988: 0.047622015062347436
Position 5122: 0.04657033990859065
Position 24027: 0.04395789739604015
Position 23470: 0.04301218091505981
Position 7936: 0.042729797181581555
Position 2178: 0.031153863963810778
Position 14887: 0.03110817012171664
Position 7437: 0.030269493408075557
Position 7048: 0.02790515271129995
Position 4694: 0.02600763894571436
Position 14083: 0.023135115752277557
Position 4898: 0.01813125296657355
