Gene = LEXM
index = 783
Annotated 5SS: [  158  1021  1628  1949  5869  6127  7913  8977 11060 35640]
Annotated 3SS: [  932  1462  1825  5730  5982  7750  8850 10925 35552 35737]
SMsplice 5SS: [  158  1021  1628  1949  5869  6127  7913  8977 11060 35640]
SMsplice 3SS: [  932  1488  1825  5730  5982  7750  8850 10925 35552 35737]
top_k =  500
Partition function (log Z): 5.51146848029704

Sorted 5' Splice Sites (High to Low Probability):
Position 5869: 0.9976965730379999
Position 11060: 0.9947571623321585
Position 1628: 0.9657717978026138
Position 7913: 0.9592358890178448
Position 6127: 0.9546848394617224
Position 158: 0.9113548113753401
Position 8977: 0.8423047009687284
Position 1021: 0.7702290396681027
Position 1949: 0.762179480768862
Position 10502: 0.506088750281387
Position 7648: 0.37107937802677743
Position 3606: 0.2042022770731209
Position 744: 0.18785718218568342
Position 5091: 0.17239021195026655
Position 4403: 0.15626602865402775
Position 13298: 0.15279919785863277
Position 1925: 0.14617570634292765
Position 703: 0.13853909066323317
Position 11240: 0.09718123192998929
Position 673: 0.09539937053918829
Position 3508: 0.09199626640271805
Position 6474: 0.07214940874784254
Position 8942: 0.06664672396766447
Position 5304: 0.06537159238146428
Position 9056: 0.0631667452699314
Position 17410: 0.05650793568510794
Position 6416: 0.051237661308415346
Position 11353: 0.051053273745603873
Position 656: 0.048014407479614926
Position 9832: 0.04241076293503822
Position 7514: 0.04053872015050952
Position 9284: 0.03741721850600412
Position 5221: 0.037144740684748635
Position 8507: 0.03540171627551361
Position 3573: 0.034927103515302114
Position 10084: 0.03283620812648361
Position 660: 0.031962596373188074
Position 3554: 0.03187712110624793
Position 2991: 0.028740577933073858
Position 2655: 0.027774939456039507
Position 6913: 0.02700146074175532
Position 4634: 0.026317811866821247
Position 11514: 0.02446945689831917
Position 1394: 0.02315994334295962
Position 5055: 0.022224788251042408
Position 8667: 0.021188083181475074
Position 11364: 0.020061309094120034
Position 8426: 0.01878533802830639
Position 4704: 0.017246513059005826
Position 3307: 0.01555823220885656
Position 17520: 0.014788643634863667
Position 10697: 0.014312838756677479
Position 1261: 0.01409952778596629
Position 8177: 0.01370485939473829
Position 5469: 0.01234268838489724
Position 18867: 0.011858278350331979
Position 1377: 0.011691005484699759
Position 383: 0.007413146957046375
Position 4605: 0.0073067115337194155
Position 5262: 0.007214742819872088
Position 480: 0.006812535743348883
Position 9072: 0.006759272019237293
Position 6083: 0.00663991405907299
Position 10079: 0.006610052630976649
Position 5061: 0.00578841521189206
Position 748: 0.005505516089321898
Position 2720: 0.004705998141443468
Position 1170: 0.004598090331477323
Position 1338: 0.004443912506845465
Position 8937: 0.004370713048872616
Position 7210: 0.004130334703947594
Position 144: 0.003915286096060404
Position 119: 0.0037556187262440086
Position 697: 0.003715788838668512
Position 650: 0.0036096253478784955
Position 309: 0.003597810165415388
Position 12833: 0.003520378429136035
Position 3069: 0.0035033232504109862
Position 8992: 0.003388723228181433
Position 2454: 0.0029760008562519516
Position 7981: 0.002723130809954587
Position 890: 0.002609714395200563
Position 6587: 0.00243868283738659
Position 7285: 0.002397067491348169
Position 9168: 0.001848158249062507
Position 8713: 0.0015978578622126709
Position 3251: 0.0015566568974901098
Position 9183: 0.0014444984547606642
Position 8981: 0.0013035445765748929
Position 753: 0.001274736022999022
Position 4551: 0.0012119435422188317
Position 6295: 0.0011630289223127023
Position 246: 0.001037529629385881
Position 7256: 0.000998496747504771
Position 1157: 0.0009927773415990967
Position 2519: 0.0009127321638246655
Position 12375: 0.0008465342393312163
Position 9237: 0.0008252280476097126
Position 1669: 0.0007728704138554126
Position 427: 0.0007420464493565186
Position 3666: 0.0007362500715866614
Position 11099: 0.0007312557988812446
Position 3529: 0.0007130897191482775
Position 4228: 0.0005917706709722291
Position 501: 0.0005917023143189839
Position 2645: 0.0005903713726896756
Position 484: 0.0005358035426740658
Position 7505: 0.0005347501654396662
Position 99: 0.000525121388251559
