Gene = RPN1
index = 1206
Annotated 5SS: [  310  5931 13051 18902 20899 24117 24976 25316 28686]
Annotated 3SS: [ 5865 12743 18691 20705 24016 24836 25195 28439 30255]
SMsplice 5SS: [  310  5931 13051 18902 24117 24976 25316 28686]
SMsplice 3SS: [ 5865 12743 18691 24016 24836 25195 28439 30255]
top_k =  500
Partition function (log Z): 11.146755026398784

Sorted 5' Splice Sites (High to Low Probability):
Position 25316: 0.9996949580836648
Position 24976: 0.9797307741100213
Position 24117: 0.9730252356364681
Position 5931: 0.9630151573169548
Position 18902: 0.958700174898125
Position 310: 0.87370726068901
Position 13051: 0.8487173849930025
Position 28686: 0.6383813595862237
Position 5678: 0.5328830868312929
Position 20899: 0.44782479819169385
Position 12840: 0.3681057103810101
Position 24436: 0.2638071041441009
Position 6315: 0.2552854040163007
Position 20913: 0.14999581255403602
Position 30593: 0.13468860416599923
Position 193: 0.11438261700101009
Position 26495: 0.10748416458472414
Position 28467: 0.09437125516686565
Position 26136: 0.07291238684861014
Position 6798: 0.07277526105744259
Position 28550: 0.06623843212092438
Position 9844: 0.06621636256330472
Position 516: 0.05754206518901607
Position 6151: 0.05370746926292041
Position 16254: 0.04783344132399653
Position 17387: 0.0417049170917582
Position 24580: 0.0414259687235955
Position 3805: 0.038252322694901066
Position 24521: 0.037575695859843265
Position 10866: 0.03283519510927311
Position 3799: 0.02784788077676003
Position 5902: 0.023145534646326772
Position 1778: 0.02268363748888724
Position 6461: 0.02204080704793243
Position 1125: 0.021455178370814464
Position 18777: 0.019646274067300563
Position 15874: 0.017296749142580684
Position 6500: 0.017197866711811435
Position 8788: 0.016104533425384406
Position 26215: 0.015664550348445903
Position 24949: 0.014398235211041457
Position 29815: 0.013927663217704975
Position 4865: 0.012433716602605055
Position 28627: 0.011591637930740962
Position 5924: 0.011392126083520172
Position 29600: 0.010105213893090026
Position 2414: 0.009842278060802545
Position 3841: 0.009398679549473639
Position 1985: 0.009396817887760154
Position 11521: 0.00858921259524589
Position 1633: 0.008494349048656992
Position 16324: 0.007672230846809741
Position 25926: 0.0072230990465618
Position 24484: 0.007058253808120971
Position 1960: 0.00693623863944088
Position 25892: 0.005311854503138457
Position 29472: 0.00525684796118637
Position 30469: 0.005243716188236065
Position 25559: 0.005135131042175431
Position 20323: 0.004798692367052553
Position 1715: 0.004646074666090529
Position 30171: 0.0043339458599528525
Position 30435: 0.004227097405974491
Position 5291: 0.0036443685309553568
Position 27083: 0.0036170015189950513
Position 30357: 0.0034464629198792326
