Gene = MCL1
index = 822
Annotated 5SS: [ 748 1347]
Annotated 3SS: [1098 2098]
SMsplice 5SS: [ 443  748 1347 2223]
SMsplice 3SS: [ 558 1098 2098 3764]
top_k =  500
Partition function (log Z): -1.6356630323270465

Sorted 5' Splice Sites (High to Low Probability):
Position 748: 0.9563739672825635
Position 443: 0.8133587427049727
Position 1347: 0.809595856251833
Position 2223: 0.7669819534485383
Position 3164: 0.2641789656132971
Position 1305: 0.1162938642032189
Position 3932: 0.04579721572544738
Position 3929: 0.03099361978764159
Position 84: 0.024682779228356492
Position 2172: 0.016528761770837664
Position 1182: 0.016231755338026673
Position 662: 0.009879217002271469
Position 2499: 0.008576347614174081
Position 3972: 0.0076208069189339245
Position 1521: 0.0059244973033952
Position 611: 0.0033826331635139384
Position 1414: 0.0032170445996174543
Position 511: 0.003186945318754323
Position 4: 0.003096227279037519
Position 2193: 0.003065036855953009
Position 3139: 0.002230554239749912
Position 1155: 0.0020725988071537897
Position 3095: 0.0017892441433931666
Position 3280: 0.0016520121492108386
Position 2667: 0.0015658703695363364
Position 1029: 0.0015290256218619984
Position 960: 0.0013996365260513254
Position 1965: 0.0013618989685988108
Position 2183: 0.0012860837937337265
Position 1793: 0.001120297314969457
Position 1734: 0.0011167245965400553
Position 2952: 0.0010676233716999614
Position 3591: 0.0009404702523737346
Position 3464: 0.0009384618551197415
Position 2296: 0.0007498835346475844
Position 1664: 0.0007287813663971625
Position 1288: 0.0006877267492744845
Position 2139: 0.0006275986809925157
Position 225: 0.000606894552581737
Position 978: 0.0005696794844501106
Position 494: 0.0004970386386203853
Position 4282: 0.0004952231910057996
Position 2843: 0.00048218572623411353
Position 523: 0.000419823900638352
Position 819: 0.0004096632016220245
Position 1430: 0.0003339739696754785
Position 998: 0.0002839522716600036
Position 705: 0.0002654513718836904
Position 1849: 0.00026526989502769773
Position 1329: 0.00023472828679767428
Position 315: 0.00022861788512695537
Position 1203: 0.00022852337685766718
Position 1892: 0.00019052922173196394
Position 1008: 0.00017654780213341426
Position 1222: 0.0001736950210763065
Position 106: 0.0001372374866569167
Position 840: 0.00010308549341189362
Position 498: 7.267522740223392e-05
Position 1857: 6.942471257257704e-05
Position 1137: 6.781970574907327e-05
Position 756: 6.555290507182704e-05
Position 1148: 6.099391172067281e-05
Position 1887: 5.482673974316434e-05
Position 2650: 3.957883120794469e-05
Position 983: 2.428054910780713e-05
Position 993: 2.4244563963413428e-05
Position 3261: 2.4196394170637353e-05
Position 1539: 1.9038822849264793e-05
Position 2104: 1.8484401108556283e-05
Position 3546: 1.7881354389985667e-05
Position 62: 1.7858882091265506e-05
Position 1351: 1.7263627366915776e-05
Position 2888: 1.608009680828164e-05
Position 1816: 1.4906275380985948e-05
Position 285: 1.129367621037311e-05
Position 1902: 1.0656721053994688e-05
Position 533: 1.023496906782387e-05
Position 1498: 8.415168388313369e-06
Position 1796: 7.948908881877214e-06
Position 1692: 6.3317111378763e-06
Position 581: 6.037320804040776e-06
Position 902: 5.18156732291025e-06
Position 477: 5.165674522781576e-06
Position 823: 4.000605254439693e-06
Position 17: 1.918336721530821e-06
Position 419: 1.6613107359946184e-06
Position 942: 8.726888751537659e-07
Position 324: 7.994996121347965e-07
Position 11: 4.734973751381691e-07
