Gene = GCC1
index = 579
Annotated 5SS: [1457]
Annotated 3SS: [2297]
SMsplice 5SS: [ 759 2133]
SMsplice 3SS: [2000 2297]
top_k =  500
Partition function (log Z): -6.193577472250762

Sorted 5' Splice Sites (High to Low Probability):
Position 3875: 0.746368536498777
Position 2133: 0.6262207862811365
Position 759: 0.5183959447021066
Position 1760: 0.32570979302945835
Position 2619: 0.2980546448285209
Position 1457: 0.26995106168032856
Position 2510: 0.20423811458241223
Position 2337: 0.16284372149490914
Position 2747: 0.15341750198356577
Position 1895: 0.12894680598690678
Position 2598: 0.11253777277866664
Position 2797: 0.08985729018005693
Position 596: 0.06493134054683607
Position 4130: 0.06009370605989153
Position 1778: 0.05816817162829956
Position 876: 0.04112386954643486
Position 605: 0.040861291900066765
Position 303: 0.03899415610921328
Position 539: 0.027432315174102304
Position 2085: 0.022044822772416865
Position 307: 0.020463395020406155
Position 283: 0.020411213627910225
Position 1225: 0.015158291334585915
Position 3841: 0.014003667360566713
Position 128: 0.013979897384398613
Position 3352: 0.01360702594255591
Position 636: 0.013182819820785908
Position 169: 0.01292576856400887
Position 2382: 0.012487862483955543
Position 2766: 0.01040869465678561
Position 182: 0.0100905030308519
Position 3306: 0.006765082162183728
Position 207: 0.006466486580769725
Position 1314: 0.004684360984528152
Position 1661: 0.004357584793169571
Position 62: 0.0032608799117573623
Position 4577: 0.0031846927850141924
Position 298: 0.0027864478978017857
Position 3129: 0.001934184013468893
Position 4260: 0.0016888951232620333
Position 2855: 0.0011246863095571132
Position 1753: 0.00111068141268553
Position 1167: 0.001108551077800876
Position 1319: 0.0010234474786300146
Position 79: 0.000857701862232396
Position 4349: 0.0007959264605680208
Position 829: 0.000792911248927373
Position 1500: 0.0007083828768648128
Position 601: 0.00044970268083591484
Position 259: 0.00034067937198892825
Position 4831: 0.0003358529326651919
Position 682: 0.00024375237009193734
Position 825: 0.00023899106854928935
Position 623: 0.00022198151157028746
Position 884: 0.0001839477232907566
Position 309: 0.0001682665757268794
Position 433: 0.00013701980325227844
Position 1828: 0.00011853097615133517
Position 400: 9.681984859143931e-05
Position 3825: 8.990756558897002e-05
Position 842: 8.086359233438872e-05
Position 190: 7.840022810852807e-05
Position 1984: 7.805456722770257e-05
Position 412: 7.096353930917129e-05
Position 770: 5.673726130437121e-05
Position 263: 5.4831489243660535e-05
Position 1026: 3.132266389864567e-05
Position 536: 1.4347568899782736e-05
Position 514: 1.0359870569702538e-05
Position 42: 7.973328378810892e-06
Position 31: 7.209264073418637e-06
Position 188: 5.130319542281001e-06
Position 39: 4.502056506098842e-06
Position 855: 1.765068787524479e-06
Position 811: 1.281127532809706e-06
Position 4438: 1.1636664413509917e-06
Position 961: 7.318293779872063e-08
Position 14: 5.3011840517730076e-08
Position 340: 4.8700596595308034e-08
Position 108: 1.712718931480462e-08
Position 271: 2.881286272250573e-09
Position 11: 5.958165926487909e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 2297: 0.9212238422119094
Position 3774: 0.833424153150263
Position 2000: 0.5375307424600595
Position 4013: 0.2880152323979804
Position 4508: 0.260190072165796
Position 1639: 0.23591465624284097
Position 2714: 0.22529650529523623
Position 4380: 0.21177426190960313
Position 1535: 0.14817700845587792
Position 1791: 0.09365116994402542
Position 2121: 0.03524774314439458
Position 1120: 0.03018954998320192
Position 696: 0.028286631054691168
Position 1297: 0.02764680559062851
Position 4283: 0.02557127634200538
Position 2052: 0.024273474218121267
Position 1894: 0.01895621355116367
Position 4828: 0.01654382269096166
Position 4657: 0.015840768862969295
Position 1957: 0.015139057673836345
Position 2243: 0.014522516685719529
Position 1123: 0.013459736932455512
Position 3204: 0.013442356108054672
Position 1324: 0.012174488366228257
Position 1876: 0.010306462927233646
Position 4910: 0.009413423787953708
Position 1345: 0.009362463548745644
Position 1224: 0.008609799727537407
Position 1856: 0.008255143559224647
Position 3178: 0.008140853474485463
Position 635: 0.007201358614918589
Position 4618: 0.006452391980101158
Position 4218: 0.005255336268959248
Position 4858: 0.004850473430457572
Position 1539: 0.0048325901446557495
Position 2301: 0.004632898283115264
Position 1581: 0.004042857346664548
Position 4753: 0.003758439992590918
Position 1318: 0.0031951877946816538
Position 4514: 0.0030550074315367666
Position 947: 0.003008346312178846
Position 3523: 0.002837917538840468
Position 2597: 0.002815604153003312
Position 1578: 0.0027662628252893783
Position 2565: 0.002754989737493754
Position 4537: 0.0024755173534310453
