Gene = CTC-534A2.2
index = 418
Annotated 5SS: [342]
Annotated 3SS: [4702]
SMsplice 5SS: [342]
SMsplice 3SS: [3142]
top_k =  500
Partition function (log Z): -10.825296798783878

Sorted 5' Splice Sites (High to Low Probability):
Position 342: 0.7652326048061924
Position 163: 0.2220717061294644
Position 3224: 0.08554517254228515
Position 899: 0.0777277334637255
Position 5780: 0.020569108994489847
Position 1442: 0.015834463015373505
Position 189: 0.014697660404678767
Position 546: 0.014164236471234217
Position 656: 0.009221054678613073
Position 633: 0.0024506400698929504
Position 148: 0.002410382868509334
Position 3506: 0.002257882583550827
Position 2807: 0.001914829361043516
Position 4857: 0.0017264867538221043
Position 182: 0.001688812131835766
Position 4552: 0.0012336571827956774
Position 4532: 0.0007287929801167553
Position 3107: 0.0006961514076940644
Position 266: 0.0006503427717963769
Position 702: 0.0006271279906961032
Position 222: 0.0004388513344086675
Position 836: 0.0003393275305551667
Position 2234: 0.0003257166734166913
Position 273: 0.00012068424043262171
Position 76: 0.00011619361519006141
Position 136: 9.77872857475443e-05
Position 302: 7.684577254076377e-05
Position 1315: 6.988502640761133e-05
Position 1649: 4.486786696626087e-05
Position 1131: 3.090295895586662e-05
Position 132: 2.811756749653159e-05
Position 2732: 2.7415456815873317e-05
Position 726: 2.5931451858185295e-05
Position 413: 2.398076639896323e-05
Position 1758: 2.2669191976069975e-05
Position 2801: 1.985487391652519e-05
Position 509: 5.1310127597865056e-06
Position 52: 3.6710339082919285e-06
Position 246: 3.6062269191373576e-06
Position 10: 2.9471801395730576e-06
Position 54: 2.7279531682437735e-06
Position 26: 2.6493876460727934e-06
Position 3103: 2.5146809865886804e-06
Position 277: 1.6021226496821802e-06
Position 3193: 1.4382810303221223e-06
Position 375: 8.056860826794293e-07
Position 284: 7.211995124746743e-07
Position 290: 5.969249976596904e-07
Position 29: 4.61311224853805e-07
Position 117: 3.842194441969932e-07
Position 205: 3.622565307857837e-07
Position 908: 3.415114517766798e-07
Position 775: 2.788069510967587e-07
Position 748: 2.7441118879652506e-07
Position 15: 6.965376101483514e-08
Position 44: 3.6978281639649625e-08
Position 440: 3.096433607447416e-08
Position 193: 3.427573131205959e-09
Position 229: 3.2328290805714204e-09
Position 91: 7.003330229819143e-10
Position 255: 1.8579959130449275e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3142: 0.2375096420466279
Position 3317: 0.14306790044572804
Position 6104: 0.1137751192672144
Position 578: 0.07936167528973347
Position 3284: 0.07384223658154244
Position 3715: 0.06663301231012274
Position 5319: 0.05839769709984254
Position 4702: 0.04340670306080643
Position 508: 0.03953903792558492
Position 528: 0.03583672395557558
Position 4763: 0.0354611179730744
Position 5679: 0.03365225116528792
Position 269: 0.022834203528133718
Position 246: 0.021893146876047317
Position 4654: 0.01883198817856333
Position 5568: 0.018792628018284633
Position 1547: 0.016427407799170932
Position 440: 0.01619593006026813
Position 4392: 0.01581576312299107
Position 1014: 0.010334688442601
Position 960: 0.010316749776509721
Position 474: 0.009799466734124365
Position 1568: 0.008414198956738114
Position 5652: 0.007178988004263817
Position 795: 0.00669514085173689
Position 1295: 0.006554000779182752
Position 2604: 0.005978169878706263
Position 4052: 0.005502722301817474
Position 6017: 0.0051768401543175295
Position 4048: 0.0049336511149607526
Position 5903: 0.0037995026824766123
Position 5355: 0.0030292603705956533
Position 4892: 0.0030181586500677943
Position 5734: 0.0029443925641739945
Position 889: 0.0029415180155862386
Position 6038: 0.0029232151644487427
Position 4147: 0.002726048042393117
Position 3020: 0.002573336498380683
Position 817: 0.0025640868183045584
Position 2065: 0.0023447619992544573
Position 4821: 0.0023291406462176223
Position 1342: 0.002238275165342802
Position 3739: 0.0022271251536889604
Position 5048: 0.002140605824177091
Position 1205: 0.0020499812775468954
Position 416: 0.00178736922574583
Position 2909: 0.001702387353526162
Position 1725: 0.001417018857528051
Position 3333: 0.0013703872644403022
Position 643: 0.001355681772255877
Position 4103: 0.0013162690588990405
Position 2465: 0.0012888881398308068
Position 2495: 0.0010550478437292815
Position 1528: 0.001043797841318284
Position 4802: 0.00098215623195216
Position 4932: 0.0008765415602798989
Position 5779: 0.0008659894337823781
Position 1385: 0.000854550399818457
