Gene = SQSTM1
index = 1327
Annotated 5SS: [  383  2295  3329  3565  4468 12488 13024]
Annotated 3SS: [ 2198  3098  3422  4386 12272 12827 15676]
SMsplice 5SS: [  383  2295  3329  3565 15611]
SMsplice 3SS: [ 2198  3098  3422 15518 15711]
top_k =  500
Partition function (log Z): -1.527018754328698

Sorted 5' Splice Sites (High to Low Probability):
Position 2295: 0.9990864262227704
Position 3565: 0.9977342373519263
Position 383: 0.9815047543978811
Position 3329: 0.9351844408790227
Position 15611: 0.6389978401063231
Position 12910: 0.38230837272758716
Position 4468: 0.21736343891349313
Position 8228: 0.056013721272943635
Position 3203: 0.039283482511433064
Position 12408: 0.031611956641873454
Position 2078: 0.029161456996826183
Position 2102: 0.00975333298501633
Position 2082: 0.008042907388756888
Position 12812: 0.008031514812088818
Position 296: 0.006130512194069985
Position 6336: 0.005398616378233705
Position 4337: 0.005130962601341243
Position 2025: 0.004422236956696298
Position 5241: 0.004389137361328181
Position 2001: 0.004058069497966281
Position 8203: 0.003779563888418104
Position 949: 0.0034178197699188534
Position 7136: 0.003257355081313652
Position 411: 0.0030688762734922275
Position 1418: 0.0028325914740165454
Position 4957: 0.0014941458362949993
Position 795: 0.0013315424084840443
Position 563: 0.001294495232974138
Position 1003: 0.0012417961245427592
Position 1042: 0.001108885647573872
Position 3826: 0.0010008714456443354
Position 3357: 0.0009640611555093009
Position 7986: 0.0009180291224501231
Position 575: 0.0007774672608832629
Position 858: 0.0007726355582068363
Position 3249: 0.0007359119936367913
Position 1064: 0.0007080089911493324
Position 2041: 0.0007063568149561653
Position 5012: 0.0006736203439900746
Position 1069: 0.0006436948090234212
Position 4999: 0.0005533203135825164
Position 2932: 0.00048165642699987406
Position 484: 0.0004801975139190399
Position 792: 0.00043462789938080435
Position 328: 0.000393825032541856
Position 3220: 0.0003895237347655406
Position 1468: 0.0003551153029313406
Position 5003: 0.00034325128489129045
Position 954: 0.0003374454002222362
Position 621: 0.00030580018775895005
Position 1384: 0.0002764497660520351
Position 492: 0.00017244472679972864
Position 3173: 0.0001481124742384724
Position 1885: 0.00014189736798729668
Position 4319: 0.00013943506568724623
Position 2434: 0.00012874992001399643
Position 5022: 0.00011697831408617752
Position 3453: 0.00010833957468612073
Position 3161: 0.00010727301199767922
Position 48: 0.00010423021703090587
Position 604: 8.559522029389292e-05
Position 749: 8.414497624221531e-05
Position 1449: 8.251827425155233e-05
Position 1281: 8.185341292706268e-05
Position 1078: 8.017178272533022e-05
Position 2392: 6.474295741767522e-05
Position 658: 5.892926993909173e-05
Position 2494: 5.870518664594534e-05
Position 1823: 5.1674863091875645e-05
Position 2566: 4.34631612048301e-05
Position 1868: 4.1256969484396415e-05
Position 1301: 3.910566633699463e-05
Position 3254: 3.6990388544959915e-05
Position 3227: 2.9647654270772162e-05
Position 4991: 2.8816658788798673e-05
Position 2574: 2.857047002316149e-05
Position 2526: 2.755132089505765e-05
Position 1677: 2.575568283831434e-05
Position 1437: 1.805482354432185e-05
Position 3344: 1.5833590511573022e-05
Position 4947: 1.3831011660828892e-05
Position 3200: 1.3757842179058547e-05
Position 2641: 1.2581287694767811e-05
Position 4101: 1.2475990725116646e-05
Position 3: 1.2402462607742643e-05
Position 5016: 8.589692987025996e-06
Position 2356: 8.099894231806606e-06
Position 4713: 3.6410009207167948e-06
Position 2261: 3.5769921749153144e-06
Position 3133: 3.5606014814797023e-06
Position 2668: 3.4147315474989336e-06
Position 2337: 2.8381874290973264e-06
Position 193: 2.711198969738766e-06
Position 3322: 1.837519365842092e-06
Position 2804: 1.7933844352330124e-06
Position 3034: 1.7745820769585005e-06
Position 4575: 1.5955401738531307e-06
Position 5533: 1.3817468326452933e-06
Position 2484: 1.259636303703097e-06
Position 4744: 1.0168782751688188e-06
Position 3836: 4.831746015251689e-07
Position 6: 4.1024835328506885e-07
Position 445: 2.3752833591027699e-07
Position 540: 1.1797281813602217e-07
Position 1103: 1.1765315484453049e-07
Position 110: 1.1745826686431167e-07
Position 978: 1.1587376762593408e-07
Position 1044: 1.124383652922765e-07
Position 3715: 1.1086278051520636e-07
Position 6389: 1.0256820433323271e-07
Position 1007: 9.636843664691826e-08
Position 687: 6.065880070545072e-08
Position 3493: 5.634702079407479e-08
Position 4723: 5.626727436600008e-08
Position 874: 5.0700525219674914e-08
Position 1026: 3.753698233750419e-08
Position 1001: 3.658686836022337e-08
Position 3597: 3.1945405234085866e-08
Position 799: 2.781972378228804e-08
Position 3473: 2.0073666075974165e-08
Position 3642: 1.7559160684457847e-08
Position 1255: 1.68248335200148e-08
Position 183: 1.4110096397702274e-08
Position 533: 1.0066375751120056e-08
Position 520: 7.405846674250271e-09
Position 3684: 6.257938305499904e-09
Position 339: 6.037968577072049e-09
Position 3720: 3.942823388095712e-09
Position 746: 3.75978534764531e-09
Position 572: 2.5620451311009574e-09
Position 766: 1.913179548523133e-09
Position 3756: 1.455137754613267e-09
Position 1128: 2.3849062785748215e-10
Position 153: 6.111541832816869e-12
Position 2837: 2.928539099321239e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 3422: 0.958859431623996
Position 3098: 0.9332661001364218
Position 2198: 0.7288855766515591
Position 15518: 0.6796187424973574
Position 15711: 0.40955855761729376
Position 12827: 0.36610072758747964
Position 2229: 0.25945160506709525
Position 4285: 0.10034104720033861
Position 12272: 0.09459210132644029
Position 14055: 0.07865544930634548
Position 4386: 0.06861405365474203
Position 15739: 0.06607219656517312
Position 15676: 0.06018282461880453
Position 8046: 0.05485522730476611
Position 15942: 0.050061280022576676
Position 1960: 0.04852905616088141
Position 3142: 0.03640324566569672
Position 16055: 0.030828290754693184
Position 16957: 0.027532513526568537
Position 3436: 0.025550123081877662
Position 4210: 0.023944733207820885
Position 16553: 0.021301455700760898
Position 12756: 0.01850259661496539
Position 12702: 0.016776482658070673
Position 3452: 0.015122694952906333
Position 12338: 0.014200564075502848
Position 12891: 0.01394685913009084
Position 7638: 0.013774553364109767
Position 15699: 0.01253935403276189
Position 4883: 0.01144941407139278
Position 17114: 0.009131737047759258
Position 13070: 0.009095490690486078
Position 13600: 0.007391007587468218
Position 13096: 0.005919711153160686
Position 2129: 0.005460507085311911
Position 8383: 0.005179429477687685
Position 4302: 0.005146459788561065
Position 4336: 0.004978271398904375
Position 5126: 0.004429628601901487
Position 4216: 0.004329936416572925
Position 8193: 0.004088650910460038
Position 15036: 0.00400857444380638
Position 4318: 0.0037623888180749435
Position 7659: 0.0035288202018461576
Position 1280: 0.003326297447023704
Position 4403: 0.0032747996470632347
Position 6890: 0.0031600031908995095
Position 6150: 0.0030965670120132135
Position 791: 0.0030130857318222863
Position 13242: 0.0029441694176125114
Position 7509: 0.002752654344293658
Position 9425: 0.002612903224601852
Position 1993: 0.002551828297014352
Position 7979: 0.0024591208421947098
Position 8627: 0.0022150790324942243
Position 1816: 0.002202494791787698
Position 5865: 0.0021102351221608884
Position 4427: 0.0020704547376972308
Position 13785: 0.0017989187697302813
Position 2097: 0.0017871910739273192
Position 540: 0.001771129959289238
Position 3074: 0.0017496012492360668
Position 8955: 0.0017010703384669076
Position 6228: 0.0015517237330807015
Position 6481: 0.0014801144014043794
Position 4097: 0.0013754926178188621
Position 3206: 0.0013118697930122065
Position 4743: 0.0012928357201042182
Position 9532: 0.0012263669977486018
Position 3100: 0.0012021353608330423
Position 5370: 0.0011968779648726378
Position 7634: 0.0011326476314361133
Position 1721: 0.0011164000125511045
Position 6829: 0.0010553455331827144
Position 4270: 0.0010145564171786196
Position 1775: 0.0009374257563276133
