Gene = NGLY1
index = 939
Annotated 5SS: [  292  4978 19486 32454 43975 46218 47548 49680 51233 54419 63538]
Annotated 3SS: [ 4862 19239 32287 43751 46095 47401 49568 51067 54232 63359 63915]
SMsplice 5SS: [  292  4978 25099 32454 36304 39216 43975 44142 46218 49680 54419 63538]
SMsplice 3SS: [ 4862 24980 32287 36186 39086 43751 44069 46095 49568 54232 63359 63915]
top_k =  500
Partition function (log Z): -35.345442183568984

Sorted 5' Splice Sites (High to Low Probability):
Position 6796: 0.706165841801196
Position 4978: 0.6913874898403755
Position 4064: 0.48137857406592544
Position 292: 0.45891996952472086
Position 5962: 0.4151297124535685
Position 5851: 0.259883621882529
Position 319: 0.19982157618637555
Position 659: 0.15072560591230616
Position 589: 0.059338052154315764
Position 5945: 0.05144392997490518
Position 327: 0.04911193579236
Position 814: 0.045726911875492715
Position 4982: 0.014497463643982637
Position 79: 0.013063134082340467
Position 307: 0.012253773877516244
Position 331: 0.010827524106552123
Position 947: 0.010566272403657435
Position 5668: 0.00953746680565922
Position 6546: 0.009433804764257205
Position 2030: 0.00855760376897452
Position 8441: 0.005585138429975531
Position 2157: 0.004952953402214998
Position 5039: 0.004027747891066777
Position 6785: 0.0030282037320844613
Position 4771: 0.0028721070470682335
Position 6349: 0.002680347350462965
Position 4416: 0.0017988272823686406
Position 6985: 0.00124392955910986
Position 7598: 0.0007607015850720057
Position 1126: 0.0006627136618725598
Position 5790: 3.302860481836289e-05
Position 438: 3.064187020062946e-05
Position 549: 2.275991059009903e-05
Position 70: 1.7332712500170435e-05
Position 1379: 1.153680352057292e-05
Position 1291: 7.639265181714242e-06
Position 1010: 6.580610962585594e-06
Position 111: 6.55563559950788e-06
Position 966: 6.348458046142703e-06
Position 754: 6.0718349291700554e-06
Position 787: 5.6817925484518015e-06
Position 1753: 4.541729362933189e-06
Position 1145: 4.387857421107616e-06
Position 1116: 3.59160692635049e-06
Position 424: 2.9345975370286175e-06
Position 690: 2.299136579900202e-06
Position 540: 1.4454665322219458e-06
Position 772: 5.149423810752111e-07
Position 348: 4.314695150391598e-07
Position 109: 3.076771929720721e-07
Position 514: 3.070748617461892e-07
Position 503: 1.4427437873702646e-07
Position 368: 1.0942648581274019e-07
Position 517: 9.042721196481661e-08
Position 477: 8.654512646812164e-08
Position 738: 5.601694701337337e-08
Position 534: 5.5922953073414435e-08
Position 811: 3.638849354289253e-08
Position 559: 2.9453789740360787e-08
Position 199: 2.2341841988846457e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5710: 0.6784847729600709
Position 4862: 0.6161656597693732
Position 6675: 0.38639149243985227
Position 3948: 0.3639767907927767
Position 16904: 0.3575359582748606
Position 6647: 0.33361494837829114
Position 16672: 0.1376827255584183
Position 20436: 0.10356252331056008
Position 3953: 0.06740636111129598
Position 4922: 0.06585509314474332
Position 7717: 0.047485725425205176
Position 8635: 0.03337342100594664
Position 14596: 0.03239773883025857
Position 5944: 0.031900440153154956
Position 6158: 0.03153006793353712
Position 7115: 0.03060937595401029
Position 10374: 0.029520283873416465
Position 15156: 0.028849140482824876
Position 15130: 0.026522883202675478
Position 5567: 0.025187936244595907
Position 6183: 0.022667477376100916
Position 9884: 0.02063274983648698
Position 9271: 0.016880196440898564
Position 3866: 0.01680142266899475
Position 3992: 0.016798766799687472
Position 1857: 0.011991163006781009
Position 3780: 0.010417380204781276
Position 4720: 0.01001272587949202
Position 5881: 0.009634230631878965
Position 4886: 0.008760791440850485
Position 6766: 0.008633405513869605
Position 4741: 0.008065100499582067
Position 5554: 0.007385160043495704
Position 8301: 0.005476465524141122
Position 7493: 0.0051543380993775804
Position 7305: 0.004482688155340137
Position 9080: 0.003937186810981184
Position 534: 0.003559903453533381
Position 3730: 0.003480394544231399
Position 4348: 0.0034750763417288875
Position 7066: 0.003436445999510619
Position 1436: 0.003115366017874735
Position 5776: 0.0030954873406391675
Position 9332: 0.0029873523092820153
Position 8122: 0.002616193573137678
Position 4937: 0.002609863400189062
Position 9289: 0.002521447520048868
Position 8166: 0.002440754211379299
Position 514: 0.002289900865612124
Position 8832: 0.0022490931981725857
Position 9013: 0.002203179266455845
Position 3918: 0.002158958626418039
Position 6885: 0.002012047408027376
Position 8403: 0.001877691886569962
Position 6710: 0.001629262997539262
Position 2047: 0.0015976223623400292
Position 7692: 0.001534628635589041
Position 7755: 0.0014010933018131105
Position 6348: 0.0013725918539556478
Position 4909: 0.0012473017389520427
Position 4319: 0.0011833493318252598
Position 642: 0.0011354525497206454
Position 7239: 0.0011184503198114495
Position 406: 0.0010953477527032328
Position 5722: 0.0009720267132771118
Position 1931: 0.0008162602281529123
Position 6373: 0.0008031179308168546
Position 872: 0.0006206298095777401
Position 9010: 0.0006018508009149525
Position 9545: 0.0005310924402679204
Position 3756: 0.0004998278114336191
Position 5183: 0.0004657373576688957
Position 990: 0.00046463408833448676
Position 357: 0.0004628199961669439
Position 385: 0.00033851656745515217
Position 888: 0.0003322549500946921
Position 499: 0.0002756460158521657
Position 7369: 0.00026676077803376936
Position 7971: 0.00024014776896082586
Position 7845: 0.00023804364720613557
Position 5160: 0.00022175705596631855
Position 7476: 0.0002190540577878175
Position 538: 0.00020698069385787735
Position 735: 0.00019263270293779218
Position 1472: 0.00018389595778518723
Position 456: 0.00016480561845856734
Position 7133: 0.00016387658170098553
Position 8400: 0.00013936108397919318
Position 8197: 0.0001244403008606539
Position 4688: 0.00012194661489561194
Position 1092: 0.00011349559465538371
Position 2093: 0.00011152502226346841
Position 5961: 0.00010621786034821716
Position 2052: 9.096150576259935e-05
Position 4228: 4.9244076301173724e-05
Position 588: 4.7014619625716805e-05
Position 1007: 4.6796618198181276e-05
Position 935: 3.5123350448935234e-05
Position 6849: 1.7004643530645756e-05
Position 1863: 1.683693235417074e-05
Position 1190: 1.299400930043284e-05
Position 494: 1.0716250861203388e-05
Position 882: 7.363801873315064e-07
Position 703: 4.986240971609704e-07
Position 777: 4.692073433981431e-07
Position 1027: 4.2246577294201606e-07
Position 568: 2.7954076326072684e-07
Position 392: 2.0820820307819075e-07
Position 444: 2.004472368427049e-07
Position 559: 1.4216612890192435e-07
Position 738: 1.1424250337529012e-07
Position 379: 1.046108536030922e-07
Position 420: 9.095429102469487e-08
Position 477: 7.553542267631039e-08
Position 708: 6.69098689239231e-08
Position 1072: 5.4400115384702464e-08
Position 503: 4.977319220885374e-08
Position 583: 4.1169880326385854e-08
Position 607: 3.7327470419615766e-08
