Gene = DCP2
index = 432
Annotated 5SS: [  251  9251 15513 16035 24501 24734 24939 27342 31307 34072]
Annotated 3SS: [ 9098 15384 15935 24347 24620 24830 27205 31201 34019 36584]
SMsplice 5SS: [  251  6126 15513 15852 16035 24501 24734 24939 31307]
SMsplice 3SS: [ 6011 15417 15677 15935 24347 24620 24830 31201 43608]
top_k =  500
Partition function (log Z): 7.242944634765376

Sorted 5' Splice Sites (High to Low Probability):
Position 24939: 0.9998687607931952
Position 16035: 0.9944891170649671
Position 24734: 0.9943641030519197
Position 251: 0.9933093173092629
Position 6126: 0.9493467906449096
Position 15513: 0.946486576857278
Position 24501: 0.9327529357948903
Position 31307: 0.9098503815480659
Position 6459: 0.7525629727866266
Position 15852: 0.6590738419784666
Position 27342: 0.44751284050543255
Position 702: 0.30489974905104367
Position 16438: 0.27403864126065625
Position 788: 0.26920941316594704
Position 12521: 0.20067590706508845
Position 32932: 0.1828707969429467
Position 36657: 0.09788135176746061
Position 1030: 0.07444865851197631
Position 28916: 0.06962667093655031
Position 19927: 0.05908049409007139
Position 38511: 0.05404094728198151
Position 32950: 0.043885429579842136
Position 24524: 0.0392314745412357
Position 35245: 0.03325123796524732
Position 33440: 0.031063431497981322
Position 36184: 0.03037157682447838
Position 26114: 0.02826080320430635
Position 1070: 0.026965537181624297
Position 16832: 0.024411744695784412
Position 36801: 0.02400292651363938
Position 36308: 0.022935338720322326
Position 24535: 0.02033052758601991
Position 2384: 0.017204791515712487
Position 31887: 0.016044365321535903
Position 31824: 0.015581805365016186
Position 19167: 0.015446323031881743
Position 6205: 0.015195223614075519
Position 25311: 0.015118646669844667
Position 1819: 0.014678202329154115
Position 4436: 0.013588602698205636
Position 5662: 0.01269266049988694
Position 17110: 0.011092534442651727
Position 2749: 0.010656658750006983
Position 21927: 0.010437602170108116
Position 1612: 0.009379453456379517
Position 778: 0.009336946112233492
Position 26782: 0.00830911821345647
Position 675: 0.007019678853702958
Position 12482: 0.00656433406397431
Position 1874: 0.006095068315290753
Position 1093: 0.00601924260351479
Position 142: 0.005285407443220774
Position 6130: 0.004993969408913111
Position 12598: 0.004303884020618688
Position 1072: 0.003952787692691342
Position 5268: 0.003875650487462477
Position 4552: 0.003639935880916388
Position 32983: 0.0023170773775383073
Position 36244: 0.002309113894685353
