Gene = ABHD6
index = 5
Annotated 5SS: [  411 12437 19200 29840 31929 33559 37310 47634 47948]
Annotated 3SS: [12371 19055 29682 31814 33425 37151 47578 47846 56082]
SMsplice 5SS: [  411 19200 19392 23668 31929 37310 44129 47634 47948]
SMsplice 3SS: [19055 19295 23483 31814 37151 44047 47578 47846 56082]
top_k =  500
Partition function (log Z): -26.72343616650476

Sorted 5' Splice Sites (High to Low Probability):
Position 19200: 0.9982587770824433
Position 411: 0.9377216283706129
Position 19392: 0.7799633151978465
Position 23668: 0.4263751089951595
Position 1578: 0.2426507931691414
Position 23559: 0.09270284134366326
Position 317: 0.050979614019967236
Position 1139: 0.003032285568643966
Position 1001: 0.002804156395665429
Position 21170: 0.0013490933418508196
Position 335: 0.001014033731153194
Position 24: 0.0010112994984666963
Position 406: 0.0007602999440474038
Position 218: 0.0005291936232644569
Position 439: 0.0004039779035647247
Position 1147: 0.00032676301168660485
Position 1044: 0.00023358404681434448
Position 668: 0.00019563765671144098
Position 599: 0.0001936264996923457
Position 131: 0.00017915585127371885
Position 368: 0.00013200423209472852
Position 396: 0.00011790207416528449
Position 110: 0.00011392899844822449
Position 1108: 0.00010091556688626339
Position 64: 8.64890928830456e-05
Position 678: 7.126250536050107e-05
Position 1388: 5.201603027540705e-05
Position 8817: 3.6963803620340105e-05
Position 4249: 1.0284833953426906e-05
Position 3959: 8.071447801974065e-06
Position 6298: 3.329736414965352e-06
Position 636: 9.295805595002569e-07
Position 1501: 4.863286715621789e-07
Position 2276: 3.7693645647108907e-07
Position 3989: 2.1821051284970285e-07
Position 3578: 4.123093478579454e-08
Position 3684: 2.589568426385676e-08
Position 2851: 1.8473631233696306e-08
Position 772: 1.2568930965337517e-08
Position 94: 5.3580702693411346e-09
Position 32: 4.575575961262116e-09
Position 121: 4.338166187523825e-09
Position 91: 2.552032282321899e-09
Position 436: 6.556593354632385e-10
Position 278: 2.703675894904101e-10
Position 240: 2.2222860277714782e-10
Position 77: 1.962335565574482e-10
Position 525: 1.0894462062636184e-10
Position 86: 2.4582012044566277e-11
Position 493: 3.580214347122972e-13
Position 53: 8.990456952605042e-14
Position 476: 7.138766107309921e-14
Position 516: 1.1636152044793214e-16
Position 491: 6.258091591828211e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 29682: 0.8153955875318253
Position 19055: 0.8091732547326907
Position 19295: 0.7893384563856205
Position 23483: 0.5272955453392361
Position 1491: 0.2339005298407648
Position 19020: 0.18987621471067953
Position 24833: 0.06277548564648466
Position 26761: 0.036464683066801076
Position 21118: 0.02851404213613097
Position 21440: 0.011697934678099247
Position 22306: 0.008146521847301113
Position 20193: 0.006039123648364306
Position 23768: 0.003794434133405127
Position 23876: 0.0036476780632841445
Position 1535: 0.0028884281952232783
Position 20553: 0.0019033266811200895
Position 1242: 0.00163789575509944
Position 19422: 0.0015718877994738906
Position 1504: 0.001366958797903989
Position 1440: 0.0010570985352165627
Position 20896: 0.0009307296430275359
Position 1464: 0.0007976043168905658
Position 19707: 0.0007024736819350037
Position 1453: 0.0005632291873152395
Position 1289: 0.00048049720381578037
Position 19583: 0.0004312256788582099
Position 14524: 0.0001272286407448658
Position 504: 0.00010287193737341406
Position 491: 9.314827144017708e-05
Position 6179: 6.961596834400855e-05
Position 10586: 4.9670318116843804e-05
Position 7679: 4.8158123995984076e-05
Position 9302: 4.732095865528577e-05
Position 12371: 4.415493300190678e-05
Position 8724: 3.9964856071278494e-05
Position 9017: 3.9294346146458664e-05
Position 8913: 3.2832656944484015e-05
Position 10461: 3.1237410421396046e-05
Position 730: 2.578371861478454e-05
Position 3747: 2.5443451017962706e-05
Position 5065: 2.3507625650392304e-05
Position 9053: 1.6076268554659057e-05
Position 4041: 1.5828084060979143e-05
Position 2783: 1.5222508172260275e-05
Position 11886: 1.2689518446011958e-05
Position 5489: 1.1779682101345331e-05
Position 11533: 1.120882605961556e-05
Position 9555: 1.046429328618235e-05
Position 8531: 1.021283312370809e-05
Position 3833: 8.09839790409891e-06
Position 4107: 8.038430072747687e-06
Position 5336: 7.306633184406086e-06
Position 7357: 6.904354037753555e-06
Position 8492: 6.563011869550037e-06
Position 6129: 5.688014311943077e-06
Position 1035: 5.4725247118414706e-06
Position 3632: 5.265243591714257e-06
Position 4858: 4.597733944103685e-06
Position 3577: 4.1528955407766055e-06
Position 984: 3.958363492149526e-06
Position 2123: 3.8896983496253e-06
Position 3459: 3.201374555507141e-06
Position 8968: 2.9222692352956067e-06
Position 929: 2.844222136712557e-06
Position 4669: 2.8003225941976726e-06
Position 8861: 2.6724344510375678e-06
Position 2090: 2.634727763269866e-06
Position 1735: 2.3966754166801933e-06
Position 6612: 2.2495861205933323e-06
Position 5384: 2.1710820334846263e-06
Position 2919: 2.036539805722755e-06
Position 3245: 1.9854822776870884e-06
Position 1755: 1.9163267059102817e-06
Position 903: 1.9163033296216323e-06
Position 7626: 1.9116163683692544e-06
Position 5007: 1.864209667483552e-06
Position 598: 1.8430249576552261e-06
Position 1979: 1.753166095556457e-06
Position 906: 1.4506047479064126e-06
Position 3988: 1.3749139417177971e-06
Position 5073: 1.224021859304532e-06
Position 733: 1.2021607898447875e-06
Position 828: 1.1131922536944128e-06
Position 6559: 1.0027618189161343e-06
Position 3919: 9.114544843663243e-07
Position 6175: 8.093683029382562e-07
Position 807: 7.848910964701211e-07
Position 1000: 7.504924473156025e-07
Position 3764: 6.722104355753445e-07
Position 3684: 6.311404381709197e-07
Position 875: 5.951362943162723e-07
Position 1801: 5.290625453196209e-07
Position 450: 4.0614692769887936e-07
Position 2753: 3.943758742298889e-07
Position 1695: 3.7684021309479554e-07
Position 641: 3.425905124580518e-07
