Gene = APOA2
index = 90
Annotated 5SS: [ 34 279 711]
Annotated 3SS: [ 202  577 1105]
SMsplice 5SS: [127 279 487 711]
SMsplice 3SS: [ 202  361  577 1105]
top_k =  500
Partition function (log Z): -1.1355012171195222

Sorted 5' Splice Sites (High to Low Probability):
Position 711: 0.9681263120321447
Position 279: 0.9546168347119065
Position 487: 0.7723503083114438
Position 127: 0.6404933010510802
Position 34: 0.27204553086260114
Position 471: 0.06125151627020342
Position 475: 0.04579267843432856
Position 110: 0.020744324258688374
Position 283: 0.005113312201387868
Position 56: 0.003348589344986008
Position 679: 0.00137608623225355
Position 87: 0.0008851279921182694
Position 362: 0.0006343732017043397
Position 1016: 0.00040275147724478565
Position 947: 0.000295385336530516
Position 1170: 0.0001343651869224366
Position 534: 0.0001114969346250819
Position 730: 7.422041879519202e-05
Position 285: 6.654986832924979e-05
Position 54: 5.848931947602491e-05
Position 536: 5.2383681207482746e-05
Position 776: 4.507707039235712e-05
Position 322: 4.0171693701554714e-05
Position 1106: 3.9540167769772864e-05
Position 540: 3.459315033783182e-05
Position 538: 3.407721777846725e-05
Position 542: 3.051813102374672e-05
Position 544: 2.5323498510983566e-05
Position 316: 1.862592355470022e-05
Position 546: 1.660362360790006e-05
Position 248: 1.6256843433612023e-05
Position 548: 1.2267076096376865e-05
Position 554: 1.1996677898518488e-05
Position 550: 1.0971144639921624e-05
Position 552: 1.0822799172838953e-05
Position 556: 1.057194460476192e-05
Position 801: 9.684686421245213e-06
Position 558: 7.878968833552502e-06
Position 715: 6.868863866027062e-06
Position 924: 6.278610062227263e-06
Position 560: 5.305851628633e-06
Position 562: 3.462134888300216e-06
Position 1068: 2.9895089244629087e-06
Position 325: 1.9359336249102576e-06
Position 564: 1.9172324287549663e-06
Position 566: 1.3476416214432055e-06
Position 218: 3.474354195884436e-07
Position 90: 2.7534823046346226e-07
Position 170: 7.177029602290466e-08
Position 172: 1.4120552488761622e-08
Position 346: 1.2920484105640573e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 202: 0.8995844485548062
Position 361: 0.8875695289479749
Position 577: 0.8629078791328259
Position 1105: 0.704940941154159
Position 597: 0.09575125412252494
Position 969: 0.08220524383287003
Position 1253: 0.056822070742594405
Position 859: 0.0200286114220904
Position 915: 0.01834001197912647
Position 877: 0.017917973644994874
Position 1121: 0.015307202271336919
Position 1154: 0.012318459804516723
Position 941: 0.01229269217477547
Position 642: 0.0071268527793925986
Position 834: 0.006593357399855088
Position 170: 0.005385673878355596
Position 1048: 0.004660377084674522
Position 1151: 0.004589484715491886
Position 633: 0.003908784064246189
Position 1127: 0.0034696749796319882
Position 811: 0.0031341944498656784
Position 580: 0.0026310485622269724
Position 881: 0.0025643893758464
Position 1059: 0.0021001683318483985
Position 946: 0.0019968862098167506
Position 593: 0.001895153636896529
Position 1208: 0.001882607343177056
Position 1076: 0.0013468308878745393
Position 993: 0.0013279070856381582
Position 376: 0.0008884693300721031
Position 232: 0.0008426298524155892
Position 1066: 0.0007146403363022003
Position 408: 0.0006764495898394266
Position 270: 0.0005878155025394866
Position 1133: 0.00043583242964220786
Position 603: 0.0003146292799981586
Position 331: 0.00028216809840683044
Position 620: 0.00027141146515330584
Position 1264: 0.0002704604080425001
Position 1183: 0.0002670839099839826
Position 524: 0.00026224263572082303
Position 1286: 0.00024303454746308115
Position 922: 0.00022210191370734144
Position 816: 0.000216369808281755
Position 1130: 0.00020606945132546005
Position 798: 0.00015356611142459714
Position 1220: 0.00013369506295404023
Position 242: 0.00011495996671097228
Position 1280: 9.290486771972596e-05
Position 1020: 8.241761263286647e-05
Position 821: 7.653759057762228e-05
Position 413: 5.820918111191092e-05
Position 390: 4.643723139232598e-05
Position 126: 4.439390921218063e-05
Position 1232: 3.240971286322414e-05
Position 386: 2.7738619115147645e-05
Position 663: 2.5044152612778595e-05
Position 1225: 2.3852066767251844e-05
Position 606: 1.931667257407818e-05
Position 155: 1.926528078253171e-05
Position 1000: 1.785410872188182e-05
Position 461: 1.5032681629842333e-05
Position 787: 1.4752935849504708e-05
Position 678: 1.210693487199655e-05
Position 428: 1.0582500338551326e-05
Position 784: 1.0079840002406863e-05
Position 484: 9.485638803054241e-06
Position 842: 6.644531893475686e-06
Position 618: 6.179259939996245e-06
Position 123: 6.125760049896845e-06
Position 885: 5.926829310660994e-06
Position 883: 5.315682796353696e-06
Position 278: 1.8013179193682127e-06
Position 417: 1.6121364545016024e-06
Position 149: 1.5066182736517455e-06
Position 495: 1.036032693899378e-06
Position 684: 5.51290512802602e-07
Position 675: 3.1980364658342564e-07
Position 454: 1.8561553402349584e-07
Position 463: 1.7144374504423302e-07
Position 130: 1.4881977955153322e-07
Position 109: 1.3212928331559685e-07
Position 103: 9.621835374971853e-08
Position 308: 8.098186513426118e-08
Position 101: 6.980303464675777e-08
Position 105: 2.4810270704024803e-08
Position 97: 1.9045129491544973e-08
Position 134: 1.1690077892042712e-08
Position 705: 7.0275885157052544e-09
Position 146: 5.5494247352717575e-09
Position 295: 3.056848400333724e-12
Position 297: 2.5465977134336966e-12
Position 312: 4.145481047328843e-14
