Gene = TRMO
index = 1487
Annotated 5SS: [  153  6407  9170 12611]
Annotated 3SS: [ 6231  9011 11953 17577]
SMsplice 5SS: [ 153 6407 9170 9698]
SMsplice 3SS: [ 6231  9011  9594 17577]
top_k =  500
Partition function (log Z): -1.9196947782459954

Sorted 5' Splice Sites (High to Low Probability):
Position 153: 0.9330061024468258
Position 6407: 0.8913391234689018
Position 9170: 0.8180818284328099
Position 9698: 0.6200502552338196
Position 8063: 0.6037553254731551
Position 9933: 0.3866982544122792
Position 10770: 0.375120750234265
Position 8592: 0.27522483598739167
Position 764: 0.1836647178355426
Position 9163: 0.17347279429817147
Position 13299: 0.14876550871551855
Position 12395: 0.13850067068445812
Position 5618: 0.12353956204299114
Position 9823: 0.10929150821726343
Position 14107: 0.09674267460151628
Position 11297: 0.08188036427236933
Position 8586: 0.0733821872723441
Position 12691: 0.03455623356404135
Position 3740: 0.0322163496094657
Position 11653: 0.03105477745111574
Position 9327: 0.026750196225694297
Position 17663: 0.02046708680836293
Position 8581: 0.020441297968105104
Position 13370: 0.0198152024967449
Position 8661: 0.019802622888868058
Position 1617: 0.018999771143980954
Position 759: 0.018879603016445114
Position 13469: 0.018018133147916435
Position 17760: 0.015000007481150834
Position 7081: 0.013803945618340321
Position 9693: 0.01329947238914565
Position 3367: 0.012767622362214483
Position 13306: 0.012157320189305987
Position 4532: 0.011579769482184681
Position 10139: 0.009068028400312025
Position 3518: 0.007879328308836345
Position 10765: 0.007740484143288414
Position 2422: 0.0073683455877234585
Position 10849: 0.006641480145853614
Position 10059: 0.006153590610430223
Position 6614: 0.0060430124928288675
Position 309: 0.005901007943473747
Position 4966: 0.005505623362613034
Position 190: 0.005127807601997106
Position 254: 0.004834291338951656
Position 10460: 0.004556905149985154
Position 12611: 0.004537571500793267
Position 946: 0.003974142347924851
Position 52: 0.003566456314386014
Position 10210: 0.0035108641842430733
Position 2516: 0.0034408233548696245
Position 8730: 0.0030372463813560817
Position 1574: 0.002722346506023479
Position 3021: 0.0021487958068033292
Position 4690: 0.0019203971325009298
Position 997: 0.001550878725766186
Position 5531: 0.0015199301862529248
Position 914: 0.0014446434156910463
Position 8673: 0.0013861924011473485
Position 5626: 0.001377479751619729
