Gene = MPLKIP
index = 858
Annotated 5SS: [431]
Annotated 3SS: [1399]
SMsplice 5SS: [431]
SMsplice 3SS: [2654]
top_k =  500
Partition function (log Z): -11.89409311584837

Sorted 5' Splice Sites (High to Low Probability):
Position 431: 0.7685118736386262
Position 622: 0.3582439835156271
Position 4261: 0.06854019197731234
Position 4142: 0.06183089142444253
Position 223: 0.052210796421014255
Position 3959: 0.03859082844664833
Position 1992: 0.03596503451057174
Position 271: 0.022969642981440243
Position 150: 0.017267546504995884
Position 4164: 0.011590746494918586
Position 135: 0.011142061678213584
Position 481: 0.010556677300479583
Position 70: 0.009730255009063552
Position 2029: 0.009159745215578672
Position 322: 0.009149057281371487
Position 1744: 0.008625612664759443
Position 250: 0.008354452517516011
Position 156: 0.0076446977371731105
Position 49: 0.002870113766176927
Position 367: 0.002799073967234529
Position 529: 0.00256751628679057
Position 1024: 0.0021882550261520667
Position 3551: 0.0019876352783203114
Position 4309: 0.001271369369436446
Position 1716: 0.0011841852515947528
Position 1711: 0.0009160099296147484
Position 1523: 0.0005412328799316833
Position 141: 0.0005277100957915277
Position 2439: 0.00022669184599968041
Position 862: 0.0002036202731739333
Position 34: 0.00011387252793434915
Position 328: 3.8365000362891584e-05
Position 1660: 3.3227878286486276e-05
Position 1768: 2.7580035540443144e-05
Position 996: 2.5525468478765692e-05
Position 856: 2.427514177069751e-05
Position 831: 1.234238912457684e-05
Position 43: 6.358525484909409e-06
Position 262: 4.197095606310469e-06
Position 231: 2.9979554851111592e-06
Position 379: 2.185565582588859e-06
Position 449: 1.859217716216682e-06
Position 1317: 1.6834060155180682e-06
Position 884: 5.290278031220966e-07
Position 282: 4.917780128849456e-07
Position 16: 2.1913877160504757e-08
Position 334: 3.6238117972841426e-09
Position 672: 1.1062103432106595e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4397: 0.21566029303766476
Position 554: 0.21070193137231458
Position 1917: 0.15061933560220475
Position 7252: 0.1391410180145876
Position 2654: 0.1364710138459613
Position 1399: 0.07809082367230463
Position 3881: 0.04651315877432628
Position 528: 0.04216893324793603
Position 5746: 0.04184981399135231
Position 4203: 0.04158571552437354
Position 2828: 0.03706651031163873
Position 3978: 0.03584044949798888
Position 3836: 0.03546659701570193
Position 3958: 0.030889109156489198
Position 4756: 0.022898188002287694
Position 366: 0.020343588468276518
Position 2265: 0.018461000434252355
Position 4018: 0.018135957971490663
Position 4244: 0.01811656769187688
Position 6221: 0.015498669843572377
Position 3339: 0.01402432775189271
Position 1574: 0.012146839309526154
Position 7113: 0.011843288424190797
Position 541: 0.011003095200572223
Position 4938: 0.010787521981316068
Position 1743: 0.009468966801039428
Position 218: 0.009306581797270555
Position 7966: 0.006782369849964054
Position 1239: 0.006557121943043381
Position 6306: 0.0060419306033820536
Position 407: 0.0050805047044032905
Position 786: 0.005006642917997814
Position 6623: 0.004561536826756741
Position 716: 0.004555740215748157
Position 8527: 0.004374030402214775
Position 7248: 0.0037503283544984894
Position 1288: 0.003355437026446089
Position 3705: 0.003335879613823799
Position 267: 0.003119378349934647
Position 1337: 0.002897031280169141
Position 388: 0.002883318349176756
Position 475: 0.0026789325110420648
Position 1433: 0.0026276429483811556
Position 3846: 0.002400995237481259
Position 2028: 0.0022019483883818722
Position 6468: 0.0020469895960326077
Position 1686: 0.0018830294963097349
Position 3394: 0.0018102609285251495
Position 4440: 0.001756774339512556
Position 3409: 0.0016299187181179416
Position 2898: 0.0014623416412880166
Position 856: 0.00134941687335232
Position 1410: 0.0008699571738995778
Position 430: 0.0007926681412599943
Position 5153: 0.0007653572138948575
Position 574: 0.0007357371341398447
Position 385: 0.0006622475883618283
Position 4487: 0.0006532159689887845
Position 306: 0.0006293866994166092
Position 737: 0.00047014427982052626
Position 1790: 0.00043186470639513093
Position 597: 0.0003468721710904723
Position 2391: 0.00033752045583366797
Position 2487: 0.0003052888609242091
Position 1944: 0.0002942312791328618
Position 559: 0.0002408295213340415
Position 1517: 0.00023690453348089674
Position 1499: 0.00023076790464491713
Position 2631: 0.00022197713939225752
Position 2550: 0.00020328348100120977
Position 1759: 0.00016838527521543774
Position 1623: 0.00015301943560462475
Position 1816: 0.0001525962331965638
Position 1069: 0.00013723620659423813
Position 1370: 0.0001369087237464629
Position 679: 0.0001354838524848301
Position 412: 3.0156619063162922e-05
Position 1636: 1.3202700422399345e-05
Position 3420: 1.2121127080201732e-05
Position 282: 9.81220375828311e-06
Position 568: 9.094117207463817e-06
Position 415: 6.580536232433125e-06
Position 743: 3.837799087101939e-06
Position 418: 3.2038675477006674e-06
Position 579: 3.1239903016692017e-06
Position 609: 2.738050563371254e-06
Position 146: 1.7405972443357307e-06
Position 893: 1.3134252221142747e-06
Position 820: 1.2702676026034254e-06
Position 860: 1.1608177457552716e-06
Position 149: 1.088346999068254e-06
Position 97: 6.053094371121812e-07
Position 168: 4.406054228912103e-07
Position 231: 3.265393287627061e-07
Position 443: 2.8797944177595635e-07
Position 159: 1.0429303241802367e-07
Position 617: 6.271859757417306e-08
Position 165: 2.1522833633416892e-08
Position 279: 1.872345671485882e-08
Position 103: 1.4225556520518384e-08
Position 576: 1.173501334645058e-08
Position 447: 6.990627865998808e-09
