Gene = BTBD8
index = 147
Annotated 5SS: [  385  8560 22334 27666 49441 59095 60876 66933]
Annotated 3SS: [ 8361 22136 27547 49350 59013 60778 66843 67347]
SMsplice 5SS: [  385  8560  9079 22334 27666 38703 49441 59095 66933]
SMsplice 3SS: [ 8361  8954 22136 27547 38554 49350 59013 66843 67347]
top_k =  500
Partition function (log Z): -25.16774218519741

Sorted 5' Splice Sites (High to Low Probability):
Position 27666: 0.9093619882515019
Position 385: 0.8553786527352751
Position 8560: 0.7779590280089118
Position 9079: 0.6768622501506167
Position 22334: 0.5680234261461135
Position 22339: 0.4280557229402442
Position 7335: 0.34167649092286406
Position 8581: 0.20864527805167682
Position 9264: 0.19673884957532603
Position 25466: 0.11547932855097694
Position 11348: 0.09771739821146487
Position 12283: 0.09346667992328185
Position 135: 0.09307851166736618
Position 14143: 0.08875586587748835
Position 9270: 0.07743931090338219
Position 11691: 0.05431388618260167
Position 11075: 0.05210974355912586
Position 4292: 0.04706291658334379
Position 6904: 0.045382429159382634
Position 698: 0.04234907130842508
Position 22829: 0.034248071646680284
Position 4091: 0.033597121173797435
Position 190: 0.028783335069850903
Position 4596: 0.02588521595675949
Position 3248: 0.021689086225338588
Position 5043: 0.021311463762789654
Position 14531: 0.020024829833370335
Position 1200: 0.01948663171572453
Position 2608: 0.01834918868249723
Position 229: 0.010323668323348755
Position 713: 0.009613806470963044
Position 22773: 0.008131218519844323
Position 7955: 0.007705283676791891
Position 272: 0.00569925052252009
Position 300: 0.005654445668366364
Position 153: 0.005517629620425621
Position 7189: 0.004754790934228532
Position 6966: 0.0038416523977659327
Position 9008: 0.0031999735890145837
Position 3244: 0.002765453171993309
Position 200: 0.0010590150928946774
Position 11397: 0.0007239211641923563
Position 62: 0.0006130654584492754
Position 11127: 0.00039995981202217094
Position 980: 0.0003005268740411103
Position 11133: 0.0002991427835319715
Position 10797: 0.0002388489897449884
Position 1822: 0.00022992779831839392
Position 4159: 0.00019086343676635783
Position 3482: 0.00018441637447230285
