Gene = SLAMF1
index = 1261
Annotated 5SS: [  426 10105 12683 23200 27520 34808]
Annotated 3SS: [ 9765 12397 23109 27445 34714 36496]
SMsplice 5SS: [  426 12683 17883 27520 34808]
SMsplice 3SS: [12585 17749 27445 34714 36496]
top_k =  500
Partition function (log Z): -7.1228059911778

Sorted 5' Splice Sites (High to Low Probability):
Position 12683: 0.99994850498393
Position 34808: 0.9616898772337521
Position 17883: 0.9032720128603753
Position 426: 0.8752744630609577
Position 27520: 0.6867829543908403
Position 13091: 0.5409319761583112
Position 27943: 0.41851489946014314
Position 27630: 0.39467405712040765
Position 13561: 0.3368975728142294
Position 10105: 0.32915425517459707
Position 20990: 0.2896076833025924
Position 3076: 0.26210956991776935
Position 18703: 0.24920250734754654
Position 11130: 0.24780988854291744
Position 10040: 0.24019040387039323
Position 24934: 0.21879712897708375
Position 11318: 0.19662690905913424
Position 4274: 0.17200733646577457
Position 21095: 0.15367425393662035
Position 1273: 0.13071144817580396
Position 21265: 0.11188876237658725
Position 6281: 0.09581274164076438
Position 18411: 0.08633174414666622
Position 35814: 0.08474737996126956
Position 36835: 0.08207156792894688
Position 20247: 0.0771041298203192
Position 2436: 0.0769429213119884
Position 1282: 0.07245300404149149
Position 31720: 0.06132388526164545
Position 11047: 0.05853040717961246
Position 62: 0.05125622431809419
Position 7692: 0.05094244131670373
Position 35372: 0.04417734489267332
Position 12990: 0.04296790210268065
Position 17645: 0.03514478858812091
Position 504: 0.03374122374217671
Position 16870: 0.02646792157649156
Position 3060: 0.026245906526163605
Position 3068: 0.02280411245692628
Position 12981: 0.021276408424033905
Position 1710: 0.01872589518892171
Position 3161: 0.018008297805082705
Position 3607: 0.017031578393092394
Position 1705: 0.01694129879834365
Position 298: 0.014827759453188077
Position 2703: 0.013235191211627096
Position 1322: 0.011126019361813868
Position 13642: 0.010454135913616998
Position 36722: 0.008728543696289693
Position 13004: 0.008651432736094183
Position 17872: 0.008074463688042243
Position 36451: 0.007749388916710671
Position 3467: 0.007117663024170592
Position 34888: 0.006817901341220308
Position 1223: 0.006662185300104594
Position 516: 0.006482783031476732
Position 36681: 0.0061132500125275335
Position 23200: 0.006110898532836782
Position 23243: 0.005289074085428841
Position 4447: 0.00506059884357279
Position 3462: 0.004875495658818752
Position 16674: 0.0037522205090209314
Position 2447: 0.003637131611350889
Position 6261: 0.0026800666345753992
Position 217: 0.002616402817756954
Position 2803: 0.0025962796009922277
Position 1060: 0.00217229103638544
Position 4738: 0.001889320603045895
Position 1569: 0.0014372335387501961
Position 3807: 0.001332224399925069
Position 980: 0.0013151740907716572
Position 3563: 0.0012818802378872106
Position 5408: 0.0011600603068425217
Position 4147: 0.0009137651115305531
Position 1004: 0.0006844655912677254
Position 481: 0.00043231679472782443
Position 448: 0.00025380923313118506
Position 3885: 0.00021434685653381252
Position 552: 0.00014920428657088795
Position 142: 9.591076260252343e-05
Position 716: 6.679414382655478e-05
Position 703: 5.406614711537074e-05
Position 736: 2.880484495016462e-05
Position 966: 2.01958527888769e-05
Position 461: 1.7169034641665358e-05
Position 233: 1.4295207195438086e-05
Position 1028: 1.4249810751849703e-05
Position 528: 5.862046520686678e-06
Position 201: 4.4261274042771565e-06
Position 1315: 1.50946543080841e-06
