Gene = FYTTD1
index = 570
Annotated 5SS: [  325  6808 18838 20495 23750 24461 27252 28715]
Annotated 3SS: [ 6675 18688 20381 23652 24398 27176 28587 32060]
SMsplice 5SS: [  325  2595  6808 18838 20495 23750 24461 27252 28715]
SMsplice 3SS: [ 2517  6675 18688 20381 23652 24398 27176 28587 32060]
top_k =  500
Partition function (log Z): 5.293193297090448

Sorted 5' Splice Sites (High to Low Probability):
Position 18838: 0.999999999999999
Position 28715: 0.998272442386598
Position 6808: 0.9618627279776042
Position 2595: 0.8395284950604294
Position 27252: 0.8154580257331386
Position 23750: 0.8150908395390994
Position 20495: 0.8074517898398923
Position 24461: 0.6024788861202007
Position 14241: 0.5284860554232416
Position 23479: 0.5095770954218429
Position 325: 0.4839175694988804
Position 134: 0.386405890430668
Position 1927: 0.3804344076208912
Position 499: 0.37572519570073754
Position 32525: 0.3424803779519835
Position 1574: 0.2863222108674768
Position 27415: 0.2685559648741007
Position 32293: 0.24237306451000895
Position 1073: 0.2348615728529801
Position 3468: 0.16860411974075373
Position 27054: 0.15351325922393458
Position 16836: 0.13176470755092723
Position 7011: 0.1030302958216977
Position 7255: 0.1000019764559752
Position 3364: 0.09604445092179055
Position 1715: 0.09101789705228464
Position 32160: 0.07193751558472966
Position 32913: 0.05794277603251353
Position 2589: 0.05454821203492202
Position 1511: 0.05284553801717841
Position 18023: 0.05236776964851959
Position 28898: 0.04835418848524656
Position 8718: 0.045584484501203205
Position 29389: 0.043479340511922454
Position 29144: 0.04264326752473247
Position 242: 0.042230175056995264
Position 6821: 0.0378573727834461
Position 6085: 0.03478416423583089
Position 29359: 0.0334378324937493
Position 4421: 0.03260334355229031
Position 1545: 0.031585255833476475
Position 5401: 0.03019388057027933
Position 3108: 0.024983874984357717
Position 5425: 0.02313024483914099
Position 13889: 0.020102713135784715
Position 32774: 0.019634825666016507
Position 32551: 0.019002251983956712
Position 27082: 0.018816690485856886
Position 2093: 0.018324811039205278
Position 2720: 0.0180771654739828
Position 12210: 0.016240979570493575
Position 3771: 0.015934582558242014
Position 19032: 0.015105887550952895
Position 1589: 0.013730321526409968
Position 597: 0.012351335547531789
Position 27410: 0.011913871051925156
Position 30707: 0.010775764905891647
Position 14479: 0.010693198003597179
