Gene = GUCA2B
index = 633
Annotated 5SS: [ 120 1446]
Annotated 3SS: [1258 2113]
SMsplice 5SS: [ 120 1446]
SMsplice 3SS: [1258 1646]
top_k =  500
Partition function (log Z): -5.299158968679247

Sorted 5' Splice Sites (High to Low Probability):
Position 120: 0.9744697890781344
Position 1446: 0.7839748620961058
Position 376: 0.33025318157923583
Position 1175: 0.0334207713301901
Position 382: 0.018714924399178993
Position 1924: 0.01626292787586363
Position 1754: 0.015101048785012013
Position 477: 0.012045873458869786
Position 275: 0.009878099509161815
Position 519: 0.007134889020772094
Position 164: 0.006505269695467158
Position 805: 0.006472191468559447
Position 1221: 0.004878030742974002
Position 1608: 0.004728564174604656
Position 1731: 0.0035538779607017647
Position 896: 0.0035271774584922314
Position 104: 0.0024023308352025445
Position 1018: 0.0021924826160579676
Position 555: 0.0010573163881833728
Position 919: 0.0008812279804156762
Position 2079: 0.0006892584660690376
Position 2135: 0.0006416968986572394
Position 1557: 0.0006055251043382653
Position 461: 0.00033477062604780406
Position 937: 0.00027706562381319257
Position 1318: 0.00024659084517012235
Position 367: 0.00020823291526278077
Position 2085: 0.00020182356177925482
Position 481: 0.00016663904323949312
Position 1756: 0.0001500139302514772
Position 745: 9.578899785012867e-05
Position 279: 8.28644867566868e-05
Position 1274: 7.438039686754038e-05
Position 607: 4.77902940805567e-05
Position 188: 3.896519329518898e-06
Position 1853: 1.9960660940968013e-06
Position 124: 1.7236780109387645e-06
Position 186: 7.581842735071903e-07
Position 75: 5.468362691748479e-07
Position 456: 2.333188585371951e-07
Position 108: 1.3738862611487348e-07
Position 305: 2.9560171895425577e-08
Position 1191: 1.843598065070392e-08
Position 66: 1.2942049333600882e-08
Position 72: 1.0240455359723323e-08
Position 384: 9.36045091141589e-09
Position 361: 8.822487512537983e-09
Position 295: 7.776747912998822e-09
Position 138: 4.3096536019972315e-09
Position 636: 3.3202031278848053e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1646: 0.57533096206285
Position 1258: 0.3852764264415744
Position 254: 0.32730483472851213
Position 1342: 0.2081268465797586
Position 1390: 0.2043928209917144
Position 1587: 0.11304514449074841
Position 1998: 0.08702043312956473
Position 2113: 0.042496336740184056
Position 1075: 0.0307842984877768
Position 1052: 0.022888769832053475
Position 1220: 0.01844302124847578
Position 2238: 0.016630944989220697
Position 1109: 0.014267568154766857
Position 237: 0.014068489405169075
Position 356: 0.013732306629311995
Position 2069: 0.013456702901492451
Position 456: 0.011422441058496819
Position 1279: 0.010719568590749908
Position 480: 0.009568237243118526
Position 709: 0.0092910391088664
Position 1878: 0.009192251206863202
Position 1895: 0.008642849772600901
Position 1417: 0.008419080956981665
Position 1526: 0.007981133316881788
Position 2263: 0.006561941860140571
Position 2045: 0.006204920795961827
Position 288: 0.005640935071980066
Position 1533: 0.005628022382693621
Position 1656: 0.005262695028835239
Position 2014: 0.003909375550439335
Position 259: 0.003346975801125426
Position 2222: 0.00315543770067063
Position 848: 0.0029521588555973554
Position 2302: 0.002573696268715521
Position 1122: 0.0025006471686917302
Position 1468: 0.002469651779883064
Position 1202: 0.00238380008743102
Position 2180: 0.0017592378655299627
Position 1728: 0.0015893802225625674
Position 1950: 0.0015600413630753698
Position 1616: 0.0014418099089483975
Position 1674: 0.0013581725492913688
Position 1265: 0.0013101886255426345
Position 1694: 0.0012809780175561847
Position 1497: 0.0012333493508205648
Position 305: 0.0012133787315095005
Position 1662: 0.0012002439006608633
Position 202: 0.0011960972340601152
Position 373: 0.0011536922621523146
Position 1144: 0.0011524515387961519
Position 943: 0.001063892312885841
Position 1980: 0.0010553222470584584
Position 653: 0.0010355352354189436
Position 1348: 0.0008675902182704906
Position 339: 0.0007872527504009426
Position 292: 0.0007172562874528431
Position 2042: 0.000678381221456494
Position 589: 0.0005895822552577963
Position 642: 0.00044415093846671643
Position 732: 0.0003627046047522749
Position 261: 0.00025827422268858064
Position 1399: 0.00020376682141135156
Position 1612: 0.00012015617953868067
Position 1318: 0.00011803151195155699
Position 2204: 0.00010157492165859154
Position 905: 9.11462003253041e-05
Position 1297: 8.467557972506728e-05
Position 860: 7.059750972724673e-05
Position 1033: 2.991410659579818e-05
Position 1173: 2.827119169533746e-05
Position 267: 1.6208983053545574e-05
Position 737: 1.3637716048903883e-05
Position 798: 2.7131075846746045e-06
Position 204: 1.5749028815235489e-06
Position 900: 1.5380970032350584e-06
Position 218: 4.2176400388584326e-07
Position 271: 2.0308003436235215e-07
Position 805: 1.757500784447819e-07
Position 395: 7.252700583210324e-08
Position 417: 6.867884408666457e-08
Position 375: 5.54849924082606e-08
Position 414: 4.85972412183499e-08
Position 392: 3.056445899085403e-08
Position 422: 1.299930687716584e-08
Position 486: 9.673907745353242e-09
Position 380: 8.048557756793458e-09
Position 688: 7.985535639854403e-09
Position 175: 6.8214670445275264e-09
Position 516: 4.650073767713753e-09
Position 494: 3.998867087661594e-09
Position 184: 1.5533650949501596e-09
Position 676: 1.0182948585588207e-09
Position 519: 7.662019519446717e-10
Position 182: 2.2304225169134603e-10
Position 154: 5.727599099877163e-11
Position 489: 3.802960342347322e-11
Position 170: 2.0545182259203966e-11
Position 136: 4.581562391204922e-15
