Gene = ESM1
index = 511
Annotated 5SS: [ 447 3667]
Annotated 3SS: [3516 6227]
SMsplice 5SS: [ 447 3667]
SMsplice 3SS: [3516 6227]
top_k =  500
Partition function (log Z): -6.4878224202609225

Sorted 5' Splice Sites (High to Low Probability):
Position 3667: 0.960705472019488
Position 447: 0.48259815646711185
Position 249: 0.4363966510988599
Position 3010: 0.32548504265452943
Position 5505: 0.23199872223597565
Position 756: 0.11162397868684856
Position 2660: 0.06855322788085128
Position 512: 0.04786254574319092
Position 2158: 0.04069696173548255
Position 3038: 0.023967350002443034
Position 2812: 0.02251738626741185
Position 5806: 0.022275757924071053
Position 313: 0.018249751870748968
Position 813: 0.017608523904290532
Position 6017: 0.01694065764645873
Position 6521: 0.01636167753645927
Position 581: 0.01482135911955095
Position 2609: 0.014776804793017302
Position 6666: 0.013098697816934058
Position 2664: 0.012468978938375966
Position 3421: 0.011838878615394378
Position 2525: 0.011484590995797277
Position 3738: 0.010184673935489708
Position 953: 0.0073251174568045516
Position 3799: 0.006260176142598596
Position 1375: 0.004005635299804386
Position 4478: 0.0038233383955951316
Position 391: 0.0033379568925728897
Position 1189: 0.0027161815686875283
Position 5800: 0.0024103837969838547
Position 536: 0.0021952250088778935
Position 1370: 0.002173035719403546
Position 6478: 0.002071379071204079
Position 2529: 0.00195565610943008
Position 435: 0.0017825602309834983
Position 2444: 0.001529402124218004
Position 2292: 0.0014760495910226881
Position 5536: 0.0011611868117171558
Position 4198: 0.0011428293333325872
Position 5517: 0.0011305815236888675
Position 2777: 0.0010970901601132543
Position 5914: 0.0010484171913259506
Position 3683: 0.0010072799652574575
Position 311: 0.0009729009383347116
Position 3864: 0.0008757019123809357
Position 3630: 0.000828747126458173
Position 1192: 0.0006665804562744501
Position 6027: 0.0006648152966784962
Position 5714: 0.0006517233708189416
Position 5056: 0.0006098400511863639
Position 779: 0.0005252744752189493
Position 5116: 0.000519183076265655
Position 1163: 0.0005139021425037923
Position 1131: 0.000501411946315431
Position 1167: 0.0004170254825569646
Position 3261: 0.0003645762965043347
Position 4061: 0.00022920379283089396
Position 194: 0.00011443848031060634
Position 423: 0.00011423487770115902
Position 6316: 6.190328291366551e-05
Position 554: 5.627004798542027e-05
Position 517: 5.1428893637404144e-05
Position 221: 3.790283213208396e-05
Position 593: 3.316763418666665e-05
Position 56: 3.311680101273263e-05
Position 373: 2.6411162212799977e-05
Position 4160: 2.128380607228229e-05
Position 1119: 1.1693045079155147e-05
Position 393: 1.1362401472614724e-05
Position 5477: 8.37960699825619e-06
Position 37: 4.007677257852807e-06
Position 5131: 3.5016374620502115e-06
Position 454: 3.0216310281326825e-06
Position 4147: 2.385419962112628e-06
Position 375: 2.2452428605169516e-06
Position 240: 2.0662018755249283e-06
Position 253: 2.009981428368761e-06
Position 1115: 1.840561379743856e-06
Position 297: 1.4790643555739143e-06
Position 350: 1.174625829719749e-06
Position 430: 1.1392838113231584e-06
Position 284: 6.818887715720279e-07
Position 617: 4.1516343400383217e-07
Position 1039: 3.4158949447547966e-07
Position 1224: 3.4101741135528463e-07
Position 1142: 3.065704798217767e-07
Position 763: 1.3075399141917072e-07
Position 179: 1.0546501556185734e-07
Position 78: 8.824753626741973e-08
Position 54: 3.6915162715627315e-08
Position 5079: 2.4312384369612008e-08
Position 35: 1.5315752977704124e-08
Position 155: 9.70867253267986e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3516: 0.9608867411633604
Position 6227: 0.7914706134487972
Position 2759: 0.29880032098309134
Position 5447: 0.130408290174986
Position 682: 0.09938196272346554
Position 2379: 0.06601517925550167
Position 2865: 0.047532671026160385
Position 4277: 0.03417828918245589
Position 3791: 0.032230856908056764
Position 323: 0.02915605597117698
Position 5416: 0.028556003353997078
Position 1998: 0.026483415752521448
Position 6606: 0.025567448491926267
Position 5602: 0.025227984110038744
Position 5477: 0.021914977643458556
Position 5712: 0.02163598973196129
Position 3406: 0.021246064488690954
Position 5054: 0.01966456612157314
Position 5333: 0.01950748027883139
Position 6792: 0.01845962501066088
Position 2339: 0.018295528237087057
Position 5773: 0.01816957515516096
Position 6191: 0.01630798931766532
Position 6848: 0.012408691219842697
Position 2659: 0.01088758735056586
Position 5320: 0.010657310076742182
Position 5282: 0.010217801305223068
Position 2046: 0.010077793060492146
Position 5373: 0.009811307108747346
Position 4959: 0.009504067422360464
Position 2922: 0.008382515148185228
Position 2529: 0.006919062231821892
Position 2113: 0.006916091588931006
Position 2880: 0.006505308997614641
Position 2418: 0.0064196287984786184
Position 7756: 0.005954009404016494
Position 6626: 0.005218778370102398
Position 350: 0.0051573496767867745
Position 5800: 0.005128485267783388
Position 1038: 0.005067919372484817
Position 4019: 0.004736496574152674
Position 1263: 0.0046652134667408175
Position 3914: 0.0043207257704425735
Position 4348: 0.004146228484474973
Position 580: 0.0038683238407471905
Position 2443: 0.003725697365257808
Position 3221: 0.0035303198352992005
Position 7676: 0.0033967004549330664
Position 6576: 0.003221703161444086
Position 3186: 0.002892520148631194
Position 5072: 0.002870600363481364
Position 2608: 0.00260555450993946
Position 5252: 0.0025099670019331174
Position 2403: 0.0024126722446219623
Position 2964: 0.0021025664891938917
Position 3995: 0.001874737731735176
Position 5676: 0.0018356479657067066
Position 1302: 0.0018304427979961707
Position 847: 0.0016596911294668479
Position 4050: 0.0016449078051668444
Position 3486: 0.0015424762095669602
Position 640: 0.0015221831633947783
Position 2184: 0.0014602218169741416
Position 7284: 0.0013031014554325297
Position 5212: 0.0012824514085268254
Position 7583: 0.001258546553997721
Position 596: 0.0011588554333577179
Position 7101: 0.0011450348750228407
Position 6553: 0.0011121388372149995
Position 534: 0.0010730936229911437
Position 5856: 0.0010687693713331337
Position 5230: 0.0010573341181653313
Position 3630: 0.001015482024513138
Position 5957: 0.0007932944156098683
Position 5194: 0.0007199702441021728
Position 880: 0.0007153857761262171
Position 356: 0.0006391219589899815
Position 2699: 0.0006349929985124861
Position 801: 0.0006057320920200794
Position 3843: 0.0005924608140178176
Position 2389: 0.0005344248534853955
Position 3649: 0.0004885988610642249
Position 4255: 0.000401406132061466
Position 2207: 0.0003357101479533603
Position 4795: 0.0003267973415408365
Position 3887: 0.0003196326960611822
Position 4823: 0.0002589521728487864
Position 3745: 0.00021508612450949036
Position 685: 0.00019113323389909789
Position 797: 0.00018475529182246915
Position 854: 0.00015205465508663597
Position 2259: 0.0001501259789316839
Position 823: 0.00013196171729904185
Position 1704: 0.00010063631262956671
Position 744: 9.386021431242447e-05
Position 446: 6.095003698789506e-05
Position 1515: 5.405067266631195e-05
Position 5182: 4.202432884011634e-05
Position 598: 3.963184537801953e-05
Position 311: 3.085625637541049e-05
Position 569: 2.674194638709132e-05
Position 412: 1.5830011117497838e-05
Position 428: 1.1048302362462018e-05
Position 633: 8.92069161828053e-06
Position 1326: 8.813244870660871e-06
Position 390: 6.877422547609691e-06
Position 889: 6.386693783186264e-06
Position 397: 4.939385825630933e-06
Position 540: 4.071739320330571e-06
Position 373: 3.713149472496901e-06
Position 246: 3.2879800432369226e-06
Position 430: 2.803689933188142e-06
Position 452: 2.1620282879859197e-06
Position 490: 1.954246085392609e-06
Position 249: 1.5773313672326618e-06
Position 101: 1.5022692000983806e-06
Position 993: 1.303151441799871e-06
Position 503: 1.1284888684979285e-06
Position 536: 9.978163922246037e-07
Position 499: 9.845694805773426e-07
Position 1061: 8.31276136813595e-07
