Gene = COA6
index = 390
Annotated 5SS: [211 922]
Annotated 3SS: [  761 10254]
SMsplice 5SS: [ 211  922 4142]
SMsplice 3SS: [  716  4049 10254]
top_k =  500
Partition function (log Z): -6.5026190216826425

Sorted 5' Splice Sites (High to Low Probability):
Position 4142: 0.8529863813370677
Position 922: 0.8132045694160709
Position 3050: 0.401518123385405
Position 211: 0.35162925859559946
Position 41: 0.34601194804365737
Position 142: 0.18802692786892167
Position 8281: 0.06916361951647625
Position 7458: 0.06405562540842386
Position 3326: 0.059287627311317634
Position 808: 0.05061005701225756
Position 233: 0.046131494340552984
Position 7517: 0.02949883245128843
Position 4436: 0.01883421394566712
Position 195: 0.01617765911924476
Position 1310: 0.015164865803831461
Position 227: 0.015148464732178258
Position 978: 0.014837329443472777
Position 9776: 0.013833285233808971
Position 9747: 0.013579148220635811
Position 373: 0.008234228232433449
Position 7319: 0.007103134235488883
Position 542: 0.007067904871747945
Position 918: 0.007047497720616013
Position 8165: 0.006917292841786483
Position 1466: 0.006623749392510702
Position 3530: 0.006450147929105565
Position 9953: 0.006367826286706022
Position 1350: 0.006198291373605468
Position 2861: 0.004436470880009553
Position 1470: 0.004319516917052185
Position 1059: 0.004002730041546086
Position 1159: 0.0037549762429176627
Position 8669: 0.003051750669656293
Position 382: 0.002959007984844959
Position 831: 0.0029470555650631335
Position 882: 0.0028923158344219407
Position 5715: 0.002884702127460296
Position 264: 0.002810669081027438
Position 6821: 0.002678097644020154
Position 1881: 0.002015929524371538
Position 422: 0.0019043268937395834
Position 6902: 0.0018988395152832352
Position 7327: 0.0015726200810549866
Position 6947: 0.0015664073461838265
Position 4155: 0.0015568741063393464
Position 8230: 0.0014793526877785938
Position 1414: 0.0014112373471685897
Position 9771: 0.0013989140785355652
Position 5871: 0.0013389506812246416
Position 2469: 0.0012558970648724875
Position 6540: 0.001110752321484937
Position 67: 0.0010254036907369538
Position 5965: 0.0010049243931593477
Position 161: 0.0007158641677876694
Position 333: 0.0006066741798056156
Position 1189: 0.0003869055985749472
Position 596: 0.0002840999031777146
Position 31: 0.00028022861908270685
Position 390: 0.00021888353753241757
Position 564: 0.00019870796648115268
Position 146: 0.00012988634251424384
Position 289: 7.388173328052696e-05
Position 628: 7.26875893959199e-05
Position 540: 3.935681679146535e-05
Position 244: 2.76440879409435e-05
Position 24: 2.1404740079605665e-05
Position 15: 1.589901479573942e-05
Position 155: 7.535418370048631e-06
Position 171: 3.151978467147477e-06
Position 772: 2.553082547042734e-06
Position 842: 1.776469410500915e-06
Position 985: 1.6714997965025623e-06
Position 905: 9.337155130483959e-07
Position 310: 2.179539923859052e-07
