Gene = EIF2B5
index = 491
Annotated 5SS: [ 317 1473 2542 2812 2983 4894 5467 6807 7115 7340 7623 7879 8302 8961
 9444]
Annotated 3SS: [1347 2355 2633 2901 4815 5153 6660 6972 7237 7514 7787 8177 8834 9332
 9619]
SMsplice 5SS: [ 317 1473 2542 2812 2983 4894 5352 6807 7115 7340 7623 7879 8961 9444]
SMsplice 3SS: [1347 2355 2633 2901 4815 5153 6602 6972 7220 7514 7787 8834 9332 9619]
top_k =  500
Partition function (log Z): 26.86641068869839

Sorted 5' Splice Sites (High to Low Probability):
Position 7623: 0.983750562771455
Position 7340: 0.966797904104212
Position 2983: 0.9652942679589445
Position 9444: 0.9284591044949769
Position 4894: 0.8912943782413972
Position 8961: 0.8306975867835221
Position 317: 0.808279108582801
Position 5352: 0.7960435485256412
Position 6807: 0.7542438588889689
Position 7879: 0.742496780149081
Position 2267: 0.6871143051400896
Position 7115: 0.6849899900166865
Position 2812: 0.5510425128427175
Position 1473: 0.5204592055365984
Position 2542: 0.4990723441029464
Position 2465: 0.4542709333573293
Position 8178: 0.3441419976576444
Position 158: 0.33415957187911344
Position 7131: 0.28343242073869024
Position 2731: 0.17330299950432973
Position 7938: 0.16372782123443855
Position 8215: 0.1408033767438268
Position 2125: 0.1066759032596569
Position 8302: 0.08568238015444993
Position 4958: 0.07553805063214317
Position 5889: 0.07395354311048237
Position 5467: 0.06849133672833806
Position 8337: 0.06493516269960772
Position 6513: 0.06209521162391386
Position 7924: 0.06170044858512052
Position 6246: 0.06093323350483781
Position 1588: 0.04782533837431489
Position 8613: 0.04532053436137118
Position 5477: 0.043356575635310396
Position 9010: 0.036683455900410444
Position 839: 0.036557598707196014
Position 1624: 0.03539454770764697
Position 9492: 0.02984942143274338
Position 9124: 0.02787764377652832
Position 3849: 0.02553925992814512
Position 150: 0.025487442799674763
Position 8784: 0.024026938240225056
Position 485: 0.02233552280375351
Position 6004: 0.021843265832915765
Position 688: 0.020804454000749373
Position 109: 0.017147734125079795
Position 2728: 0.016662114255679285
Position 8944: 0.015523111962141263
Position 9742: 0.015075668811998372
Position 7117: 0.01456326872108419
Position 867: 0.014318134926903276
Position 8530: 0.010715527971220466
Position 2761: 0.010004785427748571
Position 2786: 0.009952480161435438
Position 7102: 0.008246928178835083
Position 2488: 0.007775594271533224
Position 8206: 0.006885788919056348
Position 4523: 0.00647574668551622
Position 871: 0.005897117613832554
Position 1412: 0.004713565011025661
Position 7554: 0.004305036922965383
Position 3033: 0.004173668349198545
Position 8603: 0.004167355944546564
Position 957: 0.003915287177476692
Position 6661: 0.003797660691216745
Position 8383: 0.00375552465980386
Position 4945: 0.003626103704015583
Position 1552: 0.00281779589815977
Position 7711: 0.0026698350163833866
Position 3029: 0.0024553988103048034
Position 653: 0.002351707280626685
Position 4874: 0.0023372414478553868
Position 5053: 0.002147536696350368
Position 2829: 0.0021163908561576752
Position 9517: 0.0020441812644424804
Position 2935: 0.0017025452324226995
Position 7563: 0.0016885018591918882
Position 2747: 0.0016468665058576356
Position 2284: 0.001569437733008011
Position 512: 0.0015345128113677248
Position 7062: 0.0014186578763423162
