Gene = PTAR1
index = 1095
Annotated 5SS: [   90  9162 18151 25793 27804 36617 41293]
Annotated 3SS: [ 8991 18083 25687 27589 36311 41257 41373]
SMsplice 5SS: [   90 18151 21820 25793]
SMsplice 3SS: [18083 21730 25687 41257]
top_k =  500
Partition function (log Z): -25.615893436131866

Sorted 5' Splice Sites (High to Low Probability):
Position 90: 0.9470363133926819
Position 8861: 0.15652903342806979
Position 9162: 0.1277577099586167
Position 4444: 0.11071114386825365
Position 445: 0.10504436190899483
Position 505: 0.10277765016826348
Position 419: 0.08777002577692858
Position 6173: 0.07587045576007932
Position 391: 0.039940044039665716
Position 1539: 0.03183077772279914
Position 451: 0.0317183081478871
Position 1238: 0.023618884825258205
Position 441: 0.022733921835667747
Position 4223: 0.020078074943349917
Position 6340: 0.017690929224459515
Position 2385: 0.012268423856317538
Position 4800: 0.011860632552375548
Position 561: 0.011083957846344347
Position 3583: 0.00844698887794937
Position 4616: 0.005793203326079635
Position 6415: 0.0040032311973841736
Position 5869: 0.003488051794212555
Position 643: 0.00330622123858756
Position 1441: 0.002506222346334384
Position 6125: 0.001032758397237375
Position 4549: 0.0008809305572258633
Position 1255: 0.000793389853862605
Position 304: 0.000790593010638055
Position 2422: 0.0007387804301702212
Position 25: 0.0005417052573705963
Position 31: 0.00026972648606459284
Position 4723: 0.0002105098635476481
Position 4711: 0.00018912273455145195
Position 2081: 0.00010238020829922244
Position 120: 9.553679562384295e-05
Position 186: 9.48358464328742e-05
Position 37: 8.929805137026455e-05
Position 460: 8.185436950865125e-05
Position 5326: 7.506915357978411e-05
Position 395: 5.927759454101964e-05
Position 289: 4.5985500944490555e-05
Position 227: 4.466028048450954e-05
Position 46: 4.133774860018296e-05
Position 94: 3.830306096615927e-05
Position 294: 2.20869540897008e-05
Position 564: 8.840113928345216e-06
Position 152: 7.166233263831057e-06
Position 843: 3.788538209135499e-06
Position 952: 3.2310514099015472e-06
Position 49: 2.5055276544245305e-06
Position 546: 2.134208619431244e-06
Position 243: 2.104132934453938e-06
Position 820: 1.9817606779369665e-06
Position 123: 6.819289980131663e-07
Position 1602: 1.1957424561471367e-07
Position 225: 8.925044193870607e-08
Position 340: 7.535659316750893e-08
Position 1207: 4.3672088119572594e-08
Position 449: 6.085533582353088e-09
Position 240: 3.5034084726030503e-10
Position 364: 6.1129371022375506e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 6080: 0.3567408236465255
Position 361: 0.2985054294520742
Position 7195: 0.14870428023074295
Position 13030: 0.13592178593404525
Position 4400: 0.12537684088162382
Position 6051: 0.11251777954478048
Position 9023: 0.10852348715314392
Position 8686: 0.10151487830272571
Position 13473: 0.0619889347483079
Position 8656: 0.05913998667254597
Position 418: 0.05426141580526847
Position 1132: 0.03935658113913714
Position 1237: 0.033450396692976836
Position 6454: 0.03281041043002087
Position 9132: 0.026314209725781905
Position 7322: 0.02578558895348517
Position 11733: 0.02184015973351037
Position 209: 0.017370604887468402
Position 11268: 0.01727675506841067
Position 1686: 0.01374732483649187
Position 8185: 0.013071183629149254
Position 4123: 0.01188078465557296
Position 9930: 0.011344163153809601
Position 10289: 0.010136688434873885
Position 4698: 0.009913047610192122
Position 8076: 0.0072861923944167635
Position 4440: 0.006810206789046885
Position 5022: 0.006551493955622337
Position 2288: 0.006047069102061254
Position 1441: 0.005913150560965162
Position 6222: 0.005871493186855571
Position 2350: 0.005825575643124206
Position 1682: 0.005511567956853953
Position 4104: 0.005312059747386423
Position 3482: 0.005244909549971442
Position 2189: 0.005109934334420312
Position 642: 0.004908574976139353
Position 1160: 0.004171999690995932
Position 3455: 0.0037425595724053825
Position 7618: 0.0036449432946731117
Position 2139: 0.0034627565446629692
Position 5913: 0.0032708284167149116
Position 1370: 0.0029880254467124557
Position 6883: 0.0028190971043049063
Position 4333: 0.002734506122916742
Position 4937: 0.0024400138701634122
Position 4162: 0.0022572526563483957
Position 1499: 0.002249200303926946
Position 5750: 0.0018902121128707933
Position 587: 0.0017878640250778418
Position 5586: 0.0016523244002667322
Position 5698: 0.0015978396813417619
Position 394: 0.001508978654191739
Position 4443: 0.0012029206504059796
Position 7256: 0.0011466449974715642
Position 2246: 0.0010265228447938464
Position 1177: 0.0010208024647728497
Position 1745: 0.0007993453146575417
Position 4195: 0.00075030115723757
Position 1519: 0.0006675963705713339
Position 2045: 0.000480141844226699
Position 843: 0.00046151838751600513
Position 726: 0.00046070339232902915
Position 200: 0.00032773800367676814
Position 220: 0.0002867930741707353
Position 2859: 0.0002101651651282646
Position 1969: 0.0002044370744220784
Position 364: 0.00017550956594119567
Position 2779: 0.00014286804537063793
Position 2421: 0.0001355964505089192
Position 2006: 0.00011146840523923141
Position 808: 0.00010047840598491643
Position 216: 7.419155037580401e-05
Position 1195: 6.17985441693568e-05
Position 1450: 6.083905042829108e-05
Position 1418: 4.3584739836492086e-05
Position 182: 3.418010034397952e-05
Position 546: 9.287784719817601e-06
Position 1255: 6.81052005005466e-06
Position 213: 5.806102557450108e-06
Position 1084: 5.618894746925183e-06
Position 1988: 4.098047434470191e-06
Position 301: 2.734409772373671e-06
Position 1471: 2.48250907124897e-06
Position 379: 2.29668746357384e-06
Position 560: 2.1765695123222304e-06
Position 477: 1.5803678906838789e-06
Position 1048: 7.404715062066037e-07
Position 612: 4.788813544508523e-07
Position 381: 3.8704372551130187e-07
Position 222: 3.869519489355019e-07
Position 1006: 1.8383336519825916e-07
Position 304: 5.8144527739422686e-08
Position 294: 1.719687811219868e-08
Position 499: 1.1239510928397817e-08
Position 531: 3.0601773046935308e-09
Position 118: 2.2498184365489546e-09
