Gene = LEAP2
index = 776
Annotated 5SS: [1430 1768]
Annotated 3SS: [1627 2087]
SMsplice 5SS: [ 246 1430]
SMsplice 3SS: [1347 2087]
top_k =  500
Partition function (log Z): -5.565625812457224

Sorted 5' Splice Sites (High to Low Probability):
Position 1430: 0.9563225638217563
Position 246: 0.7741971985246281
Position 1768: 0.38619797018627805
Position 120: 0.154118328065974
Position 1223: 0.0547739280236004
Position 1652: 0.04124910632722124
Position 1199: 0.03871274719959287
Position 509: 0.019924452528189134
Position 2220: 0.014534225449274336
Position 264: 0.012551795213066355
Position 195: 0.012067148919119492
Position 1576: 0.011772273972567858
Position 2258: 0.011292035287873276
Position 59: 0.0065366111307446125
Position 1749: 0.0051162284794538816
Position 322: 0.0021889421353029344
Position 1177: 0.002106661677542636
Position 1792: 0.0016855848453131777
Position 1941: 0.0009331625680979474
Position 1115: 0.0008948003024215518
Position 1945: 0.000784972112931484
Position 810: 0.0006863714722207615
Position 179: 0.0005532230655210916
Position 797: 0.0004641233488733787
Position 411: 0.0003585023365959891
Position 1452: 0.0002021704121719119
Position 1703: 0.00017708140142603222
Position 257: 0.00012942568676087098
Position 1454: 8.994923689999654e-05
Position 861: 8.874052366614739e-05
Position 1456: 8.403067977885577e-05
Position 2233: 8.389272624831768e-05
Position 218: 8.345020547986504e-05
Position 1917: 7.286512630850528e-05
Position 2273: 6.29496101745458e-05
Position 822: 5.350405085722926e-05
Position 663: 4.2964301617130256e-05
Position 1656: 3.7461489876704156e-05
Position 1961: 3.134975067576041e-05
Position 1160: 2.6409718798116833e-05
Position 18: 1.9144425023049543e-05
Position 453: 1.80750273846857e-05
Position 30: 5.866178540481649e-06
Position 1420: 3.2182545276893324e-06
Position 27: 5.812309307190451e-07
Position 103: 3.8627338629619305e-07
Position 349: 2.116589164619366e-07
Position 150: 1.867002381421483e-07
Position 1747: 1.1065162415889577e-07
Position 340: 8.988954089352762e-08
Position 1521: 6.928906788158976e-08
Position 1458: 6.04817236234961e-08
Position 1482: 5.382242962594336e-08
Position 153: 2.5145025229822686e-08
Position 124: 1.6316756536123176e-08
Position 292: 7.558953284779103e-09
Position 298: 2.126895879749414e-09
Position 289: 2.0502229252101437e-09
Position 168: 2.6869073573364566e-10
Position 606: 1.277645585700576e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1347: 0.9141893722301433
Position 2087: 0.8181913289219229
Position 1627: 0.5127830002977243
Position 1088: 0.05361569056947804
Position 1286: 0.027681317036684208
Position 2382: 0.021175032722394307
Position 1536: 0.018464910307072323
Position 1543: 0.017318146562209428
Position 2290: 0.014794180859296943
Position 949: 0.013451605157435802
Position 1979: 0.013125861702494029
Position 2333: 0.011144837420519959
Position 2576: 0.006677476350802378
Position 458: 0.0057550369875851055
Position 147: 0.005400843755283405
Position 1502: 0.0051885324457728345
Position 1372: 0.004455684502466656
Position 1649: 0.0037510443420046245
Position 1093: 0.003583288972867688
Position 1631: 0.0029359379142184956
Position 2385: 0.0027247798119418294
Position 2108: 0.002563341537502604
Position 1914: 0.002546255524009996
Position 435: 0.002254213459930797
Position 2251: 0.0019935081403935667
Position 321: 0.0019135878125163329
Position 2093: 0.0017193021998070355
Position 1036: 0.0015758815584930711
Position 1498: 0.0014703460199782879
Position 2136: 0.0012725115752366361
Position 1397: 0.0012286081998978853
Position 1226: 0.001198195551241768
Position 1652: 0.0010648983945051498
Position 2050: 0.0010498050568413994
Position 2436: 0.0009767831020540427
Position 184: 0.0009543077780059683
Position 2484: 0.0009090675273911342
Position 777: 0.0008520815319498083
Position 2118: 0.0007755992343746267
Position 635: 0.0007599602465250367
Position 1320: 0.0005814740674266287
Position 1790: 0.0005783173031304508
Position 362: 0.0005500116544120662
Position 930: 0.0005304036367969517
Position 2528: 0.0005153650928321983
Position 797: 0.0003859101945552533
Position 1429: 0.0003758972063157387
Position 1575: 0.0003342783578336194
Position 1327: 0.00030519158884030736
Position 983: 0.000302075586063599
Position 889: 0.00028403917863838033
Position 1130: 0.00028167212706135103
Position 305: 0.00023916044471304854
Position 1713: 0.00021576045444888944
Position 371: 0.0002002948572791127
Position 2255: 0.00016556253554107713
Position 539: 0.000160226446949309
Position 1324: 0.00016014179188180631
Position 864: 0.0001353424941928564
Position 1586: 0.00013430839246673465
Position 1142: 0.00010424840088440061
Position 2510: 9.664721558963821e-05
Position 1298: 9.44333040821322e-05
Position 1999: 8.9609835405517e-05
Position 223: 8.105374484038148e-05
Position 954: 6.97213081748282e-05
Position 1860: 6.957419324837697e-05
Position 1880: 6.826281950702709e-05
Position 1198: 6.75594443526144e-05
Position 1310: 6.724650668039145e-05
Position 2489: 6.0344977420620274e-05
Position 1956: 5.491659195799191e-05
Position 1160: 4.0233893035274344e-05
Position 1758: 3.859718571836248e-05
Position 1767: 3.7487887703883913e-05
Position 1097: 3.747671071365569e-05
Position 1508: 3.401423374055951e-05
Position 1048: 3.0886498344110534e-05
Position 1583: 3.063903894103277e-05
Position 191: 2.273185678104078e-05
Position 1165: 2.2191935389208914e-05
Position 411: 2.036371959993339e-05
Position 468: 1.793136838760681e-05
Position 1656: 1.6981617898017006e-05
Position 1515: 1.687594899620932e-05
Position 328: 1.658028128249696e-05
Position 194: 1.550535558261778e-05
Position 2680: 1.3211928587651258e-05
Position 719: 1.2918170032459396e-05
Position 508: 1.2579982439493233e-05
Position 638: 1.181456396992323e-05
Position 471: 1.0048731257307265e-05
Position 1102: 8.27671308917272e-06
Position 1698: 7.819023781741192e-06
Position 179: 4.907497834408543e-06
Position 1472: 4.7470657143776824e-06
Position 349: 3.754535092533179e-06
Position 115: 2.49597478098338e-06
Position 893: 2.3353136474728312e-07
Position 606: 2.032429308782143e-07
Position 228: 1.7050603722293934e-07
Position 1465: 1.175998326113107e-07
Position 680: 9.472175114215536e-08
Position 279: 5.8002348985395585e-08
Position 332: 5.658469553814422e-08
Position 243: 5.4844495938906456e-08
Position 1700: 1.418096454105464e-08
Position 751: 9.430122524750859e-09
Position 118: 7.949242349159807e-09
Position 94: 5.842020203010818e-10
Position 91: 3.8973846842908134e-10
Position 124: 3.883452347880943e-10
Position 245: 2.365898321191486e-10
Position 283: 2.3325721394846643e-10
Position 252: 7.316351060376085e-11
Position 340: 6.250409070159847e-11
Position 264: 3.742709682706506e-11
Position 257: 3.3754556468130357e-13
