Gene = DISC1
index = 447
Annotated 5SS: [   120  67991  75210 123262 140455 144256 168482 173396 191703]
Annotated 3SS: [ 67010  75139 123110 140324 144019 168426 173292 191513 227923]
SMsplice 5SS: [   120  14556  34488  44646  50888  61103  75210  94258  94609 103029
 105092 112689 123262 125217 130241 140197 140455 144256 148003 155040
 173396 179772 198714 198879 214344]
SMsplice 3SS: [ 14507  34326  44556  50795  61006  75139  94131  94475 102892 105011
 112617 123110 125161 130120 140033 140324 144019 147823 154946 173292
 179615 198579 198808 214201 224798]
top_k =  500
Partition function (log Z): -110.93917984106176

Sorted 5' Splice Sites (High to Low Probability):
Position 120: 0.8967165226271834
Position 4115: 0.6984557553692514
Position 2759: 0.6376878986416978
Position 4358: 0.5022028756295033
Position 5677: 0.4909253211804262
Position 4745: 0.2872688841490853
Position 4702: 0.19985038517649467
Position 6980: 0.18279997594689298
Position 3670: 0.12485743004370357
Position 5781: 0.12051280382139402
Position 5735: 0.10418073484533323
Position 9646: 0.08614212340786674
Position 2625: 0.053403317374310325
Position 5297: 0.047524247588994435
Position 509: 0.04077828734944783
Position 2796: 0.0407598206686319
Position 423: 0.03905335086892685
Position 3466: 0.03676140102625445
Position 6957: 0.0345816387148042
Position 240: 0.019556959921817284
Position 843: 0.01673460473631266
Position 201: 0.014892153777656595
Position 6025: 0.014269366619410754
Position 104: 0.010121465695894614
Position 862: 0.008056717154981961
Position 5337: 0.007237522918209252
Position 761: 0.006296705112794132
Position 905: 0.006224772643960482
Position 387: 0.00617402706982211
Position 2251: 0.005352440678799783
Position 6916: 0.0049234427845506
Position 334: 0.00445321967525442
Position 2862: 0.004294277849286446
Position 1003: 0.0038677973888564805
Position 848: 0.003566057482636239
Position 3859: 0.002317862291710498
Position 921: 0.0019600665750605806
Position 4710: 0.001788022535172845
Position 2432: 0.001661642344218242
Position 205: 0.0012376383908241136
Position 706: 0.0011981048950302584
Position 3790: 0.0011634713710227227
Position 4478: 0.0011477500218441386
Position 796: 0.0011223447154093556
Position 1632: 0.001071962188386313
Position 4761: 0.0010219380782501833
Position 5368: 0.0009668015082847394
Position 6949: 0.0009613231462664559
Position 1926: 0.000896719654303977
Position 1288: 0.0008671939375749198
Position 2642: 0.000866463345244408
Position 436: 0.0006807450425085196
Position 1505: 0.00043281678133704333
Position 640: 0.0004051186454620252
Position 1090: 0.00038977892218123927
Position 276: 1.7902521431769205e-05
Position 585: 1.571083336570111e-05
Position 456: 1.07586018427903e-05
Position 739: 7.600915281515417e-06
Position 160: 7.097783879090443e-06
Position 351: 1.7378921312073863e-06
Position 196: 1.5867440581281492e-06
Position 269: 1.4587900394130248e-06
Position 66: 1.0035844563473995e-06
Position 375: 6.200443197747197e-07
Position 415: 5.89624416176638e-07
Position 545: 5.847271771697467e-07
Position 417: 4.953818739255788e-07
Position 139: 2.795764956163807e-07
Position 221: 2.1514545182726105e-08
Position 292: 1.6635515800145622e-08
Position 393: 1.511260245238525e-08
Position 213: 1.2079054152916326e-09
Position 149: 2.481266004621535e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3945: 0.5839374346708822
Position 5622: 0.5572694878299921
Position 9461: 0.42866367205663264
Position 2566: 0.3423452616831272
Position 2540: 0.32518974968278624
Position 4604: 0.26708500619465114
Position 6744: 0.23833158768594714
Position 5503: 0.20656777920305205
Position 5780: 0.2065371010098534
Position 4255: 0.18691349471482743
Position 3987: 0.15273460036836323
Position 4648: 0.14065811514939133
Position 4277: 0.1380096902913499
Position 13455: 0.12508564002922
Position 4221: 0.11371092964025768
Position 3562: 0.10137519681160892
Position 8275: 0.06281252910184061
Position 8677: 0.061032911870119395
Position 5220: 0.04114094081160973
Position 658: 0.03761963710119548
Position 2716: 0.03707699797726206
Position 4608: 0.03339311377911833
Position 9864: 0.03320184547098479
