Gene = RPP14
index = 1207
Annotated 5SS: [  390  4145  4330 10330 10732]
Annotated 3SS: [ 4046  4244 10252 10652 11177]
SMsplice 5SS: [  390  4145  4330 10330 10732]
SMsplice 3SS: [ 4046  4244 10252 10652 11177]
top_k =  500
Partition function (log Z): -3.093845739821578

Sorted 5' Splice Sites (High to Low Probability):
Position 4145: 0.9863737358277141
Position 4330: 0.985301509381425
Position 390: 0.9785576307380386
Position 10330: 0.7985525134479607
Position 10732: 0.5521967153317446
Position 6141: 0.475918943952303
Position 10104: 0.45050857594218785
Position 1910: 0.24964313916175493
Position 156: 0.15039409332127573
Position 9743: 0.061296195208478864
Position 240: 0.0536653382003962
Position 9093: 0.031081839052853184
Position 1718: 0.023155461706229386
Position 3930: 0.015826290467171742
Position 3481: 0.011991865947679353
Position 1651: 0.009278268366893567
Position 1545: 0.006769577800884157
Position 2657: 0.006238987524331831
Position 5795: 0.004792851224187663
Position 953: 0.004323589287286353
Position 4439: 0.003916425766162307
Position 124: 0.0031837101198253573
Position 152: 0.0027362299486929035
Position 3224: 0.0026293931509085
Position 4371: 0.002381528275548534
Position 10215: 0.002347635582787375
Position 5729: 0.0020828484627651396
Position 4487: 0.0020150274638774898
Position 4345: 0.0016697961209572317
Position 1503: 0.0016549622344487268
Position 11206: 0.0013415851144547735
Position 34: 0.0013109897634673384
Position 1847: 0.0010160521499225814
Position 4527: 0.0009262035884403162
Position 10723: 0.0007362437743418772
Position 5712: 0.000702627540934241
Position 100: 0.0005926265869223596
Position 1597: 0.0005462396258521315
Position 11389: 0.0004920949078696781
Position 854: 0.0004734762003329617
Position 1477: 0.0004047871150476082
Position 251: 0.0003737576649680211
Position 160: 0.0003699494661411209
Position 446: 0.00036091280516772954
Position 5020: 0.0003048387440584957
Position 5221: 0.00028045359697093797
Position 1414: 0.0002645370517290094
Position 5588: 0.0001715266745476938
Position 4137: 0.0001400214355578157
Position 4149: 0.00011387437146378971
Position 492: 9.992299704740682e-05
Position 1333: 9.950317342924106e-05
Position 1469: 9.341888266530928e-05
Position 766: 9.270661934446906e-05
Position 5129: 9.037772258157104e-05
Position 692: 8.373023865004505e-05
Position 4501: 7.597086979103968e-05
Position 5738: 7.381437323860545e-05
Position 4400: 6.686002867865116e-05
Position 184: 6.124610619721265e-05
Position 2099: 3.272443493319791e-05
Position 590: 3.0961959739921315e-05
Position 2184: 2.6985176154989985e-05
Position 204: 2.346519650917821e-05
