Gene = CYP3A7-CYP3A51P
index = 422
Annotated 5SS: [   80  4044 12807 14790 17577 17926 19345 20548 21634 24371 26068 27291]
Annotated 3SS: [ 3949 12753 14689 17462 17836 19195 20419 21566 24209 25840 27127 49866]
SMsplice 5SS: [   80  4044 12807 14790 17577 17926 21634 24371 26068 27291 29588 49948]
SMsplice 3SS: [ 3949 12753 14689 17462 17836 21566 24209 25840 27127 29506 49866 50134]
top_k =  500
Partition function (log Z): 0.1804916499855107

Sorted 5' Splice Sites (High to Low Probability):
Position 14790: 0.9900797455782219
Position 17577: 0.9746170064461073
Position 24371: 0.967023423438378
Position 80: 0.9635814247168528
Position 29588: 0.9453535623452389
Position 26068: 0.9185042639355604
Position 17926: 0.890913457979137
Position 21634: 0.8434307608637372
Position 4044: 0.755386294836847
Position 4708: 0.6638599235411989
Position 12807: 0.6216529837159341
Position 27291: 0.5609147945613846
Position 4359: 0.38618894631016226
Position 13026: 0.2513249917185297
Position 29355: 0.24230100216674258
Position 19345: 0.2000058044653929
Position 250: 0.16996459860377974
Position 20548: 0.14243876089106958
Position 18138: 0.14066884800888232
Position 25009: 0.1298709144930825
Position 5996: 0.11866029677583766
Position 5940: 0.10511719887289302
Position 18962: 0.09807876960841526
Position 26648: 0.09267684662770452
Position 24805: 0.08886405076474238
Position 29740: 0.08299719065465849
Position 23480: 0.0809561581157196
Position 9452: 0.07386404144061766
Position 26638: 0.07183226310764651
Position 24048: 0.07111545233533272
Position 21315: 0.06676504912302889
Position 26328: 0.06458666858841014
Position 35029: 0.05871912124489187
Position 282: 0.05734469576980626
Position 20364: 0.04941191779295723
Position 939: 0.04580336830094559
Position 22891: 0.043483933459569225
Position 18291: 0.04284391047823014
Position 33870: 0.04124659829050595
Position 2261: 0.03940528181131646
Position 25082: 0.03932454419614706
Position 36218: 0.038320378755248706
Position 27911: 0.034764295903652695
Position 14929: 0.03152395797260754
Position 6026: 0.03118079041348827
Position 24405: 0.029326996520445587
Position 8489: 0.02923829378512924
Position 1331: 0.026356207480255082
Position 4039: 0.02520878046142154
Position 18094: 0.02517724797075905
Position 23594: 0.02474395531069147
Position 34869: 0.024577542218291427
Position 21129: 0.023857731923782242
Position 16615: 0.02230811669926869
Position 35502: 0.020459307526845653
Position 19151: 0.018076070909162318
Position 21718: 0.014121098221633944
Position 27846: 0.012182962101044702
Position 18044: 0.011910285073872588
Position 4134: 0.01167915556314632
Position 2279: 0.011403902631368165
Position 327: 0.011259238161133014
Position 28766: 0.010586282274110978
Position 2836: 0.010319249662032643
Position 2898: 0.009791709887830556
Position 17625: 0.008575897656542373
Position 21664: 0.008383041732846453
Position 1577: 0.00818337648416544
Position 22123: 0.00794420692856906
Position 17292: 0.007554500928220642
Position 25892: 0.007204102047790774
Position 774: 0.006961536112542065
Position 27212: 0.006936214565118036
Position 236: 0.0068413198461920455
Position 29764: 0.006833914504288666
Position 36087: 0.006706854694816599
Position 34736: 0.006106448629499365
Position 664: 0.005721748794841638
Position 21756: 0.005721505694388803
Position 863: 0.005457052413088291
Position 440: 0.005087750931785011
Position 2887: 0.004810321992809556
Position 22837: 0.00477822469241837
Position 23797: 0.00462237748993281
Position 25940: 0.004436693070435835
Position 22773: 0.004422167112547956
Position 33857: 0.00435716975272512
Position 19971: 0.004233323885689082
Position 17635: 0.0035524811472917965
Position 27825: 0.0030639289408336884
Position 30019: 0.0029951438007691294
Position 4347: 0.002702011196210703
Position 33760: 0.0026045944731996383
Position 17642: 0.0025564265280897357
Position 24840: 0.0025197994685063983
Position 21684: 0.0023297160033622093
Position 19068: 0.0018314077660617544
Position 24749: 0.0016701147456801876
Position 4307: 0.0015751264477477116
Position 90: 0.001361483920284886
Position 25004: 0.0007976568799314346
Position 84: 0.0007188204855073324
Position 35278: 0.0006130452853256856
Position 448: 0.00045855676319526593
Position 17930: 0.0003022723057493025
Position 18496: 0.00028610566667761707
Position 25889: 0.0002540112066373589
Position 749: 0.00022450882316781264
Position 30441: 0.00018060478038315998
Position 17873: 0.00016094789111217105
Position 25610: 0.00015773182281437914
Position 24815: 0.00015481665063445593
Position 2488: 9.004640144553315e-05
Position 799: 7.964298059749506e-05
