Gene = AGTRAP
index = 40
Annotated 5SS: [   81  9683 11391 12456]
Annotated 3SS: [ 9647 11284 12259 13921]
SMsplice 5SS: [  417 11391]
SMsplice 3SS: [11304 13921]
top_k =  500
Partition function (log Z): -6.34488477629395

Sorted 5' Splice Sites (High to Low Probability):
Position 8414: 0.9442966800448375
Position 417: 0.8251832364904699
Position 11391: 0.8112156004196374
Position 2942: 0.5733219219154242
Position 5308: 0.5035507980883842
Position 1846: 0.3871228398516976
Position 12456: 0.27799097089465585
Position 9683: 0.26371732588803404
Position 12435: 0.26246413426212784
Position 1451: 0.2326527658493935
Position 13462: 0.22610717573844513
Position 81: 0.2145631453069549
Position 2141: 0.18881293188491957
Position 12193: 0.15769557973169374
Position 2962: 0.14850942103620246
Position 203: 0.1275848893776343
Position 1292: 0.10617253084218517
Position 186: 0.09490408549624117
Position 2955: 0.07637493054235381
Position 33: 0.07006330338330506
Position 1801: 0.059757414666972715
Position 5011: 0.04989643773989245
Position 148: 0.04832594469334025
Position 2727: 0.03123219198166659
Position 2525: 0.02852214189286106
Position 4354: 0.024622780988130442
Position 5238: 0.024211755845166723
Position 5293: 0.01944826079437805
Position 1193: 0.019322714969749154
Position 12326: 0.01892842559343159
Position 2329: 0.018707253040247618
Position 1503: 0.01807612003064846
Position 14031: 0.0171881876103385
Position 2274: 0.017111551239124497
Position 2520: 0.0114363128960089
Position 13275: 0.009306829287684
Position 1426: 0.006659922405872959
Position 5127: 0.004843001357751892
Position 8616: 0.004650508644825394
Position 10671: 0.0041467566480463125
Position 11975: 0.003876202883991797
Position 1631: 0.0034236361906439493
Position 2221: 0.0033244125010399783
Position 1515: 0.0028526842546558323
Position 1439: 0.001656069801608408
Position 1222: 0.0005365792341367174
Position 2022: 0.0005262872682312412
Position 3913: 0.000429337002724738
Position 1767: 0.0004116375798998456
Position 103: 0.0003988479479016836
Position 122: 0.0003636249336082075
Position 707: 0.00036035047365044103
Position 1189: 0.0003273878077850331
Position 1781: 0.00031956741330718794
Position 461: 0.00023828289415564255
Position 434: 0.00014701527488579163
Position 1840: 8.411116944078372e-05
Position 1227: 7.283906601257621e-05
Position 1148: 6.822000656356955e-05
Position 69: 4.414493549825578e-05
Position 1101: 4.4050590110051116e-05
Position 301: 4.012910984192318e-05
Position 254: 2.8223199767185308e-05
Position 722: 1.9011813925062593e-05
Position 48: 9.126930162572698e-06
Position 830: 6.873963056296221e-06
Position 166: 2.664563589880629e-06
Position 294: 4.3565567563232876e-08
Position 528: 1.081666327636533e-08
Position 363: 2.6588379779557317e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 8377: 0.6986360082669606
Position 11304: 0.6874478342835944
Position 12259: 0.6077522698663154
Position 2847: 0.5606190855703975
Position 13921: 0.5342794489770286
Position 340: 0.3494084899456068
Position 1660: 0.30964927388448266
Position 13941: 0.29111128364748373
Position 5152: 0.2742966155978346
Position 5215: 0.24846134235492226
Position 2832: 0.23778378050780527
Position 1400: 0.22976910141974052
Position 8343: 0.22288971575436242
Position 1982: 0.18298590807885914
Position 12085: 0.16324270372253386
Position 9523: 0.1568000672137733
Position 13274: 0.136462664478805
Position 11284: 0.12414958258501547
Position 9647: 0.10775150732857797
Position 13309: 0.10332331142318325
