Gene = CHMP5
index = 370
Annotated 5SS: [  206  1173  2958  5775  6282 11623 13284]
Annotated 3SS: [ 1067  2910  5680  6209 11513 13170 15866]
SMsplice 5SS: [  206  1173  2958  6282 11623]
SMsplice 3SS: [ 1067  2910  6209 11513 15866]
top_k =  500
Partition function (log Z): 6.448736727663579

Sorted 5' Splice Sites (High to Low Probability):
Position 11623: 0.9989474518544218
Position 6282: 0.9946983586882833
Position 1173: 0.8971202584874527
Position 206: 0.8463539490113021
Position 2958: 0.6265321943521294
Position 11838: 0.4586892946651276
Position 5775: 0.401499318186125
Position 13284: 0.3870345105351672
Position 885: 0.3388037436045233
Position 3701: 0.27415084485463553
Position 3559: 0.23025122403946516
Position 11866: 0.22124303752593696
Position 2124: 0.1841447508580423
Position 8308: 0.1670314820922989
Position 7004: 0.08053344414808275
Position 2327: 0.07716681809200689
Position 1178: 0.07633435164904212
Position 3554: 0.06871668744007331
Position 6714: 0.06340419736644283
Position 6690: 0.05058247155007329
Position 12022: 0.04316637342680307
Position 2829: 0.04009309425189977
Position 8591: 0.03352558509649972
Position 2498: 0.028323519776390388
Position 7233: 0.02597799388342518
Position 3922: 0.025556134535847465
Position 8562: 0.01960633028474407
Position 2403: 0.019409564420338695
Position 13258: 0.01917524670972434
Position 9343: 0.01845874581117554
Position 228: 0.013634431641392924
Position 6739: 0.012412930337851442
Position 3028: 0.010610043112631886
Position 14126: 0.010515123157853148
Position 15507: 0.009949532177843166
Position 2991: 0.009661150234767508
Position 1201: 0.008583533224590602
Position 2040: 0.007899441520892642
Position 4173: 0.007873308775698805
Position 15942: 0.007793979855197488
Position 8587: 0.007418753021890254
Position 854: 0.006973215842922087
Position 8171: 0.006713185393586465
Position 10310: 0.005695932171919491
Position 6531: 0.005118064156587046
Position 5297: 0.0046045238362679725
Position 13363: 0.003415438835979297
Position 13587: 0.0034058894733043897
Position 1812: 0.003274601096501306
Position 2376: 0.002366595703870148
Position 5909: 0.0018977485154986614
Position 3296: 0.001869725042858549
Position 2821: 0.0018010713148616676
Position 3707: 0.0016889508517760816
Position 2050: 0.001682416203735644
Position 13424: 0.0014498576633375658
Position 3591: 0.0014407180414369896
Position 8622: 0.0013215343438528018
Position 2106: 0.001207716385902472
Position 598: 0.0010968411577806094
Position 1753: 0.0009431665535439792
Position 2535: 0.0009383903861055862
Position 11732: 0.0009088311292481629
Position 1817: 0.0007195525307058912
Position 2481: 0.0006337925545370854
Position 1600: 0.000622931024733123
Position 2469: 0.0006203388635101479
Position 3756: 0.0005687612904921467
Position 369: 0.0005394771879979561
