Gene = ARHGEF39
index = 95
Annotated 5SS: [ 256  532  916 1280 1966 2342 2776 3109]
Annotated 3SS: [ 436  794 1160 1894 2212 2545 3019 3284]
SMsplice 5SS: [ 256  532  916 1280 3109]
SMsplice 3SS: [ 436  794 1160 2864 3284]
top_k =  500
Partition function (log Z): 2.1309988353428286

Sorted 5' Splice Sites (High to Low Probability):
Position 532: 0.9920789966217917
Position 256: 0.9017559918575185
Position 1280: 0.8998699841951294
Position 916: 0.87618612442761
Position 3109: 0.8472487835156461
Position 1966: 0.560954072790902
Position 2342: 0.4095262208645329
Position 3575: 0.2798732164887772
Position 2776: 0.2791671581600762
Position 2048: 0.1588582502116228
Position 1027: 0.13514264555494884
Position 2762: 0.045714609953349895
Position 2194: 0.03980258113308397
Position 327: 0.03781896351113703
Position 323: 0.022668521501923118
Position 2189: 0.019960479379458076
Position 3412: 0.009839920843607297
Position 137: 0.008318243789342247
Position 247: 0.007553252697340537
Position 1970: 0.0041917754861148775
Position 1895: 0.0038033567747541974
Position 2574: 0.003793066659097141
Position 1193: 0.0034749937071966155
Position 302: 0.0033942911662512973
Position 341: 0.0022267414200883755
Position 897: 0.002133478179174323
Position 4336: 0.0018960775609186914
Position 1498: 0.0018002204763505319
Position 1808: 0.001441179777394282
Position 698: 0.0012092392179597299
Position 1933: 0.0010373371471913092
Position 1322: 0.0005930333480771218
Position 151: 0.0005169223749048433
Position 60: 0.0004135414557551167
Position 3082: 0.0003535533734459292
Position 1814: 0.00027779467169245523
Position 144: 0.00025165826313784824
Position 1450: 0.00024092850465994234
Position 1183: 0.00023512760407264075
Position 1421: 0.00022895951994607997
Position 2231: 0.00022285346673887
Position 2012: 0.00015800833843184186
Position 613: 0.00015732609065982327
Position 312: 0.0001554196595159635
Position 96: 0.0001155183119909555
Position 1197: 0.00011006455087129518
Position 1284: 0.00010851753865262187
Position 1730: 0.0001073799799532507
Position 3005: 0.00010312033754452593
Position 1318: 0.00010032705386713863
Position 1566: 7.805329307747668e-05
Position 2073: 6.44102699172982e-05
Position 367: 4.736215630014968e-05
Position 1821: 4.631005040695571e-05
Position 1530: 2.9915487126828733e-05
