Gene = KY
index = 755
Annotated 5SS: [  198  3588  7707 21402 23267 25970 30274 31875 40828 42374]
Annotated 3SS: [ 3524  7643 21326 23203 25886 30164 31756 40638 42182 46547]
SMsplice 5SS: [  144  3588  7707 21417 23134 23267 25970 30274 31875 40828 42374]
SMsplice 3SS: [ 3524  7643 21326 23025 23203 25886 30164 31756 40638 42182 46547]
top_k =  500
Partition function (log Z): 1.623219320480632

Sorted 5' Splice Sites (High to Low Probability):
Position 31875: 0.9998003906422457
Position 23134: 0.9704857123702981
Position 7707: 0.8373032769299192
Position 3588: 0.8318924462518631
Position 40828: 0.8063942024281479
Position 23267: 0.7342498349223494
Position 21417: 0.7110827016278599
Position 25970: 0.7081274178179322
Position 144: 0.5798755363321209
Position 30274: 0.5327132044077506
Position 42374: 0.5195987109383616
Position 38627: 0.513570766169943
Position 198: 0.4162612249827228
Position 22936: 0.3939973374915885
Position 37501: 0.33277374714402197
Position 30195: 0.3322370264363886
Position 21402: 0.28758506281931173
Position 8559: 0.2710971871010487
Position 11198: 0.27006140086804614
Position 29972: 0.2682609981671198
Position 12895: 0.23441014333811255
Position 3009: 0.23169233189470245
Position 21863: 0.19893276985442362
Position 37299: 0.17264329185136584
Position 30468: 0.14534243927704651
Position 22347: 0.11192634121734935
Position 37521: 0.09773188543815965
Position 8844: 0.0937794729204207
Position 1351: 0.0826291032771643
Position 2643: 0.06453732913114378
Position 22404: 0.06274396819038701
Position 2771: 0.05700987703694155
Position 760: 0.052853516292901796
Position 10712: 0.0511250571990879
Position 4659: 0.044401356482356664
Position 23592: 0.03785703450309914
Position 30377: 0.03533533741857034
Position 30091: 0.029186982929708463
Position 4915: 0.028985580733570736
Position 40225: 0.028428577091932153
Position 31073: 0.02783799660505454
Position 4944: 0.025554050148230433
Position 22899: 0.021772032446238154
Position 30662: 0.021707035712099636
Position 4114: 0.0195414477679947
Position 9241: 0.01792829446725743
Position 24051: 0.017577204383668596
Position 30165: 0.016409080359699374
Position 30774: 0.016353103056951826
Position 8377: 0.016068200391628214
Position 433: 0.015312181146206388
Position 3879: 0.013881540999006323
Position 32968: 0.01175877976613317
Position 30237: 0.01065830504534699
Position 6641: 0.01029739369649068
Position 2888: 0.008764408774995087
Position 2985: 0.007792782483857029
Position 1592: 0.0074356150807375525
Position 30608: 0.006816127397480283
Position 7746: 0.0068099015429270715
Position 32645: 0.0062042758175826235
Position 37177: 0.006167501560685105
Position 32403: 0.005613427277215443
Position 30634: 0.004567605228564944
Position 30681: 0.004227442833777615
Position 24813: 0.003975030636101971
Position 1472: 0.003255625066094343
Position 26009: 0.0032350144942681
Position 37489: 0.0030474973750161745
Position 30420: 0.0028265880591578853
Position 24681: 0.002692603091197253
Position 21619: 0.0023386874702027026
Position 38807: 0.0015932860294380147
Position 35508: 0.001520983360019346
Position 30872: 0.0014139611645460739
Position 9868: 0.0013143074223982388
