Gene = ZBTB8OS
index = 1592
Annotated 5SS: [  152 15817 16634 16940 18758 23077]
Annotated 3SS: [15791 16511 16856 18704 23039 28635]
SMsplice 5SS: [  152 15817 16634 16940]
SMsplice 3SS: [15791 16473 16856 28635]
top_k =  500
Partition function (log Z): -12.081446483218599

Sorted 5' Splice Sites (High to Low Probability):
Position 16634: 0.9951512459063123
Position 16940: 0.8458449424674639
Position 152: 0.5638524041363743
Position 18758: 0.5373156095296004
Position 15817: 0.39676442160730746
Position 15883: 0.33237897317538573
Position 15852: 0.26914026344182757
Position 18377: 0.2665492971652419
Position 844: 0.24368129380989909
Position 3342: 0.16805874059605508
Position 123: 0.16153243088223024
Position 19482: 0.15351813919670043
Position 144: 0.0880420657231393
Position 156: 0.08387241722164698
Position 183: 0.07877475405620157
Position 17799: 0.07394534078669833
Position 18345: 0.039607856346935866
Position 17323: 0.03409757323146996
Position 1128: 0.017532872526478994
Position 483: 0.016573863514509915
Position 8341: 0.0153795988836615
Position 18550: 0.012886417831005144
Position 3081: 0.011293771274884921
Position 690: 0.005693686224522317
Position 160: 0.0015289696482600399
Position 17909: 0.001070765559666942
Position 250: 0.0008274569948009185
Position 503: 0.0006992133039346913
Position 293: 0.00037141430663258996
Position 150: 7.876310126324699e-05
Position 76: 5.458777212830779e-05
Position 32: 4.9243729360215896e-05
Position 15: 2.8837584519293507e-05
Position 496: 1.689344349159411e-05
Position 10: 1.3615352432977177e-05
Position 394: 9.398378459467115e-06
Position 343: 9.265408607781513e-06
Position 335: 7.753280850839062e-06
Position 372: 6.968067643465125e-06
Position 838: 4.577438385636385e-06
Position 470: 4.023782611402356e-06
Position 416: 3.753927651461432e-06
Position 2654: 3.1469780496536e-06
Position 3031: 2.7004159044200226e-06
Position 494: 2.6577741234785055e-06
Position 1466: 2.5881948756088776e-06
Position 917: 2.437748880982367e-06
Position 239: 2.1221578303144507e-06
Position 133: 1.313947577981619e-06
Position 2986: 1.1699645434218807e-06
Position 456: 1.1402756043657039e-06
Position 2435: 1.0278422124848215e-06
Position 288: 9.087369152212713e-07
Position 37: 8.113445529882843e-07
Position 2991: 5.757481292332289e-07
Position 1418: 5.632523228589525e-07
Position 1386: 4.4658828715768276e-07
Position 285: 3.932296563793724e-07
Position 3011: 3.124054781621146e-07
Position 297: 2.4574109968567565e-07
Position 2679: 1.8349747458422784e-07
Position 1585: 1.7993231247007366e-07
Position 3231: 1.4850923532673052e-07
Position 3225: 1.2118220673499303e-07
Position 282: 1.0369723577305581e-07
Position 273: 7.867069253481908e-08
Position 546: 6.744158094324796e-08
